Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9
12098.766948860848,4687.849877831249,8725.464369667081,6690.852285566328,932.8309762989421,8595.160332552856,10363.646336582617,5994.68881954759,8284.357985281757
15147.128911657568,13618.216792635078,15132.57005358187,14902.754474042185,15856.725150143144,17072.319256043073,13818.969102364199,14638.535130536542,14483.032416244832
18305.325381241837,21603.85648951069,17771.378895657977,20467.215682798218,25134.23744310984,26861.21933383949,17143.883896886746,25330.279953184974,20088.76660495327
22599.47722242393,23215.96726782283,20781.031967377443,26651.11239192316,35253.46577014378,24358.686958508624,20054.02043324299,24019.375106112242,30658.325448041356
26444.554351084815,26595.495968480805,25045.989122606403,25816.16685668362,31777.87037578677,31416.66273201769,22535.121815830997,27915.10080165253,30818.67489699847
27106.05708469896,27502.345207124326,26312.379133618553,27337.237889677264,33512.549824370115,34076.09371950878,26712.93917015834,28038.21432124616,28700.56325011603
22819.846252620697,27446.73247365099,23852.863083679975,25994.11862419618,42007.22379454012,29691.82160166662,27741.700429500495,28063.3329250906,29258.208596514316
24750.361223909862,29014.064526497135,29929.912874589332,28981.337982904817,42738.997276120615,30259.100446050783,21983.611422920236,30025.15710647584,30728.237620794433
25010.01806780547,29480.133728378674,30379.268626239333,24811.848528832987,45702.668625031554,31138.370685539485,23501.91030581661,26902.79069171993,39093.962323816115
27885.80004896722,29591.881008930064,28790.595949796232,26938.906093235233,47167.47307844237,34158.18232865097,23474.038946588415,26477.41257478779,35275.75469241566
25850.718289375578,28992.355004680416,30750.820082198206,31205.10710980674,46676.704587526205,33040.98206275599,25664.767470617797,23254.20383293182,35420.63276576119
26130.651530340514,31351.349870783386,33198.857522152415,33164.912117332235,45691.18707467722,34228.9219384008,25230.709124886303,27748.69272111007,34301.69139710864
29721.50679688491,36338.16445000387,34568.115114962064,28126.600416125464,43583.30678293806,35184.55296692877,25601.143025289657,29235.860235236407,31738.846370170573
26751.642432119785,32720.052236070518,36363.125860078304,28313.32940194748,49923.8318890927,37715.45434427279,24457.56635464392,24009.452755780367,37500.5597990406
25971.92435054406,33444.20313320428,35657.862652492666,30083.44309576197,49949.64701756511,40972.89526547123,26436.292321327346,27698.134489813314,34693.439380455406
30123.0986956459,32467.767635821154,36126.3443613726,30435.458482179456,48101.82721649961,45310.12942934236,25144.693325590975,32553.118936538925,32936.957659279804
30054.95104058708,29366.14952797827,33196.724375982805,29942.101967480765,48554.75114617208,44838.01082613975,27435.82718754202,36334.69101690152,34196.53543674742
26183.002442964225,30484.630712974224,34073.001264616476,28563.024229728067,55340.701221096024,42916.43010871253,27160.515807255284,35996.68715660588,35753.270590294014
25297.199906583097,33095.995970404496,34099.0493925371,30848.890991579217,58223.636418652655,40346.05934457073,27875.10344796603,36194.06266802783,37544.92223973716
25216.48673150561,33934.66139266739,30668.17041650279,33782.59706312838,57176.79785067158,39604.733986899184,28161.48963675712,33498.71566139522,37421.12775093794
24424.22790978248,35702.808072203734,36093.112148976536,29279.419044753802,54111.154463893836,40358.52498336391,31501.42635967109,33632.85734741799,41252.76105623598
24463.74792446767,35238.157096964926,37763.03010051967,31372.45885846488,58339.5984213591,35605.60115190589,35442.382044342914,34176.82028898288,37687.700748186406
23871.311331697,40843.421458276986,38356.62673227578,27146.606031723644,54354.2485209909,33396.01848644016,36683.45608869397,37405.60822086942,36975.16946533461
24842.653543451255,39586.61284665509,36520.18808754665,28916.850609852674,54214.06586491524,35378.97053181093,30776.179235246043,36204.65076773694,41037.74526770924
24148.47820714048,34726.764297966605,32994.871847222035,34197.87891170708,58266.24929851212,34838.02390462453,33889.79315581188,35553.931676193824,42611.10840650441
26094.474070582914,28128.98202691674,34089.36797301727,27285.064660704673,67084.5039400731,40803.8825257956,32463.782797129083,40672.24420690374,39649.949818137
25377.740660780495,31954.75380184487,34780.90082390779,29774.583715887424,71151.26349251793,38496.97692593701,29377.774358337476,39259.755725306626,40235.13770696776
27851.094682843224,38839.550883684155,37655.700212333446,29509.96222438262,66011.13086421604,37722.94544428563,28877.16811628728,37625.662395966625,41776.161675025796
29346.35482537261,40015.984484809866,35537.43901867968,28844.918676662364,69169.33002035745,37901.27824471646,31544.836808010325,39251.69622805888,39955.313914878694
29530.373119910182,37263.265381202036,35609.617022815815,28584.16533839813,77379.90629930544,35693.83770065719,29898.7615927976,32626.41445678285,39374.397532819676
30513.508175087798,35938.53648733677,34486.22150216292,32894.099531048436,82680.79724431147,36429.5943055191,34148.651749080294,31396.516907933667,31810.109400441303
29246.341223254803,36066.13507025111,31578.390662709997,31962.532638758887,81459.5695545864,37658.477395609174,36322.96802545723,32707.109445833656,34417.370811128916
25468.076682794625,37955.49007599154,28652.50593940726,32849.392788431775,85080.11280413564,38618.257084576224,34639.175477159195,32565.432919752824,36019.28788152857
27781.645601833705,34886.00191424804,29309.37555099746,31677.948042928623,91433.07341855069,38768.12886963413,26392.57464279787,37459.38738751184,36594.23128354096
30602.703512381253,39480.29909598293,32011.825490411426,28852.74081464834,92208.90815573298,37598.87635006058,28344.56652137779,34613.901267453555,37810.95962427569
32480.00304029931,35101.75926043633,38399.2512061372,29246.659039700797,95586.60288807031,35845.69174992693,30850.501803177733,34611.94486554141,37875.02508330907
34633.48043842405,33445.14523714268,35187.3937484762,24397.75770838674,102973.70318515046,34666.61816926722,34011.667485134916,37793.4521936749,38256.03101128879
30979.77760342298,35621.60362525769,34544.07409472807,28640.795895931555,108121.35277634482,36163.073571593355,30537.10888177754,31820.658654659957,38864.40842886294
29808.430179702536,30001.738491109092,35856.8573849026,27245.504974784468,109638.2104235487,38508.98938442594,30476.752721390374,32429.93327727933,40810.63616341949
26274.382392439704,32852.311885164636,26482.007278348727,25458.754931592786,111126.80973429116,40310.03786886442,29906.74053930546,37959.36447764242,41207.63380462483
24720.18257170291,39250.866895347994,28224.751168115024,27582.777828932987,105442.01556363727,44770.99267164206,31129.150388383125,41785.13155692666,43737.09655847866
27964.89690052444,40024.03634341883,34263.28667235201,25993.814792238478,114561.01542573751,36793.85183348426,30340.72603022054,37121.96866038188,41231.16694452343
26729.37846708815,41169.21345719113,30968.913272154605,30104.43162519312,122387.86437930533,35781.297406866826,32499.932328721916,31937.61262693717,38335.316547969174
25357.72744655788,47265.52238169599,30964.404018139343,29481.409646466687,124601.38611673814,31665.861817422192,33225.85058368365,32064.187477139498,35183.08482186378
25568.5080417926,46294.752993265596,26899.24899616298,27927.566820103584,124034.2648584408,35369.02850550182,33417.11036491656,28161.710164646032,33727.8806089096
26599.047422363237,42548.3848235295,27135.991045151848,25672.133991203395,131324.1842798573,32171.400923043784,31679.123411898043,29496.914585557744,37736.80394605363
27202.31332567446,47132.93899417145,29220.999372792074,26273.515614408057,125925.39388451421,30888.69496515895,33098.882999028945,35343.26603679226,40504.97033954332
28638.634420307924,52230.66340898919,25636.089303630084,28045.329516331873,124405.51405924352,38631.678999275566,33285.69822494292,40898.19469367834,36698.71810041151
26838.242221561526,58336.011296424134,29669.617547114125,31129.051141411655,115785.43880415898,40439.64414563541,32234.316093091886,41286.70855013912,33708.70205140095
28560.109546968826,67867.77400359692,29062.90989909386,28941.5719427913,119851.50771486896,35517.302267070016,30480.39672465262,39487.76428497198,35188.09923736894
26066.71631917865,72490.886953437,26624.197442299435,24261.47934346482,118605.4258882178,35642.744310461116,27747.801768055346,42223.06566722322,33624.24318667409
25935.870224668353,78576.058125495,29128.124667958728,29113.717841236557,117208.99911204696,41619.94201624262,25285.987820246904,50345.46679968895,30659.866910981
27395.62593222627,81323.7743362989,26336.670176812204,27504.07652839151,118990.1972057867,39277.22535470406,26914.25690910497,55284.32464464066,34354.430726124796
25666.34264968228,87601.1300631793,24221.042412349914,33550.68643964157,113845.43041058307,36087.10786481355,24371.549340144884,56022.02440904988,38520.549192656435
26160.637805727278,92787.69703803059,25045.225587289406,30414.361604176887,110101.44157318275,40270.33190434548,29427.28647152036,52930.41488324018,35698.38642647838
26948.368361665398,103629.72897191346,26072.762998682872,33247.45281141484,98823.98710950879,46003.84140840169,29024.209947350733,49960.28366236106,37157.08715495085
25284.864933052333,107822.05079415577,26684.509683461485,32840.465240542486,92340.80534616063,46387.87756220708,30006.77795593481,53250.64222277449,34613.45756153439
26543.17034791599,111703.49208179186,30481.9636131953,35317.48245844907,83061.2727073132,49455.304951411235,25915.215363058793,52990.20382585568,34658.55094771059
26405.529635012976,107916.28640169011,31937.921039035115,32524.13613599335,77359.64362043049,47385.01159394558,26348.637054502487,51536.41254156778,37974.21487459812
