Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.0,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
0,0,0,0,0.7,0,0,0,0
