Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9
0.0,0.0,0.0,12038.117647058822,0.0,0.0,10764.3983415376,0.0,0.0
0.0,37778.61496338975,0.0,33151.41176470589,7358.916106921106,0.0,63539.514104756985,0.0,0.0
17613.647058823513,58211.657466994046,0.0,35100.000000000015,61578.9229125791,2187.294117647059,69788.77792078577,0.0,1033.694845470258
34775.88235294119,58211.657466994046,0.0,35100.000000000015,54327.447757227936,16457.647058823524,69788.77792078577,0.0,15326.257934215135
35100.000000000015,58211.657466994046,0.0,35100.000000000015,44762.22400029302,18828.58823529412,69788.77792078577,0.0,23973.867412936313
35100.000000000015,58211.657466994046,0.0,35100.000000000015,37296.973126147626,28645.76470588233,69788.77792078577,0.0,8704.076343722094
35100.000000000015,58211.657466994046,0.0,32200.939421092833,36667.18597478041,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,22450.84581022506,36591.606199454065,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,11975.689008206453,36513.87177711754,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,3741.7088512335467,36439.13658650065,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,36362.96466220399,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,36235.420629010856,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,35999.276428843994,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,35989.455844122655,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,35989.455844122655,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,35989.455844122655,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,35989.455844122655,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,35989.455844122655,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,35989.455844122655,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,35989.455844122655,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,35989.455844122655,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,35989.455844122655,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,35989.455844122655,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,35989.455844122655,32399.999999999978,69788.77792078577,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,34959.30228934302,32399.999999999978,68696.59619011836,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,32994.65542524151,32399.999999999978,66337.41283351014,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,2699.999999999998,33464.53949288843,32399.999999999978,63968.25748331444,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,5015.0461196349215,40111.7791951267,32399.999999999978,61118.53909415792,0.0,3589.4558441227123
35100.000000000015,58211.657466994046,0.0,14581.777049670054,40436.73506473625,25136.941176470576,57959.861125382115,0.0,13071.674653506036
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18947.176470588227,55600.677768773894,0.0,21501.32330003042
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,53231.52241857818,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,50381.80402942166,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,47223.12606064585,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,44863.94270403763,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,42494.787353841915,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,39645.06896468539,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473625,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473624,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473624,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473624,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473624,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473624,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473624,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473624,18899.999999999993,37578.572726577004,0.0,21536.735064736302
35100.000000000015,58211.657466994046,0.0,16200.000000000035,40436.73506473624,18899.999999999993,37578.572726577004,0.0,21536.735064736302
