Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9
91588.28693109349,40034.5268862143,69969.56357362715,53832.1409924298,7441.238217930695,68014.35718505677,81585.82626076062,48980.5268342053,67505.10042516813
116861.82151655064,108912.24470121485,107120.20472723903,110936.20877676446,130999.46046563369,134172.71652842386,107234.41673826295,106935.89710010988,110224.75365242921
126881.0866178688,170532.56384415927,131908.4180584165,149849.1349776673,189392.00014063733,189100.627019367,121954.92797920173,174357.18790073844,151983.4930012336
154470.18950774494,169090.93452064606,146093.4929736852,179016.2609673278,255835.20750787336,177566.39718164536,139221.2087216591,164985.20215251553,205758.59512280108
176384.92165545846,195864.2479227821,179394.78520961577,176515.02396466242,220125.1890484672,215761.99556699925,164489.74195354132,180808.87324540914,194190.28309079853
185838.5964456349,188799.0743249564,169142.69908277685,183046.82715902248,228917.5951629414,219677.63521173305,180313.3173386914,177155.15885106023,201233.0439651429
156414.72578116457,194606.02575225,160109.0655087104,181686.38206976335,259446.45443127153,198094.13804260388,175098.0229654849,188226.35188275122,192238.40288393613
165209.11689338222,212320.3000156531,187554.22867663315,185675.70609349545,255684.0914593921,196429.8517017905,149366.99958528718,184575.02085572103,196925.27173806305
169306.6904299969,188732.154786984,189197.9703304223,164726.80939596012,270189.587453069,189939.56869068672,149182.68720195565,175948.62437304604,235360.82853598357
166303.3485681881,195163.35009379368,193491.30532940582,175973.6168077091,252414.12904667496,203465.13225076607,158290.92534529342,176581.7383294807,203444.89713662612
153435.76597082464,205631.4234217363,195560.46688360904,202928.43051564295,260891.72738747596,207545.0728117041,171951.8146590319,150952.52513710575,203651.49497165857
164427.85310147615,201804.1636307287,195761.84566432817,204037.75059256717,252780.6356582686,208193.93316329317,169917.04086526737,172328.7373912014,177383.58972208996
179403.68411670928,216948.45652388077,193183.54629025375,176900.89952698,254192.20456801186,207141.66501458955,160786.24683103996,183394.15297008216,181066.8430367447
162892.7325859962,220733.35070968437,203069.38980184632,177683.82610513087,259383.77180338206,247740.14016160832,159325.75438806822,153201.6691455715,200709.39683317297
171630.4494298361,209080.14918754765,192281.3276995666,192483.3467023902,264903.81822633883,239437.33756243208,170636.1187026216,174570.30358526585,205318.71768561908
184702.99502804264,196517.59323074244,197118.20012386772,197590.60668844052,279263.7010072724,265135.5051020437,168614.2281864359,197051.40001896652,206625.7330250859
190425.73673076814,199082.16321936314,198188.2824435496,202553.90657930507,272220.7718694659,254094.74295688246,190603.2656796056,187111.1369038977,211231.4787863516
179841.03182279077,195564.59447715216,189242.85478923484,181670.34032373957,290278.6732825131,237162.9739678042,188220.49307910993,188802.16400664634,199046.45566471163
177309.51968675616,208800.7564680174,209083.59691886828,213969.27102024114,282804.4837396904,237342.62716172825,179180.9436102104,204728.2241456996,212644.61191799786
168398.48297981554,202808.70608206157,195208.55273366894,193301.93787681797,263574.9212544198,222416.0563011204,187681.7397608995,190966.3967135825,216053.30800693287
160819.81884424534,206881.19038122965,218773.04784835133,181236.8172587434,262904.92441078776,208778.63963654186,183841.56510796925,195622.5821393049,214562.030982584
152822.85461695117,196263.47613584987,218894.30424644888,191852.43810901223,266049.73918568913,202150.0439742646,204735.66513119507,204851.72240002255,199876.7929096618
173434.75127174347,214948.14586018768,196605.95100313154,172135.87356714747,259596.89190611953,208141.34013117498,182412.13534876448,206692.82401051917,204490.73669861525
178091.23923012326,216431.59108488503,203108.75697765272,189614.5661785642,258902.71995653852,218665.74812509015,184231.16496783006,194770.07139399313,224244.17564996847
163826.61129888194,185532.7496882833,187784.86200400413,214515.44077711084,261778.02153610165,227741.52001069565,203502.8380003871,190264.108838487,253858.03492384587
171589.9595832691,173192.2536269651,211827.06357387797,167813.68067557304,280867.9919789423,246384.4311934031,198242.0698878997,218563.7132092576,224069.42394589126
173060.81539645544,196260.35362333877,213137.36244505583,182229.89177066507,258598.90474243657,243821.66724875008,182660.78048538382,205899.33653737343,215006.49445860076
169293.21553047866,218453.52949255815,207844.299709823,192631.1339229731,255350.6773909048,219112.33446693615,199256.971049592,200731.76385977483,225821.1025416155
170327.25362436633,244001.64102754847,185038.7661252165,196424.04085422508,260666.2295415052,225706.75502454716,197513.81524895533,220424.0782783591,206078.75226017085
