Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9
12098.766948860843,4687.849877831248,8725.46436966708,6690.852285566328,932.8309762989422,8595.160332552858,10363.646336582615,5994.688819547591,8284.357985281755
15147.128911657575,13731.162060755072,15015.280576729228,15041.686696635099,15702.739788697249,17127.448714518912,13818.969102364195,14659.75290698328,14516.969655577781
18192.352485194675,21753.960136220423,17944.740350979304,20640.006518830865,25102.899290454487,26300.806805131007,17081.78224016426,24997.8205624895,20125.44257503984
22782.26278462567,23330.648704083458,20949.27954097495,26575.899841195318,35847.54916904616,24255.868223814705,20409.16726476315,24387.39299051161,31054.725637978194
26614.93370740769,27047.655355445106,25295.040789183284,26000.95245189875,31821.905955564962,31587.52293373551,22893.668849945694,26821.451185625403,31043.955983967837
27032.43222041917,27153.482691110832,25366.283813131522,27971.07192305764,34874.41058134767,34362.985348993614,27125.987174390615,25829.028080234184,29529.474591957172
22978.24092684505,28509.45521654696,24087.89960672515,26430.37403570306,41531.5874095149,28951.259615959396,27026.23082290673,27890.45398134577,29629.80480967006
24605.15191869812,30116.41793743894,30358.926257789215,27343.255978790447,41369.66683889439,30037.2078336425,22100.920063055488,29356.236158907905,30090.941231276
25567.76702979743,28634.868178449608,31167.110191608623,25542.885859898146,43832.711629203106,30097.317002368905,23260.22530256474,27471.84251230106,37427.22295484109
27445.65937966822,30503.339940069985,29720.39039807956,26986.55577728021,40957.830902072805,32998.88192567405,24069.46512359515,27303.07177742038,34802.976402832326
25554.30258456588,31158.636470527763,32121.68917813442,29930.236024677757,42611.15462678741,32241.978537725176,26608.83377736666,23247.432047712293,35790.37450981694
26006.100480751214,30561.813200056044,34257.858945912805,31704.248574690617,43195.656298470334,32843.33932230433,25018.06383143119,26828.97046518103,32806.01821968828
28658.536308238967,35348.72332521484,34577.17245521515,27352.47459810489,42537.34228365737,32351.236378466932,24746.251100571524,30117.684942846645,29704.522725768566
26566.682867580857,34214.176444025994,35435.74060756336,27830.47111359586,47915.621607954,40108.539741440625,23936.074790967694,22608.699394697735,31846.764375202205
26238.06664957138,33829.594545646294,32265.172812745786,30709.91727241554,46713.430596995444,43718.0305796295,26050.141262225236,25750.591987425305,31437.642461634696
27698.852092427096,33259.99702908185,33568.76915207289,31686.469750645436,46196.64722398608,45205.00972475834,26271.37603223586,30109.04063885572,31181.770264497754
27765.05559365929,30957.702556794105,30733.253459895357,31251.110417896063,48247.97072555102,44512.15320572535,29291.97158182459,31706.67724646084,34013.8669153233
27565.484085475837,32557.921419467188,30463.930897319835,28016.91892891476,54036.77592485281,38886.86118509497,28286.833392205717,33219.813205624465,35452.24602278767
27549.379981724487,34252.107859227166,32846.870670510485,33476.4548700482,52326.40773719046,38688.16537399161,28033.296857702433,35940.149259077654,35980.52987477103
26157.63539704756,33018.397727709096,29791.095419920613,31628.207905752246,46207.4719661082,38311.76083937126,29461.245047316555,32594.587967234103,34286.96410996911
24323.189670940017,37005.22685743008,34644.553407719286,29018.42253868,47137.20957005326,38033.708356350224,31592.118560247258,33938.1793136303,35947.36077863875
23331.086964259706,33817.822805469346,37724.97740637335,29426.936590885354,52462.97889721789,34004.98895455389,34975.48797803918,35352.00214759459,32922.97582674788
25710.958850422645,36184.486134193365,35541.83560337506,27215.449615511086,49376.43290361768,33660.29042336296,30919.329320042583,37451.57335746126,34354.56871911811
27050.320670300338,34994.22073935954,33656.838944882584,29823.741806533108,47984.27232047977,36243.57596848081,28759.232476262954,34633.99382385168,38102.94348467955
24882.38778818435,28110.54764433866,29727.964759846178,34498.40163546227,52181.651288793684,34953.68494624528,33068.559379577935,33927.67073284503,40128.282748381695
26253.123875660516,25846.65820785186,33193.33913926666,26268.162842671172,56967.88728659458,39595.68928908508,33260.4203708133,37830.56592762032,35425.109075808905
26311.31082830852,31150.79581351957,33315.92717343933,29674.939865314413,53293.01630177341,41272.627338271064,29832.51050049636,38517.29602334275,37613.232970361736
26832.790021944747,34857.48455876411,35487.58404094072,30300.88712046739,47872.57662357082,39445.186646514514,32227.82367339536,38049.23960016282,38610.52124311079
27075.34158708058,39452.05870825311,30515.742686756654,30273.80795958467,51319.5071514765,39366.6624270188,34483.79797827422,37666.98734501377,31884.022577071464
29440.353718955994,33646.49435102486,33160.14198879212,27032.88220373098,54519.08679743182,43262.44583451531,31432.693299463037,34760.513313030315,30915.648607389878
27506.9925755714,34539.26308955173,32680.369399714393,35629.6147932277,58873.366467953434,35417.65060060866,34215.57075992203,31533.499033829998,31428.189156098804
27840.34267662769,34654.366359564316,31314.006120199865,33789.120743951404,61227.27868734724,36067.81558689088,33441.55496109562,33346.27286491996,34235.899863851926
26677.349744950712,33729.808065706544,28563.76504627332,28247.231412721496,60123.115388286635,35584.22794858148,32903.710113612746,34382.69355112141,34539.44850230315
26610.07866364023,34822.598402902,27554.620042019178,31213.47464277249,57341.450358179594,40334.6356356018,27854.633272571475,37832.5224166939,34104.11736649198
26189.391066089105,39025.10779665341,31735.084326411856,31333.951449790413,57112.547755750544,40351.02753646644,26976.39188568411,37303.27579913782,35051.489547111676
33289.153495432074,34536.80735439509,36273.96386251801,28267.34499558135,50692.20808733921,40864.55424200383,27709.36089358264,36341.51160539669,37479.47975894016
32435.566061295078,33763.54952007378,31531.27027418196,27567.972474528935,46961.9990274283,39307.13532863373,31352.58531997846,39836.064745158495,35434.01942719621
28010.0167553435,29779.972054983187,31217.283722776603,29779.273366460307,44541.49875261524,41840.35410588009,32014.15672808278,34834.92617327779,35008.3741963242
26475.29537514086,26887.881118258734,29048.574201449344,28832.719320378405,44040.61285580903,42035.20530677771,33770.376045964564,34519.154731437,40925.81304118178
