Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9
0.0,0.0,0.0,12038.117647058822,0.0,0.0,10764.3983415376,0.0,0.0
0.0,37778.61496338975,0.0,40267.05851768761,918.943164923719,0.0,63539.514104756985,8375.039005799255,0.0
17613.647058823513,58211.657466994046,0.0,44884.01428534986,8859.277514439604,2187.2941176470576,69788.77792078577,37003.93649820498,1140.7058823529405
34775.88235294119,58211.657466994046,0.0,45773.470129472604,9464.928073591984,14875.411764705874,69788.77792078577,33658.37468272532,14144.891090604195
35100.000000000015,58211.657466994046,0.0,45773.47012947262,6133.397747305892,15099.882352941175,69788.77792078577,31746.692922631988,22777.122483903095
35100.000000000015,58211.657466994046,0.0,44636.28263903015,6517.086041046224,16483.058823529413,69788.77792078577,29172.32160969686,17447.706440274625
35100.000000000015,58211.657466994046,0.0,41169.09528166306,15067.323202792193,18704.823529411762,69788.77792078577,26900.008888523236,14280.135843533135
35100.000000000015,58211.657466994046,0.0,36382.74680462714,8942.426406871187,20182.235294117643,69788.77792078577,20449.059721617577,9141.698243685387
35100.000000000015,58211.657466994046,0.0,28130.842941142462,4273.176290256343,22623.529411764703,69626.44628678057,19769.865490075892,10679.18104699718
35100.000000000015,58211.657466994046,0.0,20810.162552713417,6816.029386277886,21447.058823529405,67475.90570338642,20210.763025811,5783.49912564735
35100.000000000015,58211.657466994046,0.0,12606.58048945412,1278.999052546238,19306.23529411764,63832.614190987,19659.146706679876,5017.166260358998
35100.000000000015,58211.657466994046,0.0,10229.802590983416,1806.4274052985877,20682.70588235292,59420.25682075926,21267.026332961486,5075.407179848902
35100.000000000015,58211.657466994046,0.0,10757.813250070747,2675.0882098072993,16858.705882352944,54452.21601262196,20790.11179802644,10793.765221495389
35100.000000000015,58211.657466994046,0.0,9573.76927722882,4435.058823529409,19370.82352941175,52024.09964973001,21610.726921391266,3890.0728481344177
35100.000000000015,58211.657466994046,0.0,9947.894204367532,1588.8235294117642,16299.17647058823,49775.27741137546,22908.619583825952,10922.194718036168
35100.000000000015,58211.657466994046,0.0,12057.411949569498,3533.8076666363936,17641.76470588233,45616.65757724016,23528.866461929018,12027.187534881916
35100.000000000015,58211.657466994046,0.0,11076.135911535233,2459.1628961120823,16358.470588235288,42655.52174594416,22229.749546239138,11050.602826485792
35100.000000000015,58211.657466994046,0.0,11658.95042109279,890.4852813742386,18064.941176470587,39315.058542254854,24022.898593460643,12101.76196722313
35100.000000000015,58211.657466994046,0.0,12548.835447318708,5039.676445101414,15676.58823529412,35557.53728093412,23704.54481989455,10655.105437710947
