time,veh,activation
360,20,1
360,33,1
360,42,1
360,67,1
360,70,1
360,85,1
360,114,1
360,144,1
360,171,1
360,288,1
360,296,1
360,297,1
360,298,1
360,309,1
360,314,1
360,315,1
360,316,1
360,331,1
360,337,1
360,342,1
360,356,1
360,414,1
360,481,1
360,516,1
360,529,1
360,531,1
360,580,1
360,583,1
360,608,1
360,627,1
360,651,1
360,656,1
360,683,1
360,703,1
360,708,1
360,714,1
360,790,1
360,829,1
360,835,1
360,897,1
363,908,1
369,921,1
371,929,1
380,941,1
404,1020,1
409,1034,1
409,1036,1
453,1148,1
475,1202,1
490,1238,1
491,1241,1
494,1249,1
496,1253,1
502,1266,1
503,1270,1
509,1283,1
522,1307,1
529,1329,1
540,17,1
540,41,1
540,57,1
540,85,1
540,116,1
540,144,1
540,258,1
540,268,1
540,269,1
540,281,1
540,294,1
540,323,1
540,348,1
540,374,1
540,391,1
540,432,1
540,455,1
540,501,1
540,505,1
540,527,1
540,532,1
540,562,1
540,618,1
540,647,1
540,695,1
540,719,1
540,742,1
540,751,1
540,759,1
540,775,1
540,836,1
540,846,1
540,847,1
540,860,1
540,921,1
540,925,1
540,961,1
540,1006,1
540,1033,1
540,1034,1
540,1056,1
540,1069,1
540,1074,1
540,1089,1
540,1096,1
540,1100,1
540,1101,1
540,1177,1
540,1221,1
540,1249,1
540,1254,1
540,1262,1
545,1372,1
558,1406,1
564,1428,1
565,1431,1
590,1497,1
591,1499,1
593,1501,1
597,1515,1
604,1528,1
606,1531,1
610,1542,1
613,1550,1
618,1566,1
619,1569,1
637,1622,1
646,1649,1
653,1670,1
673,1710,1
698,1769,1
720,52,1
720,75,1
720,80,1
720,121,1
720,185,1
720,199,1
720,210,1
720,215,1
720,217,1
720,229,1
720,237,1
720,247,1
720,254,1
720,256,1
720,317,1
720,370,1
720,386,1
720,413,1
720,427,1
720,451,1
720,468,1
720,482,1
720,544,1
720,548,1
720,579,1
720,596,1
720,630,1
720,760,1
720,762,1
720,777,1
720,781,1
720,785,1
720,830,1
720,853,1
720,877,1
720,920,1
720,923,1
720,939,1
720,953,1
720,983,1
720,1011,1
720,1045,1
720,1055,1
720,1091,1
720,1132,1
720,1145,1
720,1150,1
720,1173,1
720,1183,1
720,1192,1
720,1193,1
720,1195,1
720,1225,1
720,1237,1
720,1248,1
720,1318,1
720,1331,1
720,1334,1
720,1389,1
720,1408,1
720,1409,1
720,1417,1
720,1441,1
720,1454,1
720,1456,1
720,1460,1
720,1480,1
720,1526,1
720,1597,1
720,1607,1
720,1614,1
720,1622,1
720,1624,1
720,1629,1
720,1644,1
720,1660,1
720,1681,1
720,1700,1
720,1713,1
720,1726,1
720,1754,1
720,1804,1
720,1812,1
728,1848,1
743,1889,1
754,1912,1
767,1947,1
770,1952,1
782,1990,1
798,2033,1
802,2043,1
808,2056,1
822,2080,1
824,2088,1
831,2109,1
853,2167,1
857,2182,1
877,2248,1
897,2296,1
900,2306,1
900,87,1
900,232,1
900,315,1
900,653,1
900,711,1
900,782,1
900,798,1
900,876,1
900,912,1
900,1214,1
900,1221,1
900,1238,1
900,1307,1
900,1330,1
900,1380,1
900,1383,1
900,1519,1
900,1562,1
900,1606,1
900,1730,1
900,2027,1
900,2072,1
900,2217,1
900,2300,1
902,2314,1
920,2366,1
923,2376,1
936,2409,1
945,2426,1
979,2504,1
1019,2617,1
1080,555,1
1080,1031,1
1080,1041,1
1080,1181,1
1080,1214,1
1080,1428,1
1080,1637,1
1080,2009,1
1080,2177,1
1080,2348,1
1080,2492,1
1080,2536,1
1080,2681,1
1080,2739,1
1094,2823,1
1126,2909,1
1171,3027,1
1189,3079,1
1237,3209,1
1260,103,1
1260,190,1
1260,226,1
1260,278,1
1260,690,1
1260,887,1
1260,1200,1
1260,1210,1
1260,1292,1
1260,1466,1
1260,1502,1
1260,1541,1
1260,1566,1
1260,1606,1
1260,1834,1
1260,2125,1
1260,2128,1
1260,2274,1
1260,2290,1
1260,2474,1
1260,3009,1
1260,3045,1
1260,3150,1
1260,3161,1
1260,3162,1
1260,3185,1
1262,3279,1
1278,3319,1
1281,3329,1
1281,3330,1
1343,3481,1
1348,3498,1
1362,3542,1
1380,3593,1
1410,3670,1
1410,3674,1
1440,147,1
1440,450,1
1440,679,1
1440,1397,1
1440,1514,1
1440,2165,1
1440,2197,1
1440,2429,1
1440,2816,1
1440,2853,1
1440,2918,1
1440,3045,1
1440,3232,1
1440,3257,1
1440,3263,1
1440,3268,1
1440,3396,1
1440,3397,1
1440,3455,1
1440,3516,1
1440,3558,1
1440,3585,1
1440,3600,1
1440,3612,1
1440,3664,1
1440,3686,1
1440,3711,1
1440,3714,1
1440,3728,1
1481,3854,1
1551,4026,1
1569,4084,1
1572,4094,1
1600,4161,1
1606,4176,1
1620,951,1
1620,1256,1
1620,1260,1
1620,1466,1
1620,1685,1
1620,1729,1
1620,1748,1
1620,1757,1
1620,1768,1
1620,1842,1
1620,1844,1
1620,1889,1
1620,1932,1
1620,1946,1
1620,2079,1
1620,2170,1
1620,2186,1
1620,2195,1
1620,2208,1
1620,2285,1
1620,2286,1
1620,2388,1
1620,2429,1
1620,2566,1
1620,2603,1
1620,2647,1
1620,2682,1
1620,2690,1
1620,2706,1
1620,2751,1
1620,2755,1
1620,2891,1
1620,2918,1
1620,2942,1
1620,2969,1
1620,2982,1
1620,2983,1
1620,3002,1
1620,3011,1
1620,3015,1
1620,3064,1
1620,3066,1
1620,3070,1
1620,3077,1
1620,3102,1
1620,3106,1
1620,3321,1
1620,3325,1
1620,3334,1
1620,3336,1
1620,3351,1
1620,3359,1
1620,3370,1
1620,3388,1
1620,3404,1
1620,3422,1
1620,3447,1
1620,3458,1
1620,3471,1
1620,3555,1
1620,3589,1
1620,3602,1
1620,3675,1
1620,3686,1
1620,3695,1
1620,3700,1
1620,3733,1
1620,3747,1
1620,3788,1
1620,3793,1
1620,3836,1
1620,3859,1
