sensor_zone_1_1,sensor_zone_1_2,sensor_zone_1_3,sensor_zone_1_4,sensor_zone_1_5,sensor_zone_2_1,sensor_zone_2_2,sensor_zone_2_3,sensor_zone_2_4,sensor_zone_2_5,sensor_zone_3_1,sensor_zone_3_2,sensor_zone_3_3,sensor_zone_3_4,sensor_zone_3_5,sensor_zone_4_1,sensor_zone_4_2,sensor_zone_4_3,sensor_zone_4_4,sensor_zone_4_5,sensor_zone_5_1,sensor_zone_5_2,sensor_zone_5_3,sensor_zone_5_4,sensor_zone_5_5,sensor_network
35629.48009365656,21727.106503866835,32391.769897232956,18951.011957973547,42480.13839909279,23078.921848656726,0.0,0.0,363.17952994160055,21750.658637819666,26638.71712407712,0.0,0.0,0.0,25430.514809127893,21180.729204751937,224.0,0.0,0.0,28304.480334572214,23117.6063198777,23298.974751936756,26371.055112272978,18361.944249816668,36700.89242883349,1028191.1948494103
41217.98044046356,41492.15726981141,63432.49396324613,38994.957828414925,76316.86841712125,38108.22312235256,16659.88439044103,14109.32590808757,19333.83482876891,56587.87055938917,69096.30600700388,10888.0077164871,0.0,8697.859021335404,60181.92944803345,32463.686053674617,9751.695150790443,12597.273474625088,17296.21405805751,42704.6693326107,54251.47782686608,38401.64270123974,50418.968323158886,46375.74556300851,72318.12922944334,1689921.0849860997
55740.93996530229,48741.69319410715,59325.68773560825,46752.223362715915,71738.6122607832,41592.554498120495,64166.601827611164,75623.0159583568,72940.56666094852,61582.47101475854,53409.857005392034,70093.99131066148,2230.912216282149,75427.57678189831,62087.10614579794,43445.228153344986,49029.25677545309,70329.93682658287,71278.48674943243,39386.23455980769,67368.47714164956,33521.4325198116,73777.22219077348,49381.5335045549,66205.17942349263,2279576.8037956576
64637.64585807455,50268.61895128904,54103.036633344745,37167.63216578282,61786.60645831553,37232.23871314004,60390.74978484542,124908.11243196951,103840.59194071656,59039.672341845675,63215.93506837021,118961.20898098228,122365.50024471678,133545.86220864413,66990.74664204493,49000.76690113382,78775.18433234534,127052.1665435977,97555.20877643688,45713.58253641432,56437.7187520737,46318.75450498104,70856.23232472198,55829.56359592231,57016.134408532795,2808736.2799509703
61731.39636304892,49953.60996358527,47584.85121555708,60764.332507211155,64473.641047492696,41389.90442406103,91225.96604120634,141383.19601967096,93566.99511280181,40733.303378129174,60252.7342158858,140468.55156099476,351688.9095697768,155712.58068377172,63686.13181178449,44151.12514168773,90294.47834770626,169411.99651610514,105056.04101240751,49650.583537133716,57457.5546802157,53203.801862091335,64307.91206878063,53084.86812138724,45744.6794881955,3289934.7862285734
58845.05113497183,49414.06585127368,61777.23703385361,60547.86725656502,64366.9488415593,41464.95605009639,115689.37715838847,189843.38604498355,122954.19052605204,46739.13290235081,60618.17246596297,199580.38351553792,398404.8185163218,216291.54141462047,58246.11405673397,57092.71613095346,127076.8458978614,213852.02271803078,109383.70289811215,62157.91958720137,68803.40156093618,54371.30443562214,60098.41561359154,44240.566763303104,71216.46543284159,3776058.9636919736
70253.63088941351,55426.07002037348,80269.01895133372,56239.9766705474,70867.38634140017,67008.09274421321,159381.74114530534,245060.28262103946,167312.48820130806,58886.963143806075,77456.483280185,249800.39974609678,366320.36292940966,245612.73372270557,82535.55939222401,65160.80387511363,170008.09858768564,265403.21817720495,155828.41969673452,66779.34096927893,59140.076707269385,50686.55609217368,71444.42945553147,51802.203241466515,78594.35289140635,4377262.339276887
82282.91352369098,72419.68172834687,116308.43398480305,78999.48092957765,80577.58162434417,106988.82946096208,171631.20735888937,271068.0022084183,169495.87134629107,79581.45220227286,99147.03375311435,259455.91502208216,380628.8671844684,258645.7662640376,103567.94581441215,67381.83079728196,156020.56682375935,287386.07460435847,169433.1839655942,80293.48235293383,88160.26468842903,72079.70902577999,109693.11596596362,78197.94973649076,105605.40391696087,4942443.4401405305
100315.93541105934,76261.52743319815,107585.58807409981,93065.65732021886,88428.9827491041,108872.6084673531,165555.81393271536,275372.5927200164,160684.70079227551,59463.08091626594,115565.39216949654,251141.47110179238,377572.80558266863,250030.05115738767,128227.56076361757,71628.0347442022,167086.05587242046,261535.21943788877,153587.85010290745,77809.11961604388,112361.53516974358,89571.39042346695,118105.6365258121,92288.17922048636,99057.68127978794,5310201.374037986
117644.87205131404,95045.11108203467,139940.05798104528,79177.971203234,103113.72289284942,84359.6845154485,170691.37966581254,246469.4330344493,140834.41218042065,75605.24356958814,110477.0123879473,261739.23140693756,404797.64838817075,247323.23164450892,94592.07467403478,67759.16002254991,174084.7426836868,237374.6395481271,156732.849932795,90286.01197721664,114076.31632543562,110175.00155439848,105627.90877690352,82478.73122994872,99986.41227034989,5421798.895631258
