time,veh,activation
360,20,1
360,33,1
360,42,1
360,67,1
360,70,1
360,85,1
360,114,1
360,144,1
360,171,1
360,288,1
360,296,1
360,297,1
360,298,1
360,309,1
360,314,1
360,315,1
360,316,1
360,331,1
360,337,1
360,342,1
360,356,1
360,414,1
360,481,1
360,516,1
360,529,1
360,531,1
360,580,1
360,583,1
360,608,1
360,627,1
360,651,1
360,656,1
360,683,1
360,703,1
360,708,1
360,714,1
360,790,1
360,829,1
360,835,1
360,897,1
363,908,1
369,921,1
371,929,1
380,941,1
404,1020,1
409,1034,1
409,1036,1
453,1148,1
475,1202,1
490,1238,1
491,1241,1
494,1249,1
496,1253,1
502,1266,1
503,1270,1
509,1283,1
522,1307,1
529,1329,1
540,17,1
540,20,1
540,41,1
540,57,1
540,85,1
540,116,1
540,126,1
540,144,1
540,156,1
540,179,1
540,191,1
540,233,1
540,258,1
540,268,1
540,269,1
540,281,1
540,294,1
540,323,1
540,348,1
540,374,1
540,391,1
540,401,1
540,432,1
540,455,1
540,501,1
540,505,1
540,527,1
540,532,1
540,558,1
540,562,1
540,618,1
540,647,1
540,649,1
540,665,1
540,695,1
540,719,1
540,742,1
540,751,1
540,759,1
540,775,1
540,783,1
540,802,1
540,836,1
540,844,1
540,846,1
540,847,1
540,860,1
540,878,1
540,921,1
540,925,1
540,961,1
540,989,1
540,1006,1
540,1031,1
540,1033,1
540,1034,1
540,1039,1
540,1056,1
540,1069,1
540,1074,1
540,1089,1
540,1096,1
540,1100,1
540,1101,1
540,1177,1
540,1221,1
540,1249,1
540,1254,1
540,1262,1
542,1355,1
544,1368,1
552,1385,1
558,1405,1
564,1427,1
574,1461,1
588,1491,1
590,1495,1
606,1531,1
610,1541,1
611,1546,1
614,1555,1
621,1576,1
624,1584,1
630,1600,1
637,1621,1
643,1645,1
646,1649,1
648,1658,1
650,1662,1
653,1672,1
669,1698,1
686,1739,1
688,1745,1
693,1757,1
696,1764,1
699,1774,1
713,1812,1
720,9,1
720,29,1
720,49,1
720,52,1
720,61,1
720,68,1
720,75,1
720,133,1
720,141,1
720,145,1
720,168,1
720,189,1
720,194,1
720,196,1
720,232,1
720,240,1
720,244,1
720,252,1
720,265,1
720,282,1
720,285,1
720,311,1
720,313,1
720,328,1
720,344,1
720,350,1
720,360,1
720,372,1
720,385,1
720,389,1
720,399,1
720,402,1
720,408,1
720,413,1
720,427,1
720,442,1
720,451,1
720,482,1
720,488,1
720,491,1
720,509,1
720,518,1
720,537,1
720,565,1
720,594,1
720,598,1
720,616,1
720,630,1
720,685,1
720,689,1
720,701,1
720,716,1
720,731,1
720,739,1
720,769,1
720,781,1
720,816,1
720,828,1
720,839,1
720,857,1
720,906,1
720,915,1
720,942,1
720,950,1
720,959,1
720,965,1
720,972,1
720,1015,1
720,1017,1
720,1020,1
720,1027,1
720,1029,1
720,1040,1
720,1045,1
720,1064,1
720,1069,1
720,1073,1
720,1082,1
720,1090,1
720,1091,1
720,1104,1
720,1118,1
720,1121,1
720,1129,1
720,1182,1
720,1201,1
720,1205,1
720,1218,1
720,1240,1
720,1255,1
720,1261,1
720,1271,1
720,1274,1
720,1280,1
720,1289,1
720,1292,1
720,1293,1
720,1294,1
720,1295,1
720,1314,1
720,1329,1
720,1333,1
720,1341,1
720,1350,1
720,1372,1
720,1382,1
720,1392,1
720,1405,1
720,1414,1
720,1450,1
720,1472,1
720,1481,1
720,1482,1
720,1496,1
720,1498,1
720,1499,1
720,1522,1
720,1536,1
720,1564,1
720,1567,1
720,1573,1
720,1583,1
720,1588,1
720,1603,1
720,1606,1
720,1607,1
720,1612,1
720,1635,1
720,1643,1
720,1664,1
720,1669,1
720,1672,1
720,1681,1
720,1706,1
720,1713,1
720,1715,1
720,1720,1
720,1729,1
720,1735,1
720,1745,1
720,1749,1
720,1756,1
720,1771,1
720,1807,1
720,1819,1
720,1829,1
736,1868,1
744,1894,1
748,1902,1
751,1907,1
758,1920,1
761,1922,1
763,1928,1
763,1929,1
776,1974,1
778,1983,1
783,1992,1
783,1994,1
785,2001,1
789,2010,1
794,2018,1
798,2030,1
815,2066,1
822,2080,1
824,2088,1
829,2099,1
829,2100,1
834,2115,1
849,2157,1
851,2162,1
854,2172,1
856,2179,1
857,2181,1
857,2182,1
858,2183,1
860,2192,1
864,2200,1
864,2201,1
868,2214,1
868,2217,1
875,2239,1
877,2246,1
877,2248,1
881,2254,1
881,2260,1
882,2262,1
884,2266,1
884,2267,1
885,2269,1
894,2289,1
895,2293,1
900,39,1
900,60,1
900,375,1
900,383,1
900,443,1
900,557,1
900,574,1
900,590,1
900,619,1
900,654,1
900,657,1
900,667,1
900,683,1
900,697,1
900,699,1
900,762,1
900,788,1
900,792,1
900,861,1
900,911,1
900,924,1
900,928,1
900,930,1
900,944,1
900,952,1
900,968,1
900,1044,1
900,1051,1
900,1063,1
900,1070,1
900,1075,1
900,1078,1
900,1081,1
900,1092,1
900,1109,1
900,1111,1
900,1113,1
900,1114,1
900,1119,1
900,1136,1
900,1145,1
900,1160,1
900,1195,1
900,1204,1
900,1233,1
900,1266,1
900,1267,1
900,1311,1
900,1321,1
900,1322,1
900,1375,1
900,1398,1
900,1454,1
900,1484,1
900,1502,1
900,1526,1
900,1532,1
900,1563,1
900,1579,1
900,1594,1
900,1598,1
900,1647,1
900,1665,1
900,1680,1
900,1686,1
900,1690,1
900,1694,1
900,1710,1
900,1737,1
900,1757,1
900,1800,1
900,1828,1
900,1836,1
900,1837,1
900,1845,1
900,1866,1
900,1873,1
900,1874,1
900,1905,1
900,1925,1
900,1961,1
900,1963,1
900,1983,1
900,1997,1
900,2015,1
900,2072,1
900,2090,1
900,2096,1
900,2162,1
900,2180,1
900,2227,1
900,2233,1
900,2242,1
900,2247,1
900,2290,1
900,2292,1
901,2307,1
906,2326,1
916,2348,1
921,2368,1
926,2377,1
932,2400,1
936,2409,1
943,2424,1
946,2429,1
949,2434,1
