sensor_zone_1_1,sensor_zone_1_2,sensor_zone_1_3,sensor_zone_1_4,sensor_zone_1_5,sensor_zone_2_1,sensor_zone_2_2,sensor_zone_2_3,sensor_zone_2_4,sensor_zone_2_5,sensor_zone_3_1,sensor_zone_3_2,sensor_zone_3_3,sensor_zone_3_4,sensor_zone_3_5,sensor_zone_4_1,sensor_zone_4_2,sensor_zone_4_3,sensor_zone_4_4,sensor_zone_4_5,sensor_zone_5_1,sensor_zone_5_2,sensor_zone_5_3,sensor_zone_5_4,sensor_zone_5_5,sensor_network
35629.48009365656,21727.106503866835,32391.769897232956,18951.011957973547,42480.1383990928,23078.921848656726,0.0,0.0,363.17952994160055,21750.658637819663,26638.71712407712,0.0,0.0,0.0,25430.514809127897,21180.729204751937,224.0,0.0,0.0,28304.480334572214,23117.6063198777,23298.974751936756,26371.055112272978,18361.944249816665,36700.8924288335,1028191.1948494103
42247.94465523319,39358.952652862856,64470.74690860572,39678.42414593212,76175.05361868838,38394.14650488863,16365.884390441044,14184.418441679753,19519.069618884292,55111.75589619046,66431.64430601499,10888.0077164871,0.0,8697.859021335404,61597.958834311336,33357.32209264393,9656.661303245737,12615.12274406757,17043.390528645745,43276.48431192186,55026.43357792602,38264.985748597326,50542.54082283055,46375.7455630085,71777.75966471774,1687659.5478180272
52371.46494180932,47817.58655671553,63743.13996476074,43769.73918371548,75304.60516813424,43725.13884701676,62141.993183296385,74442.93036291811,71358.49349533897,60464.76916749212,52153.30550152485,70989.44394164585,1941.818775114747,78464.10367076204,66278.32455650262,44176.87320414103,49255.00682140793,69305.6054853392,71891.23071465544,37608.17326652467,67354.47034108297,29282.45313704461,74983.4731355835,49681.60416844586,61972.493536991,2279011.262030341
61002.108981927115,52655.39695711474,52119.9009732383,36842.89791168827,64066.09088744013,34357.58999576801,62527.676682667945,128167.98897897388,99038.07591921213,54759.09137771581,66102.56827134291,109991.85664542182,125269.1254051884,139666.3607904427,65813.6664141857,50156.48337988066,80502.45810839103,125386.6645993167,90431.7521864928,50429.28830367139,54921.57444856268,46488.53973553828,73259.69484131936,63564.98777238693,52204.74841847304,2806852.650396896
60151.717432854166,53491.565041980866,52062.19409666567,60844.946443221546,66667.83654434216,43937.634116919755,84082.78986509994,154601.02643740247,91115.13318558295,43982.11395305596,67510.75539331217,142450.08368637573,366791.11683661817,164739.54658397014,64959.33917257243,45922.703832185245,83923.26794306288,173868.89886218705,94730.28301239942,48252.93435124411,54716.19345900302,58270.76913264437,63060.719634657384,57842.555467944934,41512.646992096794,3331042.951494944
55898.31476323976,55206.21130588529,58843.158921558395,56312.08719346895,66924.06242973273,44759.23213685984,116243.57277464775,199730.97450154705,126437.79849254599,50705.67482934877,59419.641561269615,210292.6895073738,385680.8049040204,225355.49729954792,56872.52116491877,57548.32897565222,119552.70068556909,219744.03753849654,108069.13046350256,62975.643404465,67639.66028734072,55028.46218869563,57884.166122461866,50070.48226760974,64920.238894577335,3802052.5856088395
70794.24713568909,58849.57291876717,76981.43577128585,57973.760961060085,71682.99085106731,70694.78914923212,153109.21369999685,264098.28114697355,159583.47034428886,57661.77437059652,77969.2996682195,249837.4150764621,394109.2568113044,263892.223316758,83593.34270490325,67401.28088094702,159168.60711094196,277467.8552379015,149464.89838400242,64709.75965778113,52739.056537363955,50654.70644413075,68944.83464243975,61145.35202623054,76862.49268648279,4447769.904144324
94980.90895256877,78070.51398574065,109291.52431219074,80958.92021923639,81638.04768247317,102074.21899321438,160922.76701986746,257743.89713707071,179877.8320296738,80617.24478064131,103342.82671673484,260855.2992039293,388413.5033442814,278610.8464276711,110744.25210831544,70055.0129747212,162835.29231721564,269943.18641026365,163756.16684563,86287.09330103284,83815.67674139507,73172.80916032943,112281.26446734594,77410.78749799878,105402.27154721758,4982857.864404966
90951.27446382679,76166.90889229887,111071.71798249937,92087.24416514301,81863.6404878176,104593.57180141346,179117.6910562086,288140.5424719224,158756.92051925138,71864.11616694165,105129.56552078968,248454.35231086068,362642.235624996,280744.4611039826,135567.84467094942,78947.27798417887,162249.7676470715,269459.412392321,148487.42754205278,77780.02658109766,118702.17197544947,93150.50191250828,120388.93922872511,101251.45192385497,101756.23438039582,5403372.586387071
118038.05510791791,99404.15717457142,130110.79309991283,76079.07352193518,104505.74971147404,86979.47888724186,159370.35635682137,286167.5305659679,156219.48729269602,81112.41429400405,105689.9766947621,263349.7363045272,403562.50008182053,277867.02572258835,102888.10200018565,73209.09822820484,171309.0083720025,265835.93797868787,175014.39404295298,97684.35820910743,115422.59511296886,101951.25466566863,102569.01360494879,82615.45143973411,89092.95129395791,5603119.387414694
107733.51102774005,91656.08085015888,135963.92310174077,91956.10909892182,96547.49351324064,87929.57840666348,164028.1183254488,294525.5856884245,151550.46250681387,106167.90722818612,121033.38077449249,271579.4268303635,389750.1613730541,260791.5972089284,119886.02734380982,76125.13109804766,178701.6488377674,267070.64618671284,159328.66154516715,90048.08500776488,108043.33021861444,89313.71213473107,97733.21023056399,89460.45192176726,120608.76696719756,5629304.356564155
91036.06305247796,81538.24443882293,120889.80610619311,114424.68115081992,93460.22632908536,92690.23378224822,173381.54143232794,287719.75650333264,177591.73194013513,102323.48494582932,134386.17781223267,263525.2288329745,395392.7942872759,261458.62564754466,119916.83030193843,84045.45210608789,150166.0592143695,263814.7528579511,177158.50015948265,89682.9015533811,106787.32581576602,104177.48474950295,128675.29424605775,78745.17567117394,104219.91796452315,5640974.926694621
97503.81914630883,73649.48016170324,118470.88272793683,102237.50975159467,103249.6616092088,87274.63472312015,147202.2274891479,286153.5007692097,178545.91542105286,106680.83500903104,117051.1624800244,269599.9963610622,387734.8742248299,232377.697042501,135020.66885025415,74986.61747097182,138246.34738503027,259340.7552413273,190481.55562818752,86055.99100023779,103404.65939433318,112030.61832618508,123880.76731664805,77121.86601160819,98356.08431027435,5532127.380308576
85868.96718502628,76477.98836897574,110781.40042686899,92514.71016619982,104297.64204774464,94532.50840374638,126273.2820482063,256092.2832414497,162934.43530289643,87721.97201504267,98803.62431073526,254261.98313951114,376120.9626251902,230635.52090689223,122607.81657757288,63230.70911965816,142146.32213194418,244269.4815862776,171009.1680298376,104412.70361155574,100853.8321952599,94241.03709700172,118553.19699148172,92297.55067966363,107176.83522127566,5338998.641443572
107382.80814004985,73568.38799639446,95905.91704979721,74962.63414789531,107609.30098756158,77828.85027959854,138343.63901229927,235270.52404351148,167948.13021559824,70702.1346725716,108182.79022012195,196539.44604481972,374168.7544734655,223130.88173861746,108665.49085903814,83798.27578358102,154363.75444034763,244174.11728358065,176231.73300944892,86961.30332793762,106983.36289600612,101520.94410250495,109907.99109875143,104962.23647195136,96412.93410203294,5266736.667062915
93108.32259300283,85907.6073081563,98159.37982621402,84141.50718094636,113753.9505809147,94314.02484317658,124787.02393675168,194731.1878618987,167415.96091549838,82610.68398212931,98643.36631416716,204093.89687401472,355545.57509875746,193077.6102389954,104144.24763907575,90415.9799263918,182446.7608270448,257238.52130635793,184483.66399082434,80939.5359053347,101028.71078398605,89512.4558380657,111684.56622270329,88051.79615867532,92578.33889839801,5143106.669574642
88055.26275728509,87905.70541548729,81556.0771220915,67769.01967826349,110945.53211556813,91340.07505085629,147388.78397183088,202247.28226791052,192144.3095496446,81537.09009081838,127414.87105639343,204950.16830726832,341044.33347972354,183394.67679675503,121028.92825694132,93653.40187603877,206599.67467490467,226268.59416066582,172797.78573441887,83905.09790731399,91398.8980570086,108093.63725611579,111441.12453953155,85699.77574442296,88296.9729297468,5099360.384550991
71050.04539537821,84892.77620407032,78451.19089773874,75975.63243088376,100099.97893305824,92803.90676114542,127769.51885274649,226555.1489144224,201187.74488599022,81914.84442035093,112149.14107539062,210864.10461686717,325385.22363677755,199426.38698833916,108071.00983332904,73469.13496266058,169131.75457877945,231356.7346125219,155595.85077257938,80609.72994222547,126101.06523795055,98311.78067822398,115917.29135343253,104059.43320593552,105207.52400019667,5051930.860191379
72638.5969306221,85538.03003926891,74460.03323261041,86811.45460437905,96355.43900753961,86852.86389248111,140876.87513163505,237660.72456657854,183686.09907567783,81761.08096456733,93627.48062787765,190270.1298114297,291861.21581676084,241437.45934782064,98462.31544086935,80477.2399432952,151347.18579023966,194230.34943299388,157733.5300102315,92003.002712527,117392.79959078481,104352.9632159801,110665.92931642309,92738.4466737234,98720.97342325097,5022905.2873291215
81374.82627358839,90128.11083797377,95015.64824958505,89113.4336516942,104361.14309311766,92678.47038957251,102903.70278461653,229891.76907101646,172176.10094864052,90236.04887090219,92326.31823039085,160797.14306026907,315852.4723593931,242189.1475759618,100661.44250320736,93858.52236508428,121481.44447209996,155096.84546179886,162954.1819692005,109895.18300703731,95473.91836015024,107251.30833978923,102862.31902832763,78854.67546034235,90221.2894170717,4559013.536906955
60188.36107168006,76097.57515987325,81060.56648478741,70563.23211452606,76776.13935033933,77818.62760376949,106993.34461218095,255240.62740289792,165756.82600115376,76713.2977687817,66645.05328131204,147182.48797409327,284484.3923158576,222237.50363263674,67220.19379012493,51451.90595003737,145792.53145428275,131651.50777530752,145875.94736753547,76075.56211456275,56801.97314724909,65624.5636008791,69982.19868185624,63031.91425323133,66215.39217237626,3826433.5819843556
24684.08488318471,36988.50822799504,34490.414062790056,53667.71407609758,54815.244586813205,51800.07432969341,91044.11161106924,276603.87218360446,160518.72473156048,40758.80190336728,31443.951477772105,108775.1635514354,230376.5596232186,235192.71486674194,54994.998856176775,37837.79230600803,108934.33972613236,105752.74886991932,109479.15971670413,64352.00222626966,22816.566408765102,35590.83836395682,59752.72557835827,48203.7701602418,43604.22181603242,3045556.6707853465
28684.764973902234,30614.586772008388,54927.06870894086,60356.24539038114,54182.128133301325,37635.21455747785,62587.04633304695,191622.1264326746,87639.55343138469,28621.770472532127,26354.310952654785,69261.57781726736,219419.31168152438,208321.74856889577,39696.752081730825,40602.30034347257,49026.51379859483,63117.348380832205,65320.38294309926,62615.37619737757,22312.071916842833,22446.702608013922,32314.359144529593,37043.48988648782,38388.14598646542,2468819.3692324823
25084.17840726376,36900.02848716717,47687.53361423887,51112.239411661656,48771.40339382758,28979.610075295426,64967.4553553307,144342.96787861467,88382.40990883805,38627.54048494712,23072.775223193035,61683.36469101107,200621.80072251256,152481.59361978486,41749.922002810665,30022.573902703032,36272.84039508613,55623.59079122533,52881.48312670305,72976.40698037914,29645.50464538795,23856.002612852277,35435.06400931439,23908.079250560317,36730.20291784977,2234463.188234258
