sensor_zone_1_1,sensor_zone_1_2,sensor_zone_1_3,sensor_zone_1_4,sensor_zone_1_5,sensor_zone_2_1,sensor_zone_2_2,sensor_zone_2_3,sensor_zone_2_4,sensor_zone_2_5,sensor_zone_3_1,sensor_zone_3_2,sensor_zone_3_3,sensor_zone_3_4,sensor_zone_3_5,sensor_zone_4_1,sensor_zone_4_2,sensor_zone_4_3,sensor_zone_4_4,sensor_zone_4_5,sensor_zone_5_1,sensor_zone_5_2,sensor_zone_5_3,sensor_zone_5_4,sensor_zone_5_5,sensor_network
3782.3429506672596,2183.401722771389,5630.2071753176,1972.0710127628033,4502.333584987338,2759.175872709233,0.0,0.0,35.54139499582862,2147.808160544751,4782.011901988632,0.0,0.0,0.0,4310.339323713122,2088.070853779967,25.6,0.0,0.0,3093.759958731688,2364.393424282472,2401.537359156724,4520.584511083625,1844.6130256850645,3916.249396636671,119901.9548229327
4258.627549887315,3993.978558164992,10994.163161620681,4281.59446307882,7785.363960907219,4280.891402825104,2002.7469714040162,1921.8716019903418,2272.285737939312,5529.718353820528,11480.5563343085,1583.150364038493,0.0,1400.6898573318665,10430.518466333531,3505.7041628901893,1197.5252733790069,1548.2923212558906,2318.634650803339,4681.467366029742,5681.601029316167,4404.492919544019,8550.156568514467,4767.265354664256,7259.886285904868,204507.53582293334
5936.451216663517,4940.149952406177,9848.918645295336,5596.01330917322,7774.833530196521,5046.874697488043,8219.178042075935,12259.29104146303,8237.530830515967,6111.011905990353,9093.498762364781,10970.282543078587,191.9909142930872,11555.708935670764,10998.930428136835,4261.881100526232,6794.840243254835,10634.577712264116,9328.082270209328,3947.358083925531,6889.769170911703,3488.585422419964,12178.320519148137,5684.343176084986,6802.511378150805,287965.79900000046
6772.530160424665,5209.180691128333,8594.946219316826,4419.452366178337,6570.6266725839105,4017.2337422471896,8506.474800271117,20679.99964822281,12948.372195079171,5697.443395367252,10406.811926329327,17815.629260188933,17358.505826419496,20974.86888141053,11739.157066984002,5165.460392911597,10503.059365968968,19514.23495551564,11782.820126010522,5455.173477937853,5730.0473682364645,5525.361322281397,11422.554691314359,6909.005280450989,5057.0789263149045,371216.1320000018
5998.085230945767,5521.66610425903,8510.471499487541,6686.890376684778,6784.855853637536,5290.557289694084,11547.601495497918,22834.1040768683,13307.114129809544,4332.4343552849405,10773.187473714263,24061.538164483227,55642.09640762749,26226.784083627776,11134.276710700966,4761.281927983986,11343.114191774153,30405.94680112499,12420.947313945697,6115.568459336323,5822.921741039917,6442.641294130674,10094.331174395022,6398.000673118683,4750.960577348979,458311.92464586557
5838.424434931832,6298.7066724708475,9684.398706935759,7169.94313858754,6597.958527524636,5106.555095310873,14806.779808608217,31701.70106148004,18160.970533998985,5292.332908157631,9702.180534951125,33442.39155905,59456.27794904342,37968.98154572863,9477.577920955422,5702.743764030436,18255.055771526688,39045.30284451122,16000.774304425333,7523.590691260938,7156.006233925241,6094.936538553809,9565.156345841902,5231.044240827571,7357.136353803471,545105.4920000046
7673.483098762623,6462.035025547695,12248.377035504951,5859.429970486665,7910.253770716532,8029.625849715308,20794.944710500185,42517.18703753712,23075.67485223398,6282.808015391865,10832.310565135587,40210.331087608254,52831.26373869813,45171.337318966216,13277.380890028518,7497.957024380607,22466.60290938589,50893.5077903964,22137.938835335764,7545.6969562465265,5776.815958748522,5531.857929584693,10992.128706616593,6022.947970181662,7893.488593234431,632226.3168229387
8691.705524039058,9160.165469272082,17353.660219458357,9133.718497646412,8786.619421301297,11060.169975390028,23026.61330382709,48770.11472527633,23560.76983858032,8485.889124848001,15566.736373338317,41618.757327202344,52441.6897566479,50550.437189470016,16400.82169047669,8337.405314593838,20825.527796393155,52295.962275856175,24445.439885481337,9534.574211779545,9087.771992960415,8654.143497953552,17001.197339293154,8994.301482467376,11022.750799740832,716512.3023632792
10881.910640105818,10048.621030740958,17249.260484158025,9796.66865333121,8798.868335923067,12001.42232503608,22733.805207291403,49223.55163093028,22403.12383125976,7940.535749807724,17065.22625857154,45420.25004647051,53921.60603211782,58192.409369775894,20730.335287266447,8721.556451343997,19984.620213505656,51400.195585550784,19723.7075555638,9336.55780253184,12956.62540464525,9108.397352030637,18242.093268638637,12176.30449769273,10049.523626115399,791648.5857353472
12810.18738088308,13439.67566823039,19314.86117329231,8756.3471805865,11836.667992175782,9486.163288009733,22789.76214584531,52360.99959369359,20378.920187185533,9271.169201647204,16084.004952336833,45505.81589363059,54777.38203346389,60641.485780085866,16265.432236595616,9105.247761086704,22770.63970371394,54951.75586617886,21911.601357332827,10038.457808914956,12848.83707890422,8918.657632184646,14695.628080512217,12042.316055106701,10737.468211424102,829414.0415662737
10935.295767875401,9932.162965274758,18229.378925787725,10162.342288971278,11257.98258976795,9747.416256724016,23051.25915013628,56120.294647443094,20675.70735846097,12998.395722086925,15088.982347195031,42911.29502660934,57941.42773808247,59745.03384023242,16111.719156021194,10503.187122489902,24674.441892683586,53671.29477648618,23756.397343741446,8081.094696943936,11536.86413243511,9616.074532925804,14153.072976635727,11060.855823729833,11886.059398377736,854349.6332966294
8518.480212187987,8530.782887165884,16581.14993511282,10767.936033472231,9356.650279746074,10020.633302923523,26380.67399377312,63927.5757082787,25416.25205388286,12934.212020853045,14596.999594747866,51490.122480237755,58262.520473046294,58825.42203556122,13744.044523126953,11165.619547358112,26010.144693823542,59098.59050720639,29497.899795630165,8792.050607382844,10864.918448564955,12423.725609537943,14379.299904456668,10408.554560414714,10864.161490838434,874246.5873007252
9057.170294976557,9543.687102454574,14221.515403213978,10393.12711030371,9488.13809191931,7565.5687830825,28235.863636287006,69497.03385749168,29234.698513254774,12705.990687427658,14576.376869728825,54196.70609394672,63456.41865038479,56841.704954313,14910.287342039364,9753.387020580612,32233.087258686053,69227.05369697823,35704.281139654246,9520.236907095146,10069.18805159812,11643.79850856846,14496.10095743787,8845.480280581547,11195.22613315824,897457.1906036168
8033.901638063458,9720.615933810792,12754.608819003475,9059.616286444487,8839.20483154795,9263.752449860633,28356.809732182883,72933.41812333745,34839.08134246383,10075.706427834599,13710.517280734502,58712.15938335396,71731.97061601466,53255.57333724235,15193.532576394618,10485.251382738417,35220.72819283224,78539.59040956112,36807.42270456785,10682.057998168488,9109.192512743624,10242.150735538766,12703.685125141503,12665.616953429646,11834.569164965862,929887.2064894325
10070.680900831334,10825.529477954824,10784.456928002031,9542.871385589622,7547.495427760232,8740.953256388046,28556.048114340494,80907.95103363082,37835.75713372108,9376.869386577277,12895.115734603067,61400.021850333746,78996.64683535887,54149.275842266674,12724.84320199553,11530.655665292443,37799.51178291957,87305.68406151111,42269.708613427414,10043.325150475546,9827.46970786838,9312.588475003187,12588.93140537699,13269.358604369338,7804.287797204073,967354.3927977328
8763.349321799122,11434.093752633287,9922.084360984629,8367.62269271871,9106.922668555586,10930.058546297176,29316.23455174075,87208.5300298752,41908.34160821435,12552.290853388215,10268.887990878971,62749.37180655585,93280.83760789114,55324.82109465077,10955.917579052666,13261.212111601988,40827.532600473256,97847.83668069786,43645.840197235826,12529.456731846713,7709.745254682904,12068.266610849265,13709.228712662783,11828.827882794783,5682.1669099868495,1004004.8285784291
7541.682025193892,12945.25611223004,8454.29919856039,10974.895753424735,8144.7446662011525,9791.775222636546,36249.754057933715,87193.94456924194,44081.73830218863,12755.266965498588,9961.99580658178,62938.83244145244,104474.75613886991,60155.98877358175,12066.529948550544,14583.038808717687,43645.11327468657,108030.43715366304,44104.39981193476,12964.674729545231,7168.394845525492,12508.509200625258,10679.406291202347,11841.82398123367,7798.513919501501,1049245.923441833
6096.672842603438,12834.088701810537,9757.570118580394,12026.428975033954,7942.400264619464,10494.149939639148,43055.29270026567,88124.62255462953,43751.54065082209,12406.013135614956,8659.198269021626,64269.22415928445,110628.15064724442,68842.53598611447,10736.006416053733,12102.705033044733,47379.36996651676,116341.455380921,50993.335554599194,11753.672857205682,6421.067116888045,12716.545976327581,10096.348781467408,12993.022776580749,8861.90385169304,1096971.311323847
7374.7357691152865,12656.60470372473,9042.261508613685,13068.408040468183,6733.911407540407,11324.483147249144,45207.821581856566,92937.82180473793,48792.14824201347,11846.539985333115,9230.282943862989,71437.5700777676,106064.78239994758,80444.70961147205,10600.590758317521,11570.566217988948,49205.91190916701,124732.3101469893,61364.22764414561,11225.551120554384,7548.021541207058,12416.663923977603,8438.175574691188,11573.876130672297,8180.213801646233,1156677.8695090783
7248.392849637166,12104.632013008462,9932.213409198324,12923.810753509706,9019.960508494163,12452.65377557153,47891.515049960966,99257.19272519695,52422.304898675546,11390.02943063593,11068.792982406789,76102.09461279216,102552.13162663324,92214.3173559709,11592.51324295146,15263.352610239726,49763.307051797434,132538.47094211078,70324.42099537619,12517.95622610683,7546.11360636855,12540.73381050666,7412.98676092276,10613.453687074229,6958.026145150275,1176220.9606204727
5435.259035823234,10070.971885457018,8188.28896634802,10055.832745134496,5532.1013907120605,7471.60494769301,55321.37525755478,107123.80559830731,55185.72350894478,9451.971148878318,8046.132814025639,83203.14735045277,104983.41560622616,103214.93771907222,10099.330288024596,13960.651391166637,54124.813280485614,141642.68650280195,79542.46371480935,8595.700352344444,4084.922073163173,8050.372371078179,4061.9077542379423,8316.575192034086,3539.342801091687,1163600.869941511
2361.0742374980105,5751.13031874594,4543.815975613791,4901.717237335181,2997.003936049696,3687.4654568262417,64212.326800541174,114073.60051667216,58978.07929472174,7877.335251166557,3439.1862982324747,94899.24173191443,106936.70956835547,111743.9824984268,5950.105288426083,9897.777713651578,53986.76811577622,145665.03086072006,89581.52973547726,5057.806250273247,2770.500415633945,4995.167419575877,4115.168420728833,4970.606710947841,1617.411815970491,1151731.9911316568
2483.2837273067103,2812.2452129898074,2648.1297331973888,3024.113193184939,3350.816775105071,3084.6936035095923,66621.65008078415,119113.20539493134,56189.72597485366,4662.473435734507,2839.4447935642343,99851.67533781138,110356.37948529675,117250.15788608437,4068.92553766065,5831.1416110042355,53304.77668733388,142860.4060332721,92996.30912451484,5315.839821307302,3458.2614827110897,5021.564120503456,4087.050464653392,3545.6250646848134,1602.4264879038071,1147418.0130862105
1990.4252076823875,3579.8019801545197,2575.9306374185776,4569.085736417654,3329.822056237701,4136.655635668855,68090.13920878436,121035.55011312656,54508.34270603949,3638.4984289072495,2788.543794115101,106232.118997154,110234.12895801522,118510.29745859391,4148.729633651732,2712.1368876491283,48609.08313151764,143452.36000045898,94099.61383243705,4415.1394734502655,4264.807192420824,5350.298571072976,1909.7724404171415,2262.0392905178073,2690.3672055264205,1142866.7866264668
2040.9623930354232,3809.5039949898833,2934.1405223821307,3999.3199545605894,2212.629558454659,3943.7202240360525,68902.69132524884,121201.57230526356,54777.71811176798,3137.9039486331058,3108.922346833259,111153.87330922659,107085.84475085717,121621.78818002272,4329.736668065304,4905.762880979172,47461.780017689234,145410.04966496644,94516.73113538352,3983.774781573717,2887.715923528571,4762.252334793868,2193.514031751253,2288.389439823781,2652.89832329621,1138296.3194024877
2665.504774975824,3135.816016863573,2033.8337332734766,3388.0086711648178,2693.7388880814956,3827.184394018834,69468.25954484311,122067.61593058874,55596.368162441264,3380.647310903054,2653.2281513480643,115446.37992153964,104282.94156298754,124469.62229541824,2315.0306103023004,4682.701734840774,45798.707045557276,147447.20782993073,92926.02840778086,3079.891327301537,2162.2419416229964,4842.15384855525,2969.995154874397,3601.073853964546,2049.828179160735,1139269.2918454965
2089.9892616865654,3243.3768221667515,2063.22100810201,3255.1418871445344,2392.6055586781113,3175.5416887935376,70254.9902373882,125347.86868819369,53976.55377251492,2923.682822676287,1635.0426349645008,117353.2334710217,103188.41476427577,126018.30199541734,3194.755390612237,4502.809551740982,46667.41541336641,146352.7084348049,93714.22688431732,4245.81221158317,2503.6950652134674,5230.403784647161,3564.1541584153783,3101.713730149939,2530.0173340019055,1139932.9175436008
1902.2174407947132,1975.9421996593676,3446.9612672313738,3879.5586657539598,1536.854852124916,2215.069060226999,71880.71053144413,127303.72110800771,54575.98662534041,2741.163471643975,1965.0113078263983,120000.05667761112,99251.6773899356,125106.82106143302,3291.4753876601626,2666.6807847565383,45792.93868376939,149410.50558089773,94327.82561697919,4485.815069557631,2199.7187294854334,3673.123259690637,2585.924307147076,2775.924999951654,2761.7395596118845,1138671.284444326
1017.788901529002,2099.6135284028196,1751.2709771333705,3835.1936653738744,1745.9545613291832,2832.089841770919,71899.09499922373,130614.959996262,57081.03239229376,2722.11496976836,2379.53034144321,121459.32812803991,97142.87241433146,124643.06108897182,3198.6236411154086,3827.221118255144,44873.56117748539,149092.4153018973,94078.5639395472,4934.3278923819935,2146.9198068887817,3476.951337866668,2398.771155792819,4108.165599121178,3009.1033192049345,1141500.8485040453
933.4062286420502,3003.832235912634,2598.37201066111,3381.3018957963004,1481.6450170963312,3622.4691272589043,71614.28800963135,130858.79681690173,55430.73031358474,3663.261131619938,2102.0827878977047,122946.11741038029,96684.97764626048,123983.42798084802,3436.5243142583026,3037.739727955244,45639.92639062744,148891.47610924792,92250.70860124574,4760.444301087732,1639.4361162172665,5115.441044001713,2428.9968048321443,5353.869295147591,2852.8075185460575,1145776.7812975873
867.5054713022057,2952.1980489815505,2413.0474864860885,3593.3307723183398,2410.7045143130777,2644.7775168752582,71766.39111354119,131155.06056634383,54998.216159492265,3455.9846334830813,1891.1594962424772,124592.94441185954,92062.48556312462,123357.23501156807,4133.758694372113,2981.3674440899254,45596.720229483966,155681.5953774385,91022.78366755269,4379.585569193126,2973.3082552582077,2746.609602912755,1953.7533233752558,2827.9006426931737,3235.609788880764,1148299.0233330796
