time,zone,veh,activation
1800,343,2030,1
1800,343,2611,1
1800,343,2651,1
1800,343,2698,1
1800,343,2936,1
1800,343,3046,1
1800,343,3195,1
1800,343,3281,1
1800,343,3301,1
1800,343,3315,1
1800,343,3703,1
1800,343,3704,1
1800,343,3887,1
1800,343,3906,1
1800,343,3926,1
1800,343,4065,1
1800,343,4200,1
1800,343,4281,1
1800,343,4339,1
1800,343,4386,1
1800,343,4428,1
1800,343,4546,1
1800,343,4623,1
1800,343,4683,1
1800,343,4698,1
1800,344,1551,1
1800,344,1702,1
1800,344,1889,1
1800,344,1929,1
1800,344,1975,1
1800,344,1989,1
1800,344,2285,1
1800,344,2291,1
1800,344,2358,1
1800,344,2397,1
1800,344,2498,1
1800,344,2505,1
1800,344,2545,1
1800,344,2575,1
1800,344,2672,1
1800,344,2755,1
1800,344,3000,1
1800,344,3054,1
1800,344,3079,1
1800,344,3095,1
1800,344,3126,1
1800,344,3195,1
1800,344,3221,1
1800,344,3246,1
1800,344,3274,1
1800,344,3371,1
1800,344,3510,1
1800,344,3535,1
1800,344,3610,1
1800,344,3615,1
1800,344,3622,1
1800,344,3667,1
1800,344,3729,1
1800,344,3790,1
1800,344,3828,1
1800,344,3938,1
1800,344,3948,1
1800,344,3994,1
1800,344,4070,1
1800,344,4396,1
1800,344,4399,1
1800,344,4415,1
1800,344,4457,1
1800,344,4458,1
1800,344,4475,1
1800,344,4480,1
1800,344,4487,1
1800,344,4490,1
1800,344,4499,1
1800,344,4534,1
1800,344,4540,1
1800,344,4605,1
1800,344,4617,1
1800,344,4633,1
1800,344,4654,1
1800,344,4701,1
1805,344,4725,1
1808,344,4739,1
1833,344,4799,1
1845,344,4838,1
1849,344,4852,1
1867,344,4896,1
1872,344,4910,1
1879,344,4926,1
1883,344,4938,1
1888,344,4954,1
1913,344,5018,1
1921,344,5038,1
1930,343,5066,1
1945,344,5110,1
1956,344,5140,1
1956,344,5143,1
1964,344,5167,1
1973,344,5198,1
1980,344,5221,1
1980,338,4046,1
1980,338,4223,1
1980,338,4277,1
1980,338,4347,1
1980,338,4696,1
1980,338,5167,1
1980,343,2030,0
1980,343,2611,0
1980,343,2651,0
1980,343,2698,0
1980,343,2936,0
1980,343,3046,0
1980,343,3195,0
1980,343,3281,0
1980,343,3301,0
1980,343,3315,0
1980,343,3703,0
1980,343,3704,0
1980,343,3887,0
1980,343,3906,0
1980,343,3926,0
1980,343,4065,0
1980,343,4200,0
1980,343,4281,0
1980,343,4339,0
1980,343,4386,0
1980,343,4428,0
1980,343,4546,0
1980,343,4623,0
1980,343,4683,0
1980,343,4698,0
1980,343,5066,0
1980,343,2133,1
1980,343,2406,1
1980,343,2694,1
