sensor_zone_1_1,sensor_zone_1_2,sensor_zone_1_3,sensor_zone_1_4,sensor_zone_1_5,sensor_zone_2_1,sensor_zone_2_2,sensor_zone_2_3,sensor_zone_2_4,sensor_zone_2_5,sensor_zone_3_1,sensor_zone_3_2,sensor_zone_3_3,sensor_zone_3_4,sensor_zone_3_5,sensor_zone_4_1,sensor_zone_4_2,sensor_zone_4_3,sensor_zone_4_4,sensor_zone_4_5,sensor_zone_5_1,sensor_zone_5_2,sensor_zone_5_3,sensor_zone_5_4,sensor_zone_5_5,sensor_network
35629.480093656566,21727.106503866835,32391.769897232956,18951.011957973547,42480.13839909279,23078.921848656726,0.0,0.0,363.17952994160055,21750.658637819663,26638.717124077117,0.0,0.0,0.0,25430.514809127897,21180.729204751937,224.0,0.0,0.0,28304.48033457221,23117.6063198777,23298.974751936756,26371.055112272978,18361.944249816665,36700.8924288335,1028191.1948494103
42208.649515605124,39358.952652862856,63515.7716633399,39378.42414593212,77130.06790092692,37853.087681359226,16365.884390441044,14109.325908087569,19333.83482876891,55111.75589619046,67898.48252856571,10888.0077164871,0.0,8697.859021335404,61857.69415391581,32463.686053674617,9751.695150790443,12597.273474625088,17043.39052864574,42140.563943703935,55236.46093136133,38257.592350315135,50546.05554145632,46375.74556300851,72542.84098518148,1688032.1194431365
55585.63612528168,45552.35365517844,63111.135727429675,47711.77940737752,73136.72388942559,43643.81622946353,62693.55357381531,75652.34851257896,71726.42167027072,58697.37312216094,55074.01412774391,69997.4675899257,1941.818775114747,76636.42584725976,67804.29698715186,40374.2467289237,49983.80383591572,69429.82526229392,70623.69459649628,36963.19653768884,67460.65372628791,32993.917801185846,74331.14211158853,49457.96812947654,65060.4338800379,2281633.36254094
65757.21831142525,47266.14400994304,56150.483414894654,37386.91489013165,64283.302764975044,35508.94322554589,58913.96904941002,117334.93600333834,101808.51132039746,52751.29623175282,67806.10472645002,107347.5611718469,133485.565792698,135292.97389887116,71114.62645955833,44058.7049415806,79288.2419223815,122744.41562671591,92519.52537855158,47671.77652266783,58514.429642361014,46082.585671852765,73133.62046168813,56489.01122199459,53443.80987810699,2791365.670337486
62109.36117680384,44734.1912460069,54204.46147313738,58826.993137518264,66551.72240439702,41918.13078685281,87063.75390390359,136989.0799532681,91960.66404487837,37280.225488448596,69606.26988750658,132747.1834694957,381816.6693428717,151632.66666600603,68280.40594885447,40339.633447216285,84467.93357204313,161349.53368116598,94578.68609687613,46780.6983106926,57206.37567538496,56377.324594288475,67542.95679158818,52427.22208745929,47390.88611627063,3270600.807806751
56784.03088373917,45698.44664693023,64344.956751246915,59118.249467560236,67670.61340295096,39917.84358138349,106462.479843102,186193.81524699397,121814.3146643014,44104.74102817739,63159.80858106186,196837.16244342382,415221.26887055236,215298.92537400953,59501.94060197203,53617.27087602588,119636.50170398409,212924.06421651648,97146.17043262169,63001.02628405596,69469.86529383296,55697.952143399256,60749.99965346445,43390.21841194559,70555.09766329736,3746082.5808624118
68648.99009660051,55749.26047866375,81363.66181961948,58054.045689292325,72120.95967810205,65191.21538710443,145833.22253839896,235259.62579592917,151525.39439330882,55355.943131911554,78519.14161853706,240961.2811726496,413343.80726032396,244543.86024459632,85287.67972461175,61384.906546018385,161358.4709737534,259528.18900692585,149891.69763585087,63511.64798912917,59112.17730826631,46982.926845916816,72997.320913521,50594.166916689835,78194.70043431221,4326873.615492099
83097.87053027861,73602.79701969832,116298.97828670316,77080.3451844189,82255.67496305429,101757.99411542593,158781.04986374773,247614.64210897297,164128.12021101822,75495.45619584879,102733.85997234234,243554.257907201,424785.9952383828,255725.2625442601,111317.83040060988,65492.81572365757,157850.2890174488,265658.19908808765,164268.2523067314,75599.93831922287,90509.31617767214,73884.78662007075,110691.38485348372,73698.43741755754,106203.89554953137,4884604.647126324
95589.01513825606,72099.33630058276,108019.82775962449,88985.06447448894,82496.83966374904,102688.48893343775,163186.64458692924,275254.9489226931,161990.70185616775,54812.45363621001,110022.60089390923,249916.24775958795,411481.50756532914,251960.54410202385,128041.02459258464,72310.78426938786,154839.2868076284,279004.623047546,150819.62715846978,77776.50281311519,119911.24153981217,85862.99100147764,117243.54551623449,91278.62931953087,97928.21250066922,5308680.909266575
116941.96831318564,90236.51676263475,132853.39111762348,73520.7726930217,102819.49345506434,91290.05702971545,166910.84827748232,259722.7049345118,151803.62812815103,77346.44430881845,103951.1510958496,250142.20438933684,430870.31765754346,254270.6464628854,93578.88255904973,65130.883882472786,170468.61507313963,261784.3369935483,168054.36437959512,87644.73808957165,110267.02177914337,103722.60974505385,100425.52574056783,88851.77955603498,105189.59666591253,5467676.54119794
115387.65002052719,79205.5259034361,135293.0314969956,91766.58799618816,94701.15442315927,89367.73471808738,164894.8722288041,270574.12737928604,129580.37251342385,96849.41782401557,113054.51933562482,243363.3606706372,421740.96508568083,257135.99174136866,109445.42581199195,72532.58461816577,179281.49217162933,260206.0717674049,158061.7113581105,83447.97061959919,106810.42679627449,88779.13403631464,112960.00831488206,90370.50144572582,116347.69877357931,5515057.1466957275
105814.82501761588,74517.33272587639,115056.04773579253,106651.20538068042,92209.81977764562,87066.7021508013,171955.72057885572,277258.24462643417,145716.06424386444,93296.25394415337,130914.6677430849,269018.4281193843,415430.0050856816,241594.6451244146,115057.28038211004,84717.0846490131,139475.6704319591,260259.38679185673,170666.7986834374,83245.11312326082,110205.03939745222,98393.28818006981,125699.45158470298,81048.35661111835,106245.73727671853,5484726.188426301
96623.94397825457,66326.60576749443,111833.98991953372,89106.58274004437,86013.17351240324,83773.64976500168,162068.59887046393,260793.62247750504,153902.52214361413,96901.81592684927,119882.30357729677,265787.69119912374,395958.1577078141,247470.18645477018,121085.39144947568,65261.65034046777,134231.93775378706,262202.6631102278,150351.1928584027,84326.75936681534,100427.61355459085,110914.50689865267,124635.5509603591,70980.51870396436,110759.11206195541,5320460.7565011615
95013.80066279043,70297.67430034663,108355.67187906215,82058.21717589123,95085.98023796314,93727.27177367367,161707.24278314807,260764.99491452915,149999.84290896996,88034.00481768385,111610.96125978258,247721.24853165357,372226.045268276,259924.95161999072,122084.20822475734,62861.87684759182,131809.5674601198,274443.72156042844,152962.0436625944,94715.21495752751,100287.88540478502,97394.64834550521,116501.98155175894,84715.11396019776,98170.2641844371,5290680.819527034
117979.14944316351,80767.37106996967,118549.2298219753,82138.15453546231,103041.95165734095,95241.89760797519,150513.3555849811,242912.6969816023,132489.60474076885,67580.50373329138,118323.60833694742,208790.35566077527,395140.96908930404,278714.8728916157,117661.28570017045,75748.0169474365,149709.26231311212,238183.5566859767,159424.3350436093,79519.6033454231,104753.64705969767,93455.77650106521,120977.74650149117,102847.18377521506,92444.76588329519,5303757.298997243
122482.68163482234,85025.48751493495,117830.17896855553,87274.74181806388,116924.17241926411,90280.71683849656,140127.39576779568,213105.80797698538,135256.40930093336,82119.08911198161,110234.33787303578,248107.05247415043,407245.1004792928,244169.2201440391,124903.45212509765,80218.59468730632,133389.73342431348,251986.72237729715,141372.95228697278,98267.1760443147,124356.05444800637,83873.22974854195,123743.41328250985,81718.57742728169,92897.2357352178,5332561.141441662
114237.23946239162,82252.29352138798,99877.80403819821,80035.78199539927,99662.76478044032,81423.4686237794,137709.15093643506,223347.96448451382,161897.58997528744,80622.32036436495,121839.93387108877,257286.72711724797,390570.8540025522,244146.5918465969,123128.32592001348,80598.99502595405,161112.85984127075,226482.02348272267,120079.0684330371,95043.15988187068,108304.16050570697,89815.96844510078,112383.41356027997,69125.98318946667,104435.81551286281,5234277.664826022
