Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9,Cpt_GLOBAL
91588.28680959239,40034.526886214284,69969.56357362715,53832.1409924298,7441.238217930695,68062.28320696301,81514.42756267678,48980.52873808879,67505.10042516813,1647843.8640456048
116861.82151655061,107935.9076858262,107495.62886111523,110111.02474535839,131904.30818666783,134321.7104360475,107262.56767625402,106620.24330147586,109419.78726587458,2490816.9000746827
128877.44746587102,168487.91376963197,129942.7767406203,148495.67787690123,193402.3422063327,188420.4833447228,122639.39630048524,173187.8455799522,151255.185422643,3154027.565481122
153168.82907578058,173332.8975660813,144017.4403746458,181113.08768146287,246335.34435480583,176637.57550315547,138113.51321279124,164401.9735426095,204688.78577557247,3572181.1299865814
171625.76598369153,194362.29499993948,175473.41901595696,182615.1688291078,215814.16130567022,209965.29073816157,162863.26696960087,180766.44598041914,202214.07723619835,3829192.786086342
187232.60483843175,190872.7081613486,173305.34057264053,181859.04610215288,235381.56270948236,218662.78633864777,174565.56979704121,185541.25541456084,200357.6826677968,3928714.1411019927
153320.7321011132,191832.35744989026,167159.929234358,175552.32455072805,244581.2709972966,212683.35953728794,183115.2927177835,182517.97472935618,191176.19101670626,3976764.8202332747
165713.40803431315,202551.52207726025,191425.59748388964,183854.02307184332,249592.64036181755,197851.40052496962,144754.67564809407,188086.8136077519,187757.5084339665,3925428.2068885243
165757.485966587,199427.45887118354,182791.86298730836,162649.80435516985,265324.2284070954,190703.63790489722,158641.8815299994,171176.042032037,223168.80783823584,3954210.482361833
174132.45149960424,196326.72376827124,191236.5339201708,173020.85033992457,257388.38190764518,205142.86195813183,153537.99063659896,169011.31161814978,211485.11170276417,3976828.765418823
153056.56645174872,200487.64936458875,196472.6038438978,205224.48135288095,270581.19633238274,203714.7745443002,170543.69791475066,154519.76914980076,182506.0873418208,3968324.4755360293
162625.07748271152,204799.36911678084,198550.49478447714,205031.23894293292,253452.22902754106,198643.2595411097,173142.18218406086,169905.15446648624,166351.63043130236,3910270.9592782254
181776.01318349328,213692.06874146344,194151.21390054887,181713.11270541546,240911.92286789406,219674.20648211948,164038.16524691178,185790.2333869478,153853.94291365342,3962130.8322813767
164193.80750104663,216790.029140537,190303.47892088533,170600.16695970285,268303.9424016767,247504.31979547816,160587.32915869908,165361.0604539953,196140.02221959765,4085307.83462116
175538.51956340275,213756.76088746707,202021.37003807776,204884.64678169132,269600.37717029947,240217.88145628394,170638.53279610668,184197.54909513515,188077.77813645412,4136214.8540383005
183323.3696308929,198898.55901512894,199354.08719036833,198551.15376720036,278550.1239448099,258241.2581604258,174686.8308537598,208390.35148996513,188473.39744904664,4148102.598291954
192111.64034571568,199984.52714545568,184920.43986227966,198504.19535193642,257065.69766924586,246391.79338970245,185646.34483694928,193191.8200246061,194943.7395201575,4129619.170109111
178891.31082411166,190290.1324220621,191961.78516915662,186422.67859021452,297148.653325486,239413.1636450386,191681.46695278565,179707.93186298563,204738.65699861097,4162369.4323951853
177522.60163743907,206068.20702319327,212781.00190815103,203563.85634330596,283301.54714451096,218398.84323489538,181353.61998405034,207793.56785417884,208350.93425284678,4154587.2642223295
171489.59930496107,213311.76279944743,196464.91128888377,201772.1824315691,262809.36046288756,216998.46937578128,179091.6683706239,187764.84614262267,224342.4503599194,4171491.359483851
172464.44498521346,199216.27776050425,222775.96093154707,182225.25668506866,252204.35163280895,210297.30197813673,178154.3543712376,196945.83277452164,207839.54735713598,4108098.3767022425
152748.34614607802,210562.44775248654,200033.3602497784,199170.17970064445,234176.2672534472,196871.27569495203,208726.50743487486,208103.95281176476,200186.12450026264,4085954.3300833483
165220.47410031396,216461.12889305537,206838.76448660673,179489.5073983198,216012.76442399068,201956.11918224627,189298.1961956105,224137.69240219693,199067.62558968287,4134416.9266406894
177149.42351335718,213818.93346325422,196383.06428931342,186273.86428820662,224270.42906752418,226941.70897417664,195016.03217315732,198720.80763443265,218763.3321398812,4158622.684373178
174490.08737217332,188355.3966918564,193339.41094713495,193642.65464657533,247953.66554953388,212965.0236205477,203743.49318702452,206082.8316831753,232594.13417405827,4193124.641044102
168817.77449887854,150367.2564098443,214957.09674593314,170763.29471913417,270502.8725479682,234381.2622260276,191752.17526911758,210121.8358834492,216764.41810600986,4177720.009272538
175075.20981301056,170875.4553506987,202191.82373656568,179091.25051376328,279808.8551211681,232016.1230462605,199351.39131891163,209437.28240665264,210562.5407787566,4191742.6815036265
188232.082349611,203665.55288136867,214604.9155787931,188700.97493795145,270082.63294980995,208481.60539154033,198024.339481196,194030.6587859332,226127.94134022124,4256839.112621133
192836.00366665708,213217.0517451683,191828.01759807678,174077.486884295,284488.21623055305,227128.07345274222,202066.90967973354,197784.44336583084,219225.3669835697,4192725.277488814
177781.6623124022,212300.18248140014,213820.23377425948,155518.6969241383,282529.5083704583,224737.1951249752,188740.92275761918,178593.413827098,192485.47040511642,4111317.9842908583
181940.8878502272,203516.58406566075,194305.78819060492,195071.15486817452,266197.84879742604,215256.494354437,203466.45037281502,195865.03709332738,172265.92346732895,4066176.1404493134
177896.47715828114,211079.1095629868,187802.70946498518,216369.93888464815,258257.28331205453,212862.3376433157,203849.46862592103,191316.85646483497,192898.7827023101,4141384.8901327327
173868.03918359533,221678.34187384153,185122.142155745,216209.10389994836,225243.32422131367,225913.100022333,206510.15102135026,202779.82380229878,203817.11465256198,4149586.155168301
185049.5012499452,212560.71210583166,177052.60807614165,197225.80052034606,209921.82448074225,238864.9270614246,192717.1993544165,214255.61888410043,206769.49247576593,4087759.616323888
190104.49135441185,218854.8817549766,208712.89272476087,181362.36742804147,225060.51223460006,216735.25851686424,172966.07156417644,216971.73120513913,213469.52884453276,4131534.2703670324
202845.13009013946,187069.46658590372,227098.8583559031,175617.19845399793,243466.84736929592,205446.5952202005,199110.15639617632,197202.680749964,201368.25398485517,4080662.088530257
201368.23048150315,192567.8809817603,193675.7203126607,166299.5575684404,241113.95404533742,215566.43833496558,203909.57664543125,200513.32864243077,223402.68503904092,4157764.8463310944
182285.4259708011,182137.52278629836,191051.12102132122,170393.6656646718,226847.82157474873,217560.74884831888,201755.86849438053,197669.74707794355,217559.68796319657,4092593.4757425417
170403.9101588832,189633.81705788043,199661.16987677664,174644.53784377972,214777.14348026726,215846.07582034118,185016.38097544078,192657.80508006006,225424.4822010044,4048702.164208262
181236.72152850975,188828.42598718003,181394.7048136065,164259.2080917249,209884.10160399502,236117.43061264142,167950.59334300543,220044.16167846575,219585.56019986037,4089096.5497286697
149102.16603380928,208094.87028814806,181760.5159524764,175486.15104917547,196841.60019808763,227630.72230216372,174645.7428642667,220937.11302460512,236829.58007486074,4068388.750470265
158288.49360105215,212143.22269679996,205586.40901304138,200342.18453143458,219572.77808365301,221997.10102871334,196026.00946414474,199144.95072146202,200652.51723944567,4128169.5505149118
159780.60694774715,206682.00276158153,201210.22713625748,194616.66463640984,201711.73055782195,202883.71390968663,194216.07127751329,190124.13522734633,179885.41136875917,4027015.10704158
154600.33682115944,222060.9974162764,183623.35929585635,212378.6072822802,197157.8214230071,172144.15843894126,174737.22480394595,181100.93591430032,172222.87210978498,3886312.2875569263
150008.9577938311,232995.65849104468,186576.04018623533,184948.12551192052,197597.35658870562,152285.44926946977,202777.75274322866,145666.62796693156,168559.16147552198,3792059.4203115255
168973.59784122597,205764.62996959488,193482.74801301325,195662.78068173717,189538.5706914181,147490.98968180403,190998.4686591102,128887.84630510662,184932.2582486254,3882813.53027994
179631.39548241408,196054.83887177325,201928.91536053634,163665.56392953236,197432.77566519662,127830.23562957729,200866.95837213888,120721.5153123254,181523.51840881,3821938.8744616415
173101.9123408347,215505.3001532211,200337.70621141838,171467.10321736988,198613.31658267468,142438.5278031007,183566.64709503693,93412.50235802153,159012.21685365212,3834791.2796374797
158808.00488240508,223311.74342037473,209310.57838231398,207502.50538346224,166153.52209945596,127753.47301262942,190818.30937324042,72185.02785011785,140591.75798135946,3700808.695084445
177978.4713685774,235586.13457847165,204969.7672536756,181950.0774232573,140712.46975851295,122254.43576858816,212116.891331401,84303.14532951196,146357.03753189146,3726453.737242821
152842.96904705782,222876.5310393167,198914.5459956974,200076.73933816052,128082.78263314276,99888.76471285374,191209.83791203055,58021.41532099297,131576.86038969658,3576004.970122769
