Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9,Cpt_GLOBAL
12098.766956533365,4687.849076291569,8725.464369667081,6690.852285566329,932.8309762989422,8595.16033255286,10360.558911053138,5994.688819547591,8284.357985281757,204673.2786531777
15135.481955457946,13463.975011482182,15132.570053581872,14902.754474042185,15854.187353613195,17145.35504863418,13822.806204628681,14452.571457087377,14487.716298318765,329437.64146673534
18210.524429791727,21929.31038815599,17802.183032121848,20539.614635868675,24657.506818629474,26593.779628287713,16909.57872991711,25400.53753923153,20214.255676294415,431001.993410496
22676.09663442037,23403.791886370163,20936.41723699209,26886.726390551834,34991.67774003102,24590.137815606715,19747.087603802956,23795.481991326935,30766.67867574494,516410.6493254576
26241.615135433563,26743.50276591953,25233.185593025064,25941.90139262539,30625.91922674003,33049.57315371217,22683.02350253199,27567.283360581114,30320.278857425445,555173.1809855597
26708.564752638154,28398.50526582795,26448.082291784704,27547.33037167401,33275.114389693634,35817.38441756867,27622.39868408339,27229.69421952926,28460.601964602505,570293.278743916
23072.68675529364,29216.357881991065,23256.724493970014,26917.685754080278,40402.457361112625,30423.263499627385,27543.69564056889,27846.18617689374,29162.17728703434,587841.4336530062
24789.22523938225,28367.87171793602,30788.510901119847,25326.043116366935,45956.66522996624,30156.976569407063,22275.039396769997,29738.653009456557,29857.951881023553,599862.2078094928
25068.353150404928,28057.147619379404,31314.554555748982,25355.577675488348,47643.66297767137,33012.37116216559,22675.031701462107,28003.773837093515,36662.9645922735,609802.7779582542
28372.186360467364,31980.561200234682,28490.350864675755,28538.009132846553,43931.18529869429,34223.58614537171,22968.45073941202,25425.92238949924,36596.90526504437,613843.4826797162
25369.259999928392,32120.550564919155,29726.18862846295,31188.333301455255,47675.92786443436,32676.69176333475,27169.757542963278,22346.8011896845,35229.03147803306,612484.6846711118
24858.87479800147,31601.015746566834,32244.630159090444,30849.292880440327,48778.299369505985,33227.322832791986,27013.033407208957,26660.935448275017,32104.00032806544,614659.1031463867
27524.79301730951,35467.531621904214,34145.224566161254,28484.887139137267,44075.17371087536,35043.937712775056,25062.394117268926,32113.568682741803,28716.566336195054,617557.2451371773
27311.913809882317,31632.902051535373,35191.52590624302,27101.05301442838,52445.275819292794,37742.76555435515,24806.41141229254,24791.237710390953,33120.66380282994,634730.9352678794
25907.165069387713,34370.77422045055,32408.922455403008,32235.9283214089,47231.47619785773,43560.78426603357,25448.726723504198,28668.70573947382,29639.06700651434,648615.3013510073
