Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9,Cpt_GLOBAL
91588.28680959239,40034.526886214284,69969.56357362715,53832.1409924298,7441.238217930695,68062.28320696301,81514.42756267678,48980.52873808879,67505.10042516813,1647843.8640456048
116753.11693018017,108218.14297994385,107718.08330689545,110131.24262430916,131308.36126094294,134339.37394144636,107305.81543634678,106111.99823851901,110082.6251512718,2494407.5670649093
127627.53342445387,170157.99367595985,130807.84075379085,148779.14675429233,190296.2440139031,187434.3146767947,121135.96966324405,178376.19737924045,153831.9478151086,3159498.6264200597
153899.69246401786,172977.74772392894,144970.9013430333,178853.28890828267,242710.54255162942,174750.0203775101,136278.48661841176,157574.10885452997,203302.35928203134,3552435.275630128
171422.99748307944,194073.20501938267,178923.1093188759,179541.7052577291,209377.73574237997,221466.3354467177,161924.591531028,182478.13792452178,194433.93346912708,3826050.178539604
179720.23345610144,195817.37145254982,172519.5640477601,178965.8239833026,221077.23009152297,219317.4855471652,173366.2463985472,191296.8821893452,200402.45022058132,3904360.3166561206
158754.41988183543,198834.8293778055,164067.8626709247,189032.66771113686,243122.29648513006,189449.81612314985,175980.82052511795,188313.80515955415,201775.53036357687,3990088.926662646
165318.14171533866,199273.23831054766,191186.88768193164,186556.9747748496,257286.77636950364,192743.02054113193,150372.32521022562,183804.7766653234,192113.10165277583,3956256.6847932283
161036.19239695166,196759.39364654792,188378.75533573257,176112.41627312955,252598.5481527928,188803.47731548292,152011.6582841524,171179.78573680326,232755.33486456276,4003052.4936508276
167656.16836437568,204047.79891031637,201590.83256565052,174264.3019271603,243051.86927996273,196927.73322012453,166026.39052415386,162106.58770962947,219135.32989560076,3966838.5493406076
161262.78101513156,198896.4166594236,207417.29368924638,193371.9387178062,272695.02468516957,200612.87257304566,167659.5796587264,147141.39071559822,198701.9303109417,4000612.5635245065
156644.86582246452,201706.9596008938,203463.113289524,220021.82948663918,255760.8601733099,205747.3038190117,167164.7204143902,175780.7054325119,169860.51808209176,3956099.358644858
186593.58942442882,216419.1628303081,199887.37077740577,194368.79240772096,247193.63223706433,198468.74687833458,167996.1801686354,172436.6446156972,168403.76998976924,3987701.1593542593
160862.04607045362,211937.24801512074,196276.87664103205,178503.3457168697,267320.092777699,224331.6477714222,167296.92882968838,151014.67032435065,197984.74283477344,4106585.309953701
173758.75979447685,216445.37338720853,208669.32567567757,202637.68927484733,250287.86385001772,231857.49527077802,167581.34058979695,177589.07382940163,205237.47116283292,4159912.9594439133
193632.10945134665,210512.6444813865,190685.04669297862,199965.13293623077,258742.8461450242,240716.28560724022,169488.4544329734,181898.39521290618,212630.4487382588,4156524.248071693
181936.77300708584,202228.49559145977,187795.11529584488,206082.44016457754,246919.63188647048,220890.45335820963,180753.84924868314,186643.63406383427,212285.92205499805,4102486.303698608
181025.11098627443,192956.05936761515,187518.56091608095,192035.23963238837,287921.8273525937,212524.47880897662,188187.34033920142,173813.76762947658,220755.2973955881,4143163.0870719654
171194.14731608267,215603.10178124602,210238.9138698965,203902.76690961365,285246.0856773306,218436.4633541696,183287.90889246593,186336.55274249968,213812.85914819202,4141534.7532468485
169203.33051441456,203132.1858741122,203881.15284312327,191756.59901524242,274240.1699431413,194246.31741340467,188283.635876499,172963.4876450513,236194.01672029315,4159710.6766830725
169338.38873337823,208982.1697398292,230584.3219297296,185689.84891353443,254442.77056111692,191322.0660724634,189892.9529744933,162534.10896652518,231355.36167278184,4144588.547190086
165120.84116065135,181555.57984961022,222264.46296838816,205972.8942850342,258735.1698719286,193140.07173731635,195223.2186324891,169374.68975968182,203681.93411312424,4117462.042934371
183656.90294131273,211019.30010487876,197026.1471499023,180453.27466307636,240415.49849288104,169513.3977853998,192146.6186858511,172830.02845185585,220363.2417939722,4131280.825779698
178731.3940887091,210099.6829082107,217772.7350729168,184214.65564567078,245785.43495725712,197538.10636894978,198391.117349227,165299.70434821118,225877.61434370078,4107791.868121049
162841.22401069998,182386.2670161334,216731.93460274147,187675.7749964595,270667.9286878855,203269.3779809823,191219.7713137837,170974.58213151686,243292.90140669548,4229961.1291264435
167861.26721899275,177987.6423372072,225490.8307348041,174558.78138256178,267185.87115061353,197334.42064241171,204024.33667161534,188137.74748364618,226058.43754552992,4152679.1314502303
166116.16873318757,202598.47128077297,218967.40004117863,184929.7835594682,269912.5610705539,195392.10545248695,192515.8812486792,181022.66892258357,240699.77557266265,4181652.6694513373
179712.27259344826,220916.45200659952,227808.4702558516,194303.15530200626,235571.38470956232,179726.36768943781,200343.07090649885,154371.89953878138,238789.9207237843,4200552.007845987
177011.27276935123,227462.6111837875,206745.6975671785,190671.504093599,255076.76500314235,189492.73205552276,186763.9971650367,163704.78451357453,228872.5880754414,4183836.058415944
194735.57253544542,210083.2637703001,205319.55379228722,182224.4666378688,275544.9335460241,185120.33017652767,198323.26243137557,166231.49105477176,201071.89032004468,4177679.1123324563
177561.45348059013,198834.83127754676,202790.19779484198,194421.70060534033,274012.0370895359,195301.43485742138,210440.84127270477,167864.40485863254,177749.25225589215,4132974.360898559
186357.8991418407,197765.858432582,193761.10723423114,213906.27349227128,274952.7372286386,163392.79155738885,201220.42852351442,149370.76552250283,198078.81574173077,4103605.358139052
173344.91316783035,208944.91444522183,198376.5876756073,205809.53551448137,243650.67815832968,170084.2539849095,209788.8205972995,131477.1908578425,210724.28866623374,4065889.62942116
175985.44830359277,230449.9680985011,184274.98395029228,209689.382307497,230529.54375561108,182107.9596619787,194433.36929411924,154050.19306259905,239191.2575963073,4086483.3882832397
180448.03790031438,215492.8320820004,213011.5492862705,170993.89309616297,239626.82746785716,158644.861276528,191740.4330804323,161702.1277226601,223683.4516005678,4055087.932650485
203192.4373426603,186009.5218458548,236244.36327587138,178086.74827952965,247150.10242200294,157572.86043117015,191561.5288412178,144886.60301514444,207788.83416631445,3983077.221143684
196715.3710554669,189594.3239136703,212705.1946930304,161506.76754684327,249336.4277385122,154175.41541001177,204131.03091876872,152379.81277923653,217926.35365907272,4030146.489543263
178068.8010383002,175624.22323144617,210854.96688400145,196496.93683331466,235577.7486728466,153309.1075103357,201534.81808895027,151641.16722632066,220439.8787042334,4037281.9629100575
183201.52333473534,162706.55787445974,232536.01996547208,183821.42355064765,217489.98483465955,150267.08625003326,188429.44698154126,136357.29948137744,221150.12887598723,3907232.1301805964
177110.3507343397,183358.64248763165,199264.08406774842,170948.72681016335,191521.33740830838,158945.98406019746,171413.98496064835,139687.0641200942,208780.52259579865,3873283.62769949
154501.4210377484,218592.60373495021,185655.8071624263,169405.93185972908,166742.03328534772,159804.2860144758,184985.79326991868,129360.78745508709,185040.23521732324,3782734.959256407
