Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9,Cpt_GLOBAL
12098.766956533365,4687.84907629157,8725.464369667081,6690.85228556633,932.8309762989422,8595.16033255286,10360.558911053138,5994.68881954759,8284.357985281757,204673.2786531777
15135.481955457948,13463.975011482184,15132.570053581869,14902.754474042184,15854.187353613193,17145.355048634185,13822.806204628681,14452.571457087377,14487.716298318766,329437.6414667353
18210.524429791727,21929.31038815599,17802.183032121848,20539.614635868675,24605.478680325512,26616.508257771155,16909.578746937357,25275.211480075923,20148.61036403698,431002.99341049604
22691.131554526764,23467.193624181742,21012.786416178496,26646.43347688912,34951.2458769613,24602.77199669565,19666.990783567384,23484.7254968609,30913.128342540847,516382.2381997693
26016.14132591073,26898.640773577175,24669.766918770973,26507.75593498909,29773.03440664851,32596.443818037133,22608.068318306337,27644.974463081242,31001.741346332517,555216.0394809481
26604.85373896989,28555.782169530503,26379.354830987468,27461.808396223165,32730.18791247123,35627.23043140933,26315.398189497922,28345.24105058119,29926.3875045148,571027.3030265917
23523.024634451136,29580.252484253637,24151.658763158914,28210.646584891278,39093.938793806214,28689.24441766535,26685.049694607704,28298.089027999198,30823.575717049687,589319.7932305007
25186.302160239808,27659.977860351777,29594.27036653148,27279.07974922213,42500.20460821345,29213.373620100654,22599.50179456525,29039.331827327926,30101.57601425411,600591.6034479373
24275.433236287136,30443.489027149324,30015.525670693536,26271.635239727013,40477.4862302759,31134.924655546958,23246.812144595147,27182.266778879577,37904.07135388414,609984.1612301667
27257.35909456434,31910.573383109753,32277.914734579685,27114.06368414725,40789.16780752685,30904.2863207019,25165.76629176605,24431.073244086914,39685.283833421,607514.4434266918
25882.73993642719,30376.420014120024,32857.614648621246,29819.26557814906,43188.337119096315,29806.691187443837,25336.57537926624,22433.79108043068,35948.58766217877,605340.059872358
24180.400667727226,30601.611326237642,33599.27604132328,34322.04883879991,40017.330614587576,31388.119481479687,25149.921482214013,26826.763397178103,31661.46995415455,612117.0927205514
28796.373222266422,36515.77942815526,35975.11901034817,29270.57160770314,39806.9972671016,32050.85507029063,26350.458364095997,28173.64172547191,28308.820823276736,616679.2813137611
25534.006016283343,33948.49270087543,36271.21089226526,27729.105621789276,43116.65167790758,36763.046649858516,25080.583724994074,22409.32466290466,30931.76125509294,631626.7225536234
25412.77906561301,33920.070534268234,32912.96552035124,31152.669319307846,38818.900932722514,39395.72462784991,25221.039202956268,25802.992849069513,32468.557712705402,640546.7695644171
29316.942118906823,32536.220037609393,30842.249423048474,30001.054977162694,42711.96661517459,40454.16242470662,24975.65742664341,27398.42983336755,32412.33249672883,640137.3017024721
26288.75929617812,31497.719663380776,28147.012192001614,32635.272705724743,45239.829929737374,36413.78144433575,27233.611661659615,30968.62746464007,34355.76831961211,644021.7277122749
27104.387720122246,31136.652591626622,30833.046369086816,30329.349189781988,52376.10607249733,32892.70616647436,28130.94581984028,29073.520834917537,35930.97901733323,649137.8763615399
27005.89663217886,34386.14142494322,33626.955574110965,31867.076906153394,55845.11316523012,32381.856374398576,28453.89365993752,29464.064457809945,35505.610545648655,656020.8833465982
26696.78120245599,35095.64926701539,31778.923155764944,31530.446538831904,52014.22412402888,30507.19147054137,28651.26819184054,25767.367137727022,36387.399209752075,659982.1908087602
26122.160731226497,35383.828728618784,37170.65530592742,30550.296289258004,47646.09988799224,29803.109062666965,29757.62748735213,25506.278062629164,38736.9115062974,656162.7712215326
24945.74593774509,31493.380698452394,37373.052976833555,31463.84641548097,48679.074884161404,30568.345210062416,31292.316275142653,25941.718491465268,33390.54277060544,656709.1197078568
25129.006366301346,33433.06079982085,31704.418900369834,30361.719181434008,48932.44358597026,27459.165316822196,30617.761996226192,25732.090695200364,34297.80014888148,659901.1776998058
27034.895995468443,32100.90952489927,34491.211483322186,29218.923254837402,47012.189847759306,31740.14981420119,30218.66366300077,26882.052632514282,35644.433645588644,663635.2482871681
25034.815321860624,27681.9242948444,31765.59655714069,29777.21294324888,52466.42628056937,30038.67644640692,30997.61251387872,27727.080382742188,37606.0361261186,676879.9309823068
25430.76543431215,26930.322038169477,34933.64942295561,28250.532600936578,54948.31947927052,30930.253212803458,31543.61786784818,30554.61580441097,38776.74671379189,675099.930945752
24641.47657596015,32669.51457068895,36249.08781983345,28881.891262347104,54251.085237746374,31584.8956022294,30615.88841697265,28683.620056320684,46669.88833257207,688195.6292175726
27900.280356530977,37577.997704276786,39683.833557694605,31102.742900171874,45123.67413466568,27381.72735489327,32331.529187814278,23113.42369118479,46423.73016920254,698146.6661772819
28645.768597846763,38978.43165705875,35316.95707940561,28164.307150954548,48779.58338843365,30523.211856423583,28821.613078511014,24992.79276910941,41114.30700225297,694271.1396306041
31220.771457319068,34183.21603421092,32421.82357895922,27838.060985265445,56740.63841048057,28700.636827429833,29932.186181988225,25479.16500909054,34482.34774509578,685096.007509421
