time,veh,activation
1980,4990,1
1980,5810,1
1980,6151,1
1980,6250,1
1980,6255,1
1980,6479,1
1980,6588,1
1980,6943,1
1980,6974,1
1980,7241,1
1980,7258,1
1980,7428,1
1980,7755,1
1980,7762,1
1980,7782,1
1980,7920,1
1980,8196,1
1980,8223,1
1980,8373,1
1980,8374,1
1980,8593,1
1980,8630,1
1980,8681,1
1980,8710,1
1980,8733,1
1980,8802,1
1980,9038,1
1980,9071,1
1980,9117,1
1980,9120,1
1980,9145,1
1980,9149,1
1980,9167,1
1980,9207,1
1987,9352,1
1988,9356,1
2004,9420,1
2004,9422,1
2032,9565,1
2036,9599,1
2041,9622,1
2085,9794,1
2087,9805,1
2096,9857,1
2107,9900,1
2114,9937,1
2123,9984,1
2126,9996,1
2144,10083,1
2144,10086,1
2160,10154,1
2160,6252,1
2160,7234,1
2160,7487,1
2160,7580,1
2160,7596,1
2160,7651,1
2160,7921,1
2160,7971,1
2160,8044,1
2160,8099,1
2160,8165,1
2160,8166,1
2160,8198,1
2160,8319,1
2160,8331,1
2160,8364,1
2160,8453,1
2160,8508,1
2160,8523,1
2160,8568,1
2160,8576,1
2160,8657,1
2160,8683,1
2160,8704,1
2160,8713,1
2160,8746,1
2160,8842,1
2160,8902,1
2160,8987,1
2160,8994,1
2160,9041,1
2160,9254,1
2160,9380,1
2160,9496,1
2160,9498,1
2160,9538,1
2160,9555,1
2160,9617,1
2160,9648,1
2160,9680,1
2160,9716,1
2160,9751,1
2160,9772,1
2160,9802,1
2160,9824,1
2160,9853,1
2160,9871,1
2160,9995,1
2160,10002,1
2160,10006,1
2160,10019,1
2160,10093,1
2160,10117,1
2162,10165,1
2188,10282,1
2196,10313,1
2204,10354,1
2215,10400,1
2220,10420,1
2222,10428,1
2223,10431,1
2231,10482,1
2248,10565,1
2284,10740,1
2284,10741,1
2297,10794,1
2298,10801,1
2300,10817,1
2310,10857,1
2314,10875,1
2321,10912,1
2324,10924,1
2340,7633,1
2340,7696,1
2340,7885,1
2340,8197,1
2340,8207,1
2340,8594,1
2340,8879,1
2340,9257,1
2340,9435,1
2340,9509,1
2340,9602,1
2340,9650,1
2340,9755,1
2340,9809,1
2340,9857,1
2340,9950,1
2340,9971,1
2340,10062,1
2340,10105,1
2340,10218,1
2340,10232,1
2340,10240,1
2340,10472,1
2340,10551,1
2340,10693,1
2340,10742,1
2340,10749,1
2340,10780,1
2340,10800,1
2340,10827,1
2340,10937,1
2340,10946,1
2340,10976,1
2347,11036,1
2356,11075,1
2367,11119,1
2368,11126,1
2398,11268,1
2411,11325,1
2446,11489,1
2453,11513,1
2472,11597,1
2474,11605,1
2492,11700,1
2492,11701,1
2497,11727,1
2498,11737,1
2520,11842,1
2520,7625,1
2520,7644,1
2520,9325,1
2520,9352,1
2520,9464,1
2520,9538,1
2520,9752,1
2520,9841,1
2520,9843,1
2520,9861,1
2520,9913,1
2520,9916,1
2520,9998,1
2520,10055,1
2520,10138,1
2520,10141,1
2520,10184,1
2520,10211,1
2520,10225,1
2520,10455,1
2520,10465,1
2520,10531,1
2520,10562,1
2520,10695,1
2520,10720,1
2520,10820,1
2520,10909,1
2520,10925,1
2520,10936,1
2520,11026,1
2520,11109,1
2520,11177,1
2520,11296,1
2520,11370,1
2520,11385,1
2520,11442,1
2520,11465,1
2520,11492,1
2520,11636,1
2520,11668,1
2520,11770,1
2520,11774,1
2521,11844,1
2527,11870,1
2534,11896,1
2566,12040,1
2573,12071,1
2582,12128,1
2596,12204,1
2608,12278,1
2625,12390,1
2626,12396,1
2627,12402,1
2631,12429,1
2640,12472,1
2654,12538,1
2655,12545,1
2657,12554,1
2661,12573,1
2669,12619,1
2684,12689,1
2685,12695,1
2693,12735,1
2694,12738,1
2700,8933,1
2700,10122,1
2700,10163,1
2700,10527,1
2700,10587,1
2700,10624,1
2700,10921,1
2700,10977,1
2700,11051,1
2700,11109,1
2700,11248,1
2700,11405,1
2700,11492,1
2700,11529,1
2700,11535,1
2700,11542,1
2700,11559,1
2700,11579,1
2700,11685,1
2700,11696,1
2700,11732,1
