Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9,Cpt_GLOBAL
91588.28680959239,40034.526886214284,69969.56357362715,53832.1409924298,7441.238217930695,68062.28320696301,81514.42756267679,48980.52873808879,67505.10042516814,1647843.8640456048
116861.82151655063,107935.9076858262,107718.08330689545,110131.24262430916,131820.98737989765,134028.63867281558,107305.81543634678,106930.81152805017,110016.27254724884,2492522.487021266
128295.3298188122,167394.42574921428,129703.88598502701,148205.67032849396,194173.57310063465,189454.58546311854,122633.51934760307,173051.4398437696,152640.2865004669,3153360.985684556
153806.10598591427,173457.23367969517,144295.04536527317,178408.01882547193,254362.61485857161,175052.76005877237,136388.7996582322,161531.12863105378,202678.59770955073,3571935.0817153994
174204.50207079915,189544.60807770485,180613.8763280177,175078.6438032811,213776.13379851394,215565.4670545786,164851.581496859,180418.78493840268,193901.0135024126,3809087.6200173595
178820.06166270614,190156.46893454288,171218.06155586868,184389.64410403738,223222.98636881798,220293.70638060273,174228.1600077819,188290.77138478376,197950.974072082,3892006.416357362
157541.38739707923,187695.61087710553,159698.12431558257,177816.86177001754,254727.47486504415,194644.44873644842,178912.3577766017,191661.72692105034,200870.78066629102,3988974.462096135
166382.50313219117,199650.68836695934,193035.26408275656,175272.88794646336,259486.13432599188,208574.90758691146,148334.2689614698,185892.92110237363,192020.75735628983,3928247.007125392
162569.63360649595,192844.8282408181,189675.35090889363,168217.675646532,272264.74813130393,197027.63409636496,153700.9893622162,173374.64199879154,226417.88505492508,3975100.788082256
174884.46558583612,204250.27595585622,188815.59357890952,184294.27904306253,258915.55447100656,200117.61803822848,158559.87153967904,169370.59606498736,195566.0412637739,3970104.2595799374
155104.49871712626,206111.65125184262,193955.41292974967,197023.32617021885,264159.7078651184,207492.65971069483,167609.6780565929,156228.3624876777,187506.20912061515,3941758.4608188067
159229.18947346412,200470.22054277634,200976.77549836636,203145.7167598642,256182.59088405917,217783.2209769418,160430.85006484963,177055.07769603556,173673.74166277447,3947661.4262539945
179486.65597007074,226807.1308122513,190863.17521129036,184055.21868830035,232475.67046175865,212151.8387754922,167640.770198773,188737.47580310257,158386.0225104868,3968471.4663587483
157979.65569312032,209186.14856332517,183109.94707845617,182363.60543271457,260846.87427198185,230942.47683702665,157062.7550531503,167962.98305553832,190728.6742745404,4036784.5537202484
166656.83379306874,217089.59133424613,194771.41382485657,196377.11172794082,253347.23601685432,246938.71891398393,166421.05360619235,187062.01721963458,188602.45867701533,4089323.1616083467
182993.58650692247,198412.47482252758,190202.37021413352,197885.1606171084,277016.55478249607,256214.63401810458,164158.63478827046,197386.8854865051,188791.21831610025,4120229.7342945677
182026.95006123427,199363.90074166053,188342.5428649767,199908.1272147339,255999.8459019927,248502.8990038321,183907.31548139907,192951.19038033808,213046.15727899803,4143670.363109623
183176.9032069639,195300.69045232204,199850.46716971011,182582.639597901,295411.84280313394,238795.17491735113,180946.9911157039,195320.07944571815,203043.0514400843,4158437.9240977033
163451.0778113957,210365.04491876444,206997.04268582872,202710.20962695018,283205.50255980634,205043.01141400172,176721.6474269655,207396.89437893374,200753.23698966706,4103569.9624130996
165253.22176897267,207147.8433740904,197620.1948061556,199575.04703669657,270626.20555066963,214596.5890092823,187077.95725084483,199007.91721336506,221751.28964460045,4178728.9897406036
170928.78181369056,206463.2912900823,226799.82646366168,178640.27046091948,261601.00040017313,215216.1612041609,192301.6204033822,193073.55722376003,199363.50851343057,4158453.434865063
157400.13864704757,202779.10809018213,216894.1309424174,194756.76700631029,260223.35129295907,192777.25297363297,196465.44118378684,209498.48673572723,197900.77418861308,4129998.518147517
164312.8118569084,229284.8144319998,200967.55281303547,180472.12887394606,235094.3415795746,209870.20160024363,198558.0527134308,220124.2367460621,203411.15576169285,4176333.725876157
186125.49943768687,212516.19005281568,198971.2707957482,188365.23272046522,245817.01961698668,228895.96608259034,190721.78501837904,197222.4270416649,217969.84047565964,4155782.8233998506
171051.7307247727,180614.98547296878,198567.00519773693,195266.16123920292,256125.34984357847,214444.21066333307,195562.72544549877,204606.44313024855,239231.67067636305,4211338.906162951
