Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9,Cpt_GLOBAL
12098.766956533365,4687.84907629157,8725.464369667083,6690.8522855663305,932.8309762989422,8595.16033255286,10360.558911053138,5994.68881954759,8284.357985281755,204673.2786531777
15147.128911657572,13443.633568021882,15132.570053581869,14902.754474042184,15900.657560940313,17164.578320189485,13822.806204628681,14638.535087653561,14486.625875729425,329434.90390625596
18339.561389939947,21804.267760045266,17609.595734802424,20394.24541450897,25285.590557879063,26715.220883358048,17134.38061541382,24746.580490118613,20116.10799944299,430932.52886337717
22605.728531800687,23317.963248756503,21000.661519289028,26385.70747135612,35834.06803752925,24386.020756248894,19923.788304080088,23785.229138382056,30702.958768687375,516480.4494320021
26362.418050867203,26411.42261674683,25445.38339552451,26287.367560952644,30570.81328228142,33013.839752127824,23037.602036803724,27126.05289290068,30791.56495810199,555491.9946094422
26467.8943340248,27471.68986769152,26382.31174483327,27929.600448446767,33109.37427489684,36009.94496592278,26564.12341199947,26961.618717870995,30135.108330042047,570079.1326317568
22946.427014973488,27566.8120280817,24010.77807301566,26244.811158104076,41561.13494040822,28503.07626899519,27259.9719043594,28723.29112965245,30294.47507289862,587733.1627585612
25088.655507077176,28900.073827062457,30229.896146336258,26045.73411257659,44946.02919033406,32809.63850284352,22117.103295912864,29459.479019391085,29036.985723819886,599548.6133706936
24443.2350478129,30338.03675572626,30436.13690767396,25670.315609464615,46120.28596789386,32110.570018733586,23172.125383010647,26957.100330918875,35363.7197664095,608685.0788828718
27348.232121023862,31737.79676157468,29114.008627847492,28513.143922123112,44464.98795111452,31698.260954267815,23041.02456785278,25313.700783382916,36026.55923173019,611671.8718885487
26533.058240034177,30049.07471155797,30507.38737428649,30248.858546393425,48207.398569280034,33419.423759165125,24661.889770832568,24591.07172920238,35517.88444727153,611145.5084928221
26265.52514798203,30386.68922549807,32785.626218069796,32282.5766870957,47699.056498876,35322.193261082175,23883.32311361909,28151.09788829856,31038.556861105844,617537.5727843945
28160.618644713442,38097.13826586107,33971.52781850828,29549.975585445445,39635.100402692035,37064.08908867552,24241.703495015052,32139.01392690108,24670.396417320382,620226.386022369
24993.267264885482,32910.761692353975,35145.690357943175,28378.217612562203,47346.75165207036,39624.09447433296,23301.72415255197,25457.90044671015,28798.0942631074,630326.5900040871
24975.059628246563,34300.477005818466,32621.432656285215,30165.875777464,46491.39933169596,48561.142616773424,25958.875763461954,27917.759106547743,28299.576229886094,642702.7507248822
27304.43272396925,31676.490005042753,31666.101366390634,30492.854995804115,49659.67503261645,51323.42726290869,24903.392884824705,31729.37190833207,28237.615243424443,648466.2813198358
26707.129796430618,29793.92154965284,30111.503961097864,30414.294454085288,45874.210560079744,49486.807033464436,28431.068293372184,32836.68540241239,32752.85582520037,651137.770029777
