time,veh,activation
2160,7225,1
2160,8163,1
2160,8223,1
2160,8713,1
2160,9064,1
2160,9381,1
2160,9519,1
2160,9851,1
2160,9900,1
2160,9938,1
2160,9950,1
2160,10010,1
2160,10074,1
2195,10311,1
2229,10470,1
2243,10540,1
2271,10671,1
2272,10672,1
2314,10875,1
2314,10879,1
2329,10953,1
2330,10957,1
2334,10976,1
2340,6250,1
2340,7663,1
2340,7901,1
2340,7982,1
2340,8387,1
2340,8517,1
2340,8525,1
2340,8594,1
2340,8623,1
2340,8683,1
2340,8682,1
2340,8845,1
2340,8985,1
2340,8987,1
2340,9043,1
2340,9285,1
2340,9305,1
2340,9449,1
2340,9461,1
2340,9602,1
2340,9625,1
2340,9755,1
2340,10062,1
2340,10054,1
2340,10086,1
2340,10121,1
2340,10172,1
2340,10466,1
2340,10471,1
2340,10551,1
2340,10711,1
2340,10740,1
2340,10763,1
2340,10793,1
2340,10838,1
2340,10973,1
2340,10982,1
2342,11011,1
2343,11017,1
2359,11086,1
2360,11090,1
2367,11119,1
2369,11130,1
2371,11143,1
2397,11259,1
2414,11341,1
2441,11460,1
2463,11554,1
2466,11571,1
2479,11632,1
2480,11637,1
2487,11670,1
2491,11695,1
2492,11697,1
2495,11715,1
2502,11754,1
2510,11795,1
2520,8842,1
2520,9042,1
2520,9175,1
2520,9202,1
2520,9207,1
2520,9595,1
2520,9666,1
2520,9794,1
2520,9948,1
2520,10012,1
2520,10135,1
2520,10287,1
2520,10360,1
2520,10371,1
2520,10396,1
2520,10482,1
2520,10589,1
2520,10736,1
2520,10788,1
2520,10931,1
2520,11036,1
2520,11075,1
2520,11140,1
2520,11156,1
2520,11241,1
2520,11338,1
2520,11392,1
2520,11404,1
2520,11417,1
2520,11451,1
2520,11478,1
2520,11585,1
2520,11619,1
2520,11705,1
2520,11789,1
2525,11863,1
2543,11943,1
2546,11960,1
2550,11980,1
2572,12064,1
2591,12176,1
2594,12190,1
2610,12286,1
2622,12369,1
2631,12432,1
2636,12453,1
2659,12563,1
2667,12602,1
2670,12622,1
2670,12625,1
2695,12742,1
2700,9751,1
2700,9943,1
2700,10753,1
2700,11131,1
2700,11429,1
2700,11531,1
2700,11682,1
2700,12020,1
2700,12401,1
2700,12566,1
2700,12587,1
2709,12816,1
2735,12926,1
2762,13040,1
2768,13065,1
2824,13333,1
3558,16793,1
3564,16829,1
3572,16867,1
3600,14560,1
3600,15077,1
3600,15121,1
3600,16013,1
3600,16133,1
3600,16541,1
3600,16745,1
3600,16816,1
3601,16993,1
3601,16995,1
3660,17295,1
3678,17383,1
3699,17474,1
3718,17564,1
3744,17687,1
3780,15300,1
3780,15819,1
3780,16297,1
3960,15673,1
3960,16098,1
3960,16281,1
3960,16298,1
3960,16639,1
3960,16691,1
3960,16725,1
3960,16746,1
3960,16961,1
3960,17107,1
3960,17211,1
3960,17282,1
3960,17313,1
3960,17406,1
3960,17439,1
3960,17446,1
3960,17466,1
3960,17551,1
3960,17609,1
3960,17640,1
3960,17647,1
3960,17753,1
3960,17913,1
3960,17948,1
3960,17971,1
3960,18296,1
3960,18329,1
3960,18415,1
3960,18538,1
3960,18569,1
3971,18769,1
3975,18794,1
3978,18810,1
4002,18920,1
4003,18924,1
4004,18930,1
4007,18952,1
4020,18999,1
4020,19006,1
4022,19022,1
4025,19048,1
4025,19053,1
4027,19068,1
4034,19103,1
4037,19119,1
4051,19178,1
4059,19215,1
4064,19232,1
4066,19235,1
4068,19251,1
4069,19258,1
4075,19292,1
4089,19347,1
4090,19354,1
4093,19365,1
4095,19372,1
4111,19449,1
4140,15046,1
4140,16256,1
4140,16601,1
4140,16642,1
4140,16649,1
4140,16866,1
4140,16903,1
4140,16911,1
4140,17002,1
4140,17009,1
4140,17091,1
4140,17152,1
4140,17284,1
4140,17453,1
4140,17672,1
4140,18027,1
4140,18063,1
4140,18123,1
4140,18128,1
4140,18140,1
4140,18182,1
4140,18240,1
4140,18250,1
4140,18293,1
4140,18437,1
4140,18573,1
4140,18614,1
4140,18651,1
4140,18661,1
4140,18664,1
4140,18682,1
4140,18699,1
4140,18714,1
4140,18797,1
4140,18837,1
4140,18855,1
4140,18918,1
4140,18923,1
4140,18967,1
4140,19015,1
4140,19091,1
4140,19140,1
4140,19155,1
4140,19167,1
4140,19249,1
4140,19279,1
4140,19281,1
4140,19306,1
4140,19310,1
4140,19470,1
4140,19474,1
4140,19538,1
