Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9,Cpt_GLOBAL
91588.28680959239,40034.526886214284,69969.56357362715,53832.1409924298,7441.238217930695,68062.28320696301,81514.42756267678,48980.52873808879,67505.10042516813,1647843.8640456046
116861.82151655061,107935.9076858262,107718.08330689545,110131.24262430916,131820.98737989765,134028.63867281558,107305.81543634678,106930.81152805017,110016.27254724884,2492522.487021266
128295.3298188122,167394.42574921428,129703.88598502701,148205.67032849396,194173.57310063465,189454.58546311854,122633.51934760307,173051.4398437696,152640.2865004669,3153360.985684556
153806.1059859143,173457.23367969517,144295.04536527317,178408.0188254719,254362.61485857164,175052.76005877237,136388.7996582322,161531.12863105375,202678.59770955073,3571935.081715399
174204.50207079915,189544.60807770485,180613.8763280177,175078.6438032811,213776.13379851397,215565.4670545786,164851.581496859,180418.78493840268,193901.01350241256,3809087.6200173595
178820.06166270614,190156.46893454288,171218.06155586868,184389.64410403735,223222.98636881795,220293.70638060273,174228.1600077819,188290.7713847837,197950.974072082,3892006.4163573626
157541.38739707923,187695.61087710556,159698.12431558257,177816.8617700175,254727.47486504415,194644.44873644845,178912.35777660168,191661.72692105031,200870.78066629102,3988974.4620961356
166382.50313219114,199650.68836695934,193035.26408275656,175272.8879464634,259486.13432599188,208574.90758691146,148334.2689614698,185892.92110237366,192020.75735628983,3928247.007125392
162569.63360649595,192844.8282408181,189675.35090889366,168217.67564653198,272264.7481313039,197027.634096365,153700.98936221615,173374.6419987915,226417.88505492508,3975100.788082256
174884.46558583612,204250.27595585622,188815.59357890952,184294.2790430626,258915.55447100653,200117.61803822848,158559.87153967904,169370.59606498733,195566.0412637739,3970104.2595799374
155380.85165830274,207252.8380163337,194499.66643550986,197328.86685637978,262259.8231616078,204384.74708676676,167322.26583512675,152664.02704562136,196392.85479247445,3934962.7395530767
160601.1790142086,200986.63490847652,199555.7865585537,201419.76447533813,262438.58294814377,211128.0001298998,161669.22487670562,174242.52834867185,179639.8938258022,3934792.976063469
187016.63712512158,218045.47586915476,187686.2751542113,186581.9852603978,238973.55113799658,217657.5364623407,170805.4493931167,183856.50153362346,174948.21296059477,3978660.629171838
165591.24766594617,215586.25674919665,188264.60857440686,179238.1726807678,270543.48637438205,234937.01575688957,155571.8081388149,163727.2273676428,188791.58346892396,4053351.979346684
170919.59144302434,211380.62237584105,206475.1170422756,197254.48498495304,264670.0639230805,249824.12915265484,168640.16325916973,182230.42430472333,181822.25197666133,4096489.4493424944
188596.83606581454,196822.81392835226,205008.78249342297,193019.95232961237,258207.5310452625,248841.4010826184,168731.9581555027,191341.8489643276,173974.1959309206,4075107.617548514
191191.8313665069,200141.96494681353,201286.35013651775,198766.3544305489,252071.51176915038,255269.20983350233,186217.23983077242,194201.40814343657,194706.52504544854,4108213.66788537
169448.0100029207,196734.49882592197,193270.1390014425,191484.40710477473,279861.28999254835,251801.50342201008,181642.46180902913,186959.91158903763,197745.21782833853,4136423.1858887975
170189.3281473436,206965.94926455012,219416.41613247135,203409.017886512,288091.0904723629,236692.99205423606,182536.07581375475,203799.02388786964,193825.2107634544,4114604.11928024
160363.82427927703,206656.5971359176,195368.80647227072,195411.7180909024,275094.53104367544,219179.33466501682,178465.90254192296,191924.3906353734,228729.4400209027,4169636.1984247514
160165.3954551049,204993.6337157238,212026.901675916,187141.91106673563,266931.0103545933,222321.6995448785,178824.53346031837,203071.4141177676,222160.26333010427,4124016.0230423682
157610.44369147555,184223.35700982998,212066.03042983336,207705.64230274782,254393.93858250164,203756.2966083476,198826.9233454877,201339.4332974282,191965.2657198076,4082863.48865953
164220.3962444976,206523.81149254067,200056.54969805194,171117.30631585905,241356.86624226128,213849.9699435451,206212.97572118865,206355.1197095206,208555.8701763395,4117273.5354089793
190443.29134120527,194886.33678911757,197159.0170076427,184590.96717309818,265450.4862919167,217087.22726790616,187252.5026699279,199368.9396813808,225033.01109601083,4173640.852549871
174224.26545754104,179904.94169347954,183548.56216078132,211553.05421548063,268524.21398736397,222151.74886497683,188497.73671411333,205713.7041147818,248268.67985520375,4219457.183171823
166882.72916190155,166945.98142137306,180770.66149701315,197311.3429522312,272987.52203383675,246604.72637972355,202251.29244935562,225138.15814805237,222340.92740442022,4254927.000878538
200332.8812157062,157382.90898632538,208959.62711741752,184434.58259154737,263710.9451055179,260995.91545075868,196699.5495856305,206965.99308581417,208936.86173864777,4257742.7530361945
196814.94295840507,196651.7597934788,202688.63286527622,198350.43780868495,237208.714351909,241301.0877619452,195484.4045769426,224440.74074475464,214846.81693447192,4323020.127498753
192109.01424529558,231444.80889039428,190747.23331908314,193824.64677607745,227214.6890453476,249296.22801611014,196726.89162199735,231646.19275361337,193181.34571198226,4279236.026039943
188712.23790833715,235713.069443889,189983.21110432598,188827.71026454776,204104.26223157052,240509.38229877639,195972.51855476561,210128.63528353604,171887.43463211166,4204663.154082623
169219.20979174925,213683.39582886125,188064.471626439,208051.3932835578,208529.44451772544,228304.5382211607,209362.8648628366,208065.37595978982,143434.21362600502,4067309.6635042075
178276.99498202006,216274.93712025994,180945.63324318297,190639.372366816,216032.96537830337,205516.31278789285,193048.44524470734,229254.32159666577,154837.55604723166,4073658.7928301645
187325.1491398981,198970.0106639874,185645.67392657007,192508.7287126928,234853.16813995645,225506.98928189237,200639.6765308807,203216.25119772815,191791.95624339828,4092710.6140790367
188760.25051537986,188460.4683849789,178772.2017002827,177689.56259114674,223534.22922226196,234534.229724813,185810.84583265966,204197.99220171105,200706.99443115876,4052421.314837978
186919.926822537,201329.5766974896,204781.05009512708,139714.48975324963,253165.3632676946,210277.1450433005,186203.75107963532,196050.49168407917,204583.9210884632,4036316.099556986
217547.15048025892,167906.26159949834,227723.93228773988,132150.78582672717,271140.26253122615,216046.3385126776,213227.9256854098,190857.5324463394,203340.4619590672,4083966.060554747
