Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9,Cpt_GLOBAL
12098.766956533365,4687.84907629157,8725.464369667081,6690.85228556633,932.8309762989422,8595.16033255286,10360.558911053138,5994.68881954759,8284.357985281755,204673.2786531777
15147.128911657575,13443.63356802188,15132.570053581869,14902.754474042184,15900.657560940313,17164.578320189485,13822.806204628681,14638.535087653563,14486.625875729425,329434.9039062559
18339.561389939947,21804.26776004527,17609.595734802428,20394.245414508972,25285.590557879063,26715.220883358048,17134.38061541382,24746.580490118617,20116.10799944299,430932.5288633772
22605.728531800687,23317.963248756503,21000.661519289028,26385.70747135612,35834.06803752925,24386.020756248894,19923.788304080088,23785.229138382056,30702.958768687375,516480.4494320021
26362.418050867203,26411.42261674683,25445.38339552451,26287.367560952644,30570.81328228142,33013.839752127824,23037.602036803724,27126.05289290068,30791.56495810199,555491.9946094423
26467.894334024797,27471.68986769152,26382.31174483327,27929.60044844677,33109.374274896836,36009.944965922776,26564.12341199947,26961.618717870995,30135.108330042047,570079.132631757
22946.427014973488,27566.8120280817,24010.77807301566,26244.811158104072,41561.13494040822,28503.07626899519,27259.9719043594,28723.29112965245,30294.475072898622,587733.1627585612
25088.65550707718,28900.073827062457,30229.896146336258,26045.734112576592,44946.029190334055,32809.63850284352,22117.103295912864,29459.479019391085,29036.985723819882,599548.6133706934
24443.2350478129,30338.03675572626,30436.136907673957,25670.31560946462,46120.28596789386,32110.570018733586,23172.125383010647,26957.10033091887,35363.7197664095,608685.0788828717
27348.232121023866,31737.79676157468,29114.008627847492,28513.143922123112,44464.98795111452,31698.260954267815,23041.02456785278,25313.700783382916,36026.55923173019,611671.8718885486
26566.404146224653,29806.79154394911,30476.877170921965,30291.485463239853,48331.762644698,33213.92501917389,24686.000170993982,24093.613089639464,37052.70819392007,611180.6627548976
27084.60734955796,29757.71587320426,32157.391491709397,32087.26213131583,47694.30320248929,35068.6787934549,24171.692365434057,27239.498837940297,34972.90563936714,617273.8347183008
30131.51355975227,36484.265327860114,32992.079251982046,29082.825909598352,43002.24980537417,34579.69121384186,24809.869093742618,30427.370557487662,31229.76001489261,620206.2606735971
26158.393646423927,33100.20856871843,35722.02433331745,28180.234877322244,48959.22400737085,41972.81185438898,23287.952100251812,25236.10599253576,30705.238641566404,631559.3599044483
26069.49301140334,35558.322479908886,35652.17118600526,30872.36027211043,43872.68705745516,47104.444007974125,25649.356407038027,26463.37980691053,27728.512484713334,644671.5478112857
28150.946448024748,33786.08233207802,37208.857636058536,29010.92864786581,44947.28442099768,51768.3719446192,25536.665182202647,30512.079701423543,25043.284768447167,647082.9893126398
28526.01466195813,32360.411222980278,33876.8098555893,30582.99745584629,44336.57421385556,51146.935470110206,28172.19538947505,33513.9878693372,29689.43515944926,652919.0052624842
26867.148828269244,32627.355337684545,33601.36754646678,29547.404946850107,48625.93603097807,45772.623906064895,26421.763449357444,31862.636756643427,30701.669544198114,656044.2781501597
27918.801636661585,36718.16219135218,37834.5121861209,32013.21662113552,53799.584647203665,42781.43478181552,27467.058817257428,34537.01494026613,32339.99590218339,666871.351606934
25143.279604262643,36134.64035737681,32299.775034764545,32768.80128780766,55614.91451663383,39340.15962924804,26120.45170415755,33164.97942685527,33547.388462396506,669699.4389736259
25001.168466830015,36887.26343441686,35753.28835034329,31335.20170274228,54468.094227234134,40292.58487365783,29108.44734729973,36462.907763827694,37026.14147195683,667213.7518261594
23933.726085861763,32618.953453043476,37121.93938710056,32240.555405088064,55862.99415769485,39291.20413999864,35330.213673429345,34250.981095368865,31702.19185976091,673141.4650349604
23179.331533880988,36132.49491764019,35185.74488298863,27713.36610219653,55323.42870337334,37965.43050577379,35870.52199322093,37047.08500327229,34768.40089558224,673173.588849163
29049.439176073225,33840.57886662761,33763.93013084787,28897.89105216084,53585.21762421181,36114.40151302845,30708.174450984607,36484.75714461891,36673.15334783504,672853.449561629
25503.518909800452,29172.099571317136,29497.019741913875,33596.679230479924,52221.826037463456,35579.792540474664,33093.429030971696,40263.69763814232,40762.08659109589,685094.8627952724
26373.577934660505,23652.81578605996,27172.680169069146,31549.416276873686,55447.112395848526,40504.01621494793,34759.06591841828,45799.568407893064,36802.3452033133,687548.3355566431
29875.925203574352,22540.687792352222,30304.560327249816,30118.45371022355,53792.52980919735,44373.941914442454,32942.28620611791,45919.57625246895,38316.862290172954,696627.1331091607
31063.755784494635,28078.996379537977,33433.29864357658,32507.07889404357,43414.49864373602,41152.812192196674,30399.806193416836,46557.98611935816,38003.25719619007,700712.9426127451
