Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9,Cpt_GLOBAL
91588.28680959239,40034.526886214284,69969.56357362715,53832.1409924298,7441.238217930695,68062.28320696301,81514.42756267679,48980.52873808879,67505.10042516813,1647843.8640456048
116861.82151655063,107935.90768582621,107718.08330689545,110131.24262430913,131820.98737989762,134028.63867281558,107305.81543634678,106930.81152805018,110016.27254724884,2492522.4870212665
128295.3298188122,167394.42574921428,129703.88598502701,148205.67032849396,194173.57310063462,189454.58546311854,122633.51934760307,173051.4398437696,152640.2865004669,3153360.985684556
153806.1059859143,173457.23367969517,144295.04536527317,178408.01882547193,254362.6148585716,175052.76005877237,136388.79965823222,161531.12863105378,202678.59770955073,3571935.0817153994
174204.50207079915,189544.60807770485,180613.87632801774,175078.6438032811,213776.13379851397,215565.4670545786,164851.581496859,180418.78493840268,193901.01350241256,3809087.62001736
178820.06166270614,190156.4689345429,171218.06155586868,184389.64410403735,223222.98636881798,220293.70638060273,174228.1600077819,188290.77138478373,197950.974072082,3892006.416357363
157541.38739707923,187695.61087710553,159698.12431558257,177816.8617700175,254727.4748650442,194644.44873644842,178912.3577766017,191661.72692105031,200870.78066629102,3988974.4620961356
166382.50313219117,199650.68836695934,193035.2640827566,175272.8879464634,259486.13432599188,208574.90758691143,148334.2689614698,185892.92110237363,192020.75735628983,3928247.007125392
162569.63360649595,192844.8282408181,189675.3509088936,168217.675646532,272264.74813130393,197027.634096365,153700.98936221618,173374.6419987915,226417.88505492508,3975100.788082256
174884.46558583612,204250.27595585625,188815.59357890952,184294.2790430626,258915.55447100656,200117.61803822854,158559.87153967904,169370.59606498736,195566.04126377386,3970104.2595799374
155380.85165830274,207252.83801633376,194499.6664355099,197328.86685637978,262259.8231616078,204384.74708676676,167322.26583512675,152664.02704562133,196392.85479247445,3934962.7395530767
160601.1790142086,200673.25069158062,199871.03174344674,200261.05859298518,264371.2643763287,211692.51923396077,163020.58458385186,174164.4886876596,184057.77351441162,3941918.905631413
187375.09669970087,220521.63599295152,191066.13802828972,187057.76012281855,240001.23415152513,212195.13119547276,172647.1323842464,179353.5505002906,182062.68194564027,3971854.9015451544
170525.62942293045,207522.61489333713,191524.04009564972,183429.12912627266,269377.798612044,226252.4163009736,156534.87655389198,163646.84484758793,213174.63064061338,4049494.064340605
170852.1184316119,206779.7447124448,202807.1423952354,197441.81584895187,265188.76997987775,239057.06377464946,169836.16814184966,179076.40006604057,219106.46988034877,4086770.283826374
187581.06632188047,200348.28070993,203066.7121896587,193348.47241657076,279198.87200597714,255913.11090822128,167554.01875726136,198399.7786257123,212107.67714032368,4115694.151128321
194031.93972294088,199161.90021402622,201811.05614971407,193978.15969717916,263641.058540175,258026.8220264558,189507.98090488842,190907.37522456128,220585.8828697833,4139631.952704991
174560.5544201843,195238.10135293324,201013.3615822183,182006.54235867606,282925.72022461466,247237.7186844684,185644.86130535536,191603.72781558457,198951.14231369476,4148313.3458242603
