Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9,Cpt_GLOBAL
12098.766956533367,4687.84907629157,8725.464369667081,6690.85228556633,932.8309762989422,8595.16033255286,10360.558911053138,5994.68881954759,8284.357985281757,204673.2786531777
15147.128911657572,13443.63356802188,15132.570053581872,14902.754474042182,15900.657560940313,17164.578320189485,13822.806204628681,14638.535087653561,14486.625875729427,329434.90390625596
18339.561389939947,21804.26776004527,17609.595734802428,20394.24541450897,25285.590557879063,26715.220883358048,17134.380615413822,24746.580490118617,20116.10799944299,430932.5288633772
22605.728531800687,23317.963248756503,21000.661519289024,26385.70747135612,35834.06803752925,24386.020756248894,19923.788304080088,23785.229138382056,30702.958768687375,516480.4494320021
26362.418050867203,26411.422616746833,25445.383395524506,26287.367560952644,30570.81328228142,33013.83975212783,23037.602036803724,27126.052892900683,30791.564958101986,555491.9946094423
26467.8943340248,27471.689867691526,26382.31174483327,27929.600448446767,33109.37427489684,36009.94496592278,26564.12341199947,26961.618717870995,30135.108330042047,570079.132631757
22946.427014973488,27566.8120280817,24010.778073015652,26244.81115810407,41561.13494040822,28503.076268995195,27259.9719043594,28723.29112965245,30294.475072898622,587733.1627585612
25088.65550707718,28900.073827062457,30229.896146336258,26045.73411257659,44946.02919033406,32809.63850284352,22117.103295912864,29459.479019391085,29036.985723819882,599548.6133706935
24443.2350478129,30338.03675572626,30436.13690767396,25670.315609464615,46120.28596789386,32110.570018733586,23172.125383010647,26957.100330918875,35363.7197664095,608685.0788828717
27348.23212102386,31737.796761574675,29114.008627847492,28513.143922123112,44464.98795111452,31698.260954267815,23041.02456785278,25313.700783382916,36026.5592317302,611671.8718885486
26566.404146224653,29806.79154394911,30476.877170921965,30291.485463239853,48331.762644698,33213.92501917389,24686.00017099398,24093.613089639464,37052.708193920065,611180.6627548975
27086.372255211816,29749.808840667127,32197.044802623877,31977.169881126174,47900.392661400336,34956.42929749663,24358.545480260833,27211.48967424081,35432.41234277072,617257.0272087769
30174.665976295586,36368.36456416787,33398.082810464904,29102.681930083232,43772.19483986663,33090.493180456884,25320.671131905438,30194.792563215982,32845.36139175429,620489.5853630357
27443.496531584115,31152.638234209462,35604.79396043814,28458.63321681157,50803.346905446924,39273.400223018245,23657.826183512825,24370.351252077457,35699.78715833427,631243.011679956
25965.101206282892,32605.492748016557,34948.6720183877,30700.71556206105,47137.14742942281,45037.59624253378,26036.750383010265,26669.17195822943,36138.68566382902,642064.05601583
28260.6132075126,31891.167404647385,37788.58841195714,29651.76592752925,49110.502649127935,47383.22096217717,24840.223762651927,31937.781485367017,32601.29211454586,645680.7135148775
28380.51833450275,30161.661672115428,34592.50599737803,30685.641996374216,46922.074542348346,47259.14379655764,28750.748398960142,35292.56632722811,34812.13768946525,651229.7967148208
27862.0303801528,33429.85191243155,35047.138580759485,28729.578421115973,51885.57368432253,43207.97183180216,27810.080991661187,32309.04154689057,33940.77335734462,655318.0569962291
27065.701428352353,35780.35159515076,34217.212060997386,30133.78605415944,55439.24931323773,40552.91930919059,27975.268019455234,36032.835875078825,37730.012581106464,662303.7098286825
24164.160783915442,33722.01924267121,31767.69178959094,32958.21629303016,59248.7340569251,41368.468038250656,26756.365035258143,32327.55161583365,37098.57311687708,663089.4916097203
25250.93888681932,35220.25975381761,35257.28078733282,30547.87781413187,54266.00404237334,43562.342617313414,31626.966188828545,31238.436598363314,38974.77224063598,665300.4499037525
25185.484365046705,33786.34356921277,37106.6788437221,32578.924331108577,55439.496392664834,38028.09431612607,35662.18400598404,34122.12293797362,35670.64860520727,673631.9362788266
23094.411052245014,39869.158434197314,34067.13135467766,29489.854394852886,52170.38330540111,37148.67266273062,35005.97400496898,37449.94685337122,37882.77910779041,675562.0549456596
26056.89908277299,40977.77008814729,36596.94705581788,28650.790496111138,54346.094906302795,37376.242811758435,29666.325943590553,34958.42817177897,39587.34684042678,678979.5935089292
23497.644720403183,36012.38280292442,31790.37654836367,34448.65141640558,57699.50211983187,35531.54147708246,31268.919326919608,35742.52141684225,41528.16274320068,689850.2149221639
25622.788793225347,29868.52111945917,33080.418285827895,28310.169752866543,65490.78708358041,41076.62124841577,31861.281586636716,41066.40692088062,38682.355474513126,693576.6325825488
26534.103655874245,33163.58498205366,32711.09142975477,30058.780009431655,69734.40383948611,41397.451322800924,32412.730211155278,37581.87303880162,42337.1315996322,704948.7424030632
27283.033817297815,36067.401224734305,37606.84208089093,29058.88466873119,63369.20877442447,38147.84202046733,28637.146001557823,37483.178062361236,44046.94447394733,712302.3675551283
27472.729153493114,43201.299690411666,35798.979029508875,28832.391273427304,66703.01570123872,38673.37914567311,30771.885028931974,34735.92552900707,42450.80690904905,713059.639211544
29033.784262588317,37886.81139631424,34947.95110946568,29671.840350286308,73509.23232700797,42083.82735969715,32744.828709358346,32791.48131067922,40626.99773204066,713137.9251280888
31280.747108058724,32764.47326679348,32530.37599679199,31745.52376874821,83559.87141940746,36261.24118498939,37918.242712068786,29663.118199947603,31976.011247708597,710247.7729544546
31890.74292426037,36176.84685569167,33120.689840196996,32935.6248940672,85324.0562249789,34189.268831143374,39960.67211075529,32251.06511966005,35940.23395055113,718718.229441835
28718.88263154569,36919.400294313346,30467.634427764566,32140.40893350883,89654.74755242435,36386.37398242166,36542.527195931405,30871.253688032182,35676.2711899042,722536.2602531341
26671.644301251898,36465.95822391647,27615.047992225638,31255.479609583486,93417.14602618886,37028.148478241375,30019.576204193752,35151.96100443885,35104.33632018191,710698.5909903187
27998.136317647855,40059.26513611266,32137.35577905256,27484.282109998094,93326.78470036936,36788.21811474864,29380.227894318985,34000.62618465471,36964.956887089,711976.8996745979
32488.267447746453,35670.8611317243,39821.26369633095,27310.562126007597,96527.26987829075,36745.03485360077,32058.190049051143,36580.64756208766,37025.911088375666,714955.6842443038
34074.63517839315,33958.910754121236,36315.142315268604,24644.970484659832,97646.76474523576,37682.981639850776,33068.734905557045,38567.05186130022,39969.196782332045,726366.3578123691
29431.921673425615,34827.09087635085,33922.32640945168,29831.094359055078,104049.85721656121,39523.89670782422,32129.782613529846,33168.581207112045,39168.50662910441,719171.9727871215
28616.53926871175,34304.72804557936,34442.46365690868,27502.311460102377,112501.1446801811,36020.74172777875,32941.40322710468,32391.0631618441,42240.11619522611,716195.898699346
26266.557615328333,40824.11829584252,24959.716277551095,27718.30553167738,112729.68156070799,39636.11697173839,29771.381956002268,40183.12251553508,39065.93098990344,728200.2260531454
27427.418660432973,45269.01913199819,27323.752988986776,27685.727339311514,107665.50321133301,41065.336877344846,29276.813472075548,41581.33215313154,41220.76299710569,736590.2615770818
29212.7788119479,45289.543013817995,33244.36379019923,27177.52614360387,109863.39971017398,34968.25648659695,31942.03715551968,38822.153999471644,41583.307624514804,754598.9902795572
25585.475248611376,45262.97212319389,34821.49188799733,28592.749892901502,118314.01227861845,27173.257472109544,30610.219305015446,34920.98622781982,36464.974266224264,759482.114617209
24534.67661362824,50130.52406885759,29895.578769081298,28458.998677604945,122322.79949544465,23053.587832415215,29967.836668973905,34182.994003575855,40906.8968936614,749210.080407225
24362.859214112006,49446.17818244847,24310.42228232668,24497.55196036176,125753.57222735151,26199.126378979097,28925.208733801624,36602.422495270795,39515.72204223742,752153.0769747939
23657.356767211444,52960.21076546484,26070.614661395677,23342.20876683611,124865.98342051721,29668.133999470076,27440.622810259345,43450.65643037336,42581.69797355663,760046.5348972548
25078.659775865635,54619.78895335521,29912.2009816805,24841.035424684647,125832.35288558404,30252.44028198657,32091.381062952583,49792.96029684082,52245.46524663773,783529.7921102425
24051.003363658558,56248.09932792558,28853.815075244842,27618.201075837704,134235.85458479126,37121.309845806325,29008.537238492143,50633.58906237022,54920.610671728224,815511.7912293668
25650.54506250907,61977.647172084144,24097.22239480688,33205.2489056662,134993.64994084497,44193.1500934347,28228.755911068118,49463.62996183938,53282.600336359654,833000.1457690024
29913.94225193503,72061.64078996934,29769.052902394807,25607.49341208697,129033.02530623482,44243.14026588959,32733.11689748834,51343.82467749766,59243.09856729531,861117.1017416329
27964.615344339363,79460.47916190144,29245.186086833874,24355.806778016344,124323.73381854559,40505.8752152237,28740.563308741974,58042.679138910484,66258.73910724373,885557.7061606701
29020.700275062012,84841.74214417885,31145.27532600592,25147.728498938963,122638.00233088198,39964.36486418675,27019.410965505678,60679.587653106915,69151.4024799135,901469.5659496471
28510.51283221017,89950.62260127466,30019.62010644678,28791.535603386383,132835.30971429904,48612.01333544273,27183.396130977548,66716.51919555452,77254.73003833507,921597.2164920771
25101.306841380458,93500.5661459387,32581.66251304091,25577.063294090643,149216.2128862942,59784.556211626186,27674.62748804791,71381.77621792375,81150.18464868331,954457.1838716428
25397.83868466702,99730.09927274568,35763.378814507494,29630.84127814405,158521.187397668,65124.51329766894,26375.48613805413,75684.04027558501,82213.20751720745,988814.903177481
24465.873361445527,108434.90675358348,31999.407658425705,27753.858601924927,173581.11370030968,69166.44434782118,22817.813838261125,80510.23673028423,77792.18503164752,1026649.5048670124
22768.69277857231,118902.43049352599,30525.731924946842,25564.536582577013,183985.78948068773,72335.01105532072,24635.428643833693,80403.07287280027,76388.54876945513,1069380.5440301192
21331.678146423677,128968.69367185474,41387.938030675774,25104.415275707313,191009.24943811292,78217.14814194993,27105.15579702847,85145.14904844137,77643.56774332895,1124713.109472492
24479.304703889356,136849.56347884194,47707.47347467223,31456.43792384872,196087.0711852621,89300.3708652038,18725.672275488432,90079.36498070783,85542.96581048482,1187164.4500343197
21129.710053440926,149252.48219066163,54374.32647476597,37980.45214037402,200795.58426062847,99824.6110200237,20193.373227356995,90832.9990432629,94976.2138580663,1224289.3419997492
16940.873685903967,150388.81922824576,58247.109515131604,38950.159551162185,203317.37830009128,105520.86823217342,17586.965877058927,96987.45740457224,93673.19446415354,1214362.881577631
12410.278605823036,152091.61821917837,59389.74791008361,43413.73689009564,206630.90145544018,114584.67914522877,15625.084459431087,99960.8724305476,95503.89855405004,1208757.1469351978
13106.606999451536,158133.1369452747,56382.64948869245,43450.721666221776,208024.37083754738,109007.19606304502,19781.900022551312,92694.76598813076,98127.86805462293,1211130.126063065
12573.10117995346,163801.58491080638,52039.07677072055,44587.47730853048,211173.67172721372,100305.05741546092,16412.95389124513,85405.09940942047,96258.46041251627,1206885.4880435304
10555.363096204166,167469.3350950574,52026.12824874544,46209.012566503596,210979.88953239433,95375.19547420785,14242.612049304471,78628.50596126434,89673.88043280334,1200996.2996966823
9279.317641639063,166946.16260515436,56638.43899680314,50933.41842110681,212551.3119472779,92561.28064592977,11611.520737322253,76204.75915363408,88909.06034910707,1207681.317886089
11966.843212777478,170134.82919934753,55543.29709983881,54117.034223386356,214182.07413725794,98095.0092430874,10410.71551609043,72542.10658279376,88561.86162736789,1216800.966401245
11636.946991852044,171747.76642885563,59242.950685647134,56586.193487350625,213028.30538793196,98341.42400243238,10764.715796366265,73237.7436999562,83608.18282958405,1229629.9733588742
13296.812784716845,173536.07097944716,63370.15951230756,58785.855041442046,211658.9386143729,96223.64913318705,10728.38387055865,73628.5401374446,84876.57413392425,1245800.1202875
12535.079082779184,173149.01462816124,71973.23674069098,64198.77460213882,203462.43344448545,95035.07497299538,13012.329571344246,74487.5361531144,87620.4435225223,1270330.5875355075
15658.764210801202,174509.0547845126,77633.62204872796,64048.99647808713,196796.84240188423,94740.97618212899,11291.64281638411,73563.98474393072,88373.13227898463,1280528.6404262858
16726.655437350557,178264.80872790684,78028.18745363381,67476.10787659312,191061.81647227012,99705.34987875483,11483.640036967205,77146.89205657394,86798.62434044135,1292716.0502217545
16957.29330451893,174226.89631529065,79896.21903577144,68077.85400057204,189285.25795191116,101978.59356681917,12352.846619243413,76925.90236598492,85901.81856673217,1304599.3194697532
17962.352531586443,171997.5017484882,83704.4814659232,64519.581909090346,190495.05870233226,98843.3934912255,13316.508773689611,75267.7752721135,88046.32920531776,1311519.4809655244
18631.995760785918,173635.68825651,83602.34673107952,65954.4215362308,184252.5379029049,98184.00537890385,13209.303583857507,72105.02560364551,90168.84793339808,1310891.2956318555
17767.41976701912,173791.841647901,83910.58761454416,66115.16422247287,174938.1048888873,91633.50578135606,10318.055181338448,70392.86490442425,90142.00630346796,1289451.5657671068
15402.374680010478,174334.04635167468,81504.35583313715,62980.63755422668,161858.2312392978,85356.67751170727,7784.415314390624,72331.41098326418,87652.31023869928,1253739.8543611958
13684.400115401535,175562.81234200334,78752.90066856646,61701.79012324175,149304.2181645551,76385.04804912621,10220.798327143306,69895.14102125463,93140.69214540297,1247351.3891338701
17243.761427502486,175592.18197847923,82839.12902214822,60097.943039087484,146227.0021048699,63691.781143552624,12031.700345735202,66316.6499657809,90058.42047083908,1254562.4519649944
18429.398034666057,177800.5208379928,83734.09723862511,65456.52738612333,147675.55030065126,54567.72081604104,10498.993004047295,66222.90330097053,86009.46306815078,1262443.4641428916
20846.70184481721,181829.43267602762,87994.1275672715,64603.87100374884,148643.46974798976,47638.955729309724,14759.068252992356,67286.10743565213,83178.00150113749,1276645.737460321
23343.379632612647,187406.67009121386,92884.3835988016,65932.5438779907,145214.87228461582,34966.21565828693,12261.23927609127,69149.71500713707,83873.42466358154,1282322.8566438912
25775.198085716533,186027.08601480225,96099.32237956673,67621.54874481956,145284.65635801858,25113.041822867493,13553.707747351433,70591.72732517206,84843.32595740659,1296133.1715329718
27395.29875488627,186432.49500279778,100727.5384804456,70080.04737592822,145373.9756144579,24688.01899595358,15629.28166388303,65801.85788609354,79828.10989843904,1313169.119788943
31390.787888323415,187715.358842129,104684.3472643308,73574.49083205844,145748.4560244694,26424.516938294848,16571.93681502769,60573.5457009803,76255.87016745334,1332156.746526239
32837.93029631221,189901.32542542627,109147.98872674776,76836.90154791833,145142.32193917697,30469.364697961566,17778.15105906762,55062.12981956692,67302.69632483409,1359487.7263791498
37122.00382240088,189525.41177945066,113921.03094238222,79123.32075114163,147417.03836915395,34190.89303970044,18189.24756132585,51338.56941265674,65483.47393804601,1388223.5236475237
40854.78949307573,189119.67848976108,120674.47498447546,84218.28291118417,149052.33713774948,34360.04074410849,19846.798469114874,47739.94716459255,67061.68603421243,1418497.1225646844
45056.792400266,188532.10112942933,126152.77955402377,87555.69141696043,148842.38188014005,37008.6907427918,18958.0491010553,47654.36841010662,60280.382187532174,1440748.4274280628
48626.48467887404,188631.20401454705,128526.7154379473,92288.7998527155,149306.2506789401,38993.83492225117,21180.843832218965,47203.19220330311,58805.33877913823,1470082.9058922809
54289.92942302713,186823.022822003,132291.61050295032,94444.25754026869,146635.41438820102,44115.1647868448,23768.183959481867,49443.02164855538,60965.245789048255,1508209.764847171
60188.45216390093,187378.26297792242,134374.1267314521,96056.77393013456,146409.5923304584,47612.98511797128,26021.887654725455,49700.351854480985,60774.76803986144,1539226.2398251875
63553.19533733965,186422.15663508157,137329.08647897083,98755.54347763276,145557.6675323247,47103.68525795355,26814.99515463223,51105.48294380913,62499.74816389394,1560275.1097177716
65019.173417350896,187680.43998022465,136857.24870599716,96833.99393397041,145614.3167159044,47415.15995377125,26555.581756330357,48940.03623291294,63640.00533162703,1562150.3502259816
63392.40166382103,188829.01124077337,135453.66796858638,95721.89684096134,147771.5404712933,46908.75638689239,24782.505873904407,49913.07309606001,63220.491370986994,1555794.5711871667
61453.62524851854,189745.08277620032,137854.3893523186,94052.09003659576,146405.48837953815,43545.96942331849,24558.90648032153,50016.13724137498,60873.49045733175,1536256.7266513447
58171.8929987496,188341.49992691766,138095.9724445627,92577.74066617734,147035.30295012204,38787.53303705621,24578.9233293785,49171.05140083057,59421.94383582332,1510434.5929624864
54634.26767406893,188440.75909536466,138213.31105322464,90844.39554916206,151022.87858076056,33207.94963631525,23629.479230212368,46416.81173521027,60933.29341429549,1497017.4183155114
