Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9
91588.28693109348,40034.52688621429,69969.56357362715,53832.1409924298,7441.238217930695,68014.35718505677,81585.82626076063,48980.5268342053,67505.10042516813
116861.82151655063,108912.24470121485,107446.73397291216,110936.20877676446,130999.46046563367,133607.13590262018,107974.54139568101,106225.15669950968,111616.17745469099
127771.23440262768,182306.7431848948,152350.21365041196,149349.13314187256,185527.33810572268,116001.30279503023,128098.57666249725,95222.64585565109,168514.1128335416
148095.8846676655,171803.1322424473,162698.57614666707,201646.0418324377,188059.54445399492,34018.66391847353,145333.7461070952,9322.011709983892,204140.2155194284
161967.6207331923,196807.25213538404,174316.56365802285,189479.8266389048,163271.10825619262,36246.69269776245,114486.59267968708,9543.86896767551,167531.63048663517
129111.58519056975,167634.81691108653,150423.2890532314,176910.63365954146,181815.17717131026,47620.51756963204,114807.8781197049,15328.058208353887,174933.47052999077
66417.49040107947,159079.7166040985,161398.10821208515,161729.74551590846,198764.1007661466,51440.80689800807,80384.09871941879,18001.61145976635,177382.18651104489
56624.429222446,165283.6652621938,175306.90552963916,188777.58476595473,210474.92635163106,31762.25417254479,87626.71834911562,13245.862519983344,173080.98688935064
67268.01515811365,149087.43149896225,170137.15934521533,158540.14511682148,189165.28968465424,44740.53745562476,104118.05266967507,15813.00777543335,182592.5143575502
75423.56849437863,124369.191902581,194530.93858588338,153914.04924632254,203230.20911057593,45292.19293774836,87404.91379658389,18445.020272201727,183120.69658215786
107132.98550708918,100931.33765678709,188584.12076855457,142009.96602370206,213094.90308896764,51392.98255487637,99403.5563088618,14647.562309860949,148654.61437114284
126812.29019417366,84938.79781450954,180203.38950838495,142092.98395109538,178412.03201810148,55538.6236107345,73919.99022844982,12744.469349734043,162082.4209084715
114938.2595363656,77472.67198122699,175329.78842292388,159097.8669528084,177522.83035569245,36133.39813157815,59415.8707218516,24132.727673127836,138601.88857127057
106364.8777347253,82438.5803699175,171812.27564404948,139051.5477981213,153966.15557893095,38684.08188952849,45010.95265495135,10068.048127145645,145421.62465733307
104692.44838089531,103699.15112449636,158412.80673165925,121769.95568727479,189583.73156141618,32802.348801023785,60577.41359349691,51292.25211933546,133145.3667546202
100545.13873599774,78631.17334249137,166219.71690580185,116466.11048656578,187599.41454903575,33225.162267048116,55576.17774414879,100308.8904523248,123755.40728598696
120101.82041735247,76775.71308852496,144018.10252946403,130429.29979140841,165913.40054812853,43569.58363538528,37466.87981072311,114221.91839122893,143420.3451308633
107546.3137731151,72611.55490170233,121563.76780392227,112069.77855427704,173902.05128064376,43491.635721158484,30103.017570508797,93408.7065760404,120773.56714287188
127269.46427893157,83441.97022555288,119096.26190137984,137816.83697730003,148950.5991182674,29741.76748310052,17567.015101852267,69285.57113106917,116414.1872650356
97024.67159966973,63980.10584657942,127808.32200153221,134878.14543663742,160735.7695943632,36400.48587145466,20821.10004149026,80338.31279159858,94322.70268913546
90012.03224521778,57558.85329277131,141587.03366239934,126224.6395372588,135386.11772062027,37745.70853830625,20981.671582092433,89331.0832143742,114469.95188565907
105547.37359919143,64946.44451614714,140323.7367672436,90233.02637887826,140377.1516049309,43691.082139494494,27306.74914437472,96860.67799673285,79033.29747980068
94834.82965372024,70089.54498030481,131197.24347213272,121564.91029580613,159626.4199194765,46028.546701079016,42385.875473957516,78383.94230884872,72627.53705939416
78456.0921811759,68452.27787331169,153791.26521297146,135979.43620931127,171722.0595998156,51523.075649677005,20868.080934976766,86092.3075679513,68464.04867827533
74766.48811972902,64381.870694182384,152061.81552604848,133346.10646278437,160907.4006188734,49763.4641882335,19355.51244019199,98770.83406696781,74816.47653442984
79697.44188758249,75179.48229311935,130005.86046771798,110017.50924281195,146725.5410751882,60474.824929625094,18100.295230250747,125927.68609648097,73279.54830250134
79430.97882156639,90273.59349112026,142821.59938389776,108644.5479828387,142060.83867975182,49273.63928294064,16474.572588509465,113665.97794491313,62834.716030854484
79072.98916168432,93787.63226219911,138275.86435519668,92249.84924876146,118837.65631525007,46584.87486978315,41351.64458113802,97187.26112649741,73011.8394810762
74977.32869003278,95601.41507647262,109446.89741587298,73503.70904887017,178340.99119200307,60158.01968853365,57114.39398450041,64575.89913259711,67297.91731888482
84894.39023722558,92230.05724909398,90523.59862077248,74550.02422398055,198614.51934046243,56926.90898571087,73160.12798460784,64411.14584854819,78716.39299426782
95424.97397406162,74907.05328464626,98374.70162060822,92338.01999152658,191954.3302772817,57209.3328888387,71175.41449008194,46673.4078946127,57715.39791663153
83351.94651511122,86077.77915044995,103448.10786791903,82376.82657015412,180649.49113658382,58465.39090033887,63992.227750056554,55494.5127833191,68257.85001793153
74391.52133245458,80357.97007502106,99501.7573919267,57868.775490001026,121481.97136229365,58572.690811750006,37326.656885849006,51130.04169100897,84876.53915869558
47503.83671101675,64544.75833041336,76260.32203311718,50724.17100888523,114426.47868756898,38871.97518789578,41495.33729801952,44625.59316851217,77837.99616450752
51890.937121776165,62961.90763105763,83456.1465954576,38299.08397370975,86673.7306382235,46486.11460676238,50025.55158040273,23127.1593198226,74579.1160012062
48676.483480815645,53139.160350531645,82225.97562042405,56556.43886355987,79556.27692588152,47236.931824562766,30568.941712611144,21585.647238199374,50186.80951748623
42203.21582815804,50306.63708398155,71487.32330218698,38079.957996039375,74733.45507321214,43853.27415150096,39339.18064775357,26889.72048597654,64314.50893956108
51670.35935993685,39281.327989774414,65684.11734944873,31470.777426893645,70570.54293032663,47200.46114815901,22223.74000004724,16260.958430058692,45256.771321037806
35968.21238377075,40775.72233326011,36226.300750675655,51266.30091629848,52270.19349534475,38890.667238558606,28755.214665849464,26325.833593988966,66570.78055113294
46672.0775618017,44096.74880279757,53895.098098806375,38862.37927923191,55626.76862390729,20506.45956495403,43818.35693437364,28701.309129670022,52779.06709472948
24828.217459733525,48120.171862164265,48506.68838442721,33225.09891906488,68525.10462566781,28751.212876609472,38591.94715523268,21762.590102247963,45022.29213597871
42670.26424968305,27761.282592559473,54254.58325845465,40665.977814462494,52066.85225086971,39724.363837410056,34100.67034692191,31186.2839073073,37981.730609810285
37939.88633630462,41041.2778416832,46113.03504617334,57126.48336671163,62734.90453686242,43973.29259797711,36097.45254305766,30761.827440610177,28817.138966532242
56412.92081896877,41472.585923922874,63296.21376376777,61089.55632607272,72024.6827551154,35769.239037687796,31720.009006203734,24371.711637819495,28813.81582635029
78026.46062104766,35587.62796292468,69001.6873095899,71327.47336656766,85714.07438579718,29343.056446863313,30803.57231193473,24565.37278187963,31748.421695961722
87250.0903243367,59327.44736622506,64674.73545456686,77399.87942632951,92235.79230743053,41505.68420839352,45251.56792512357,27112.9373405463,34241.16109785212
