Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9
12098.766948860848,4687.849877831248,8725.464369667083,6690.852285566329,932.8309762989422,8595.160332552858,10363.646336582613,5994.688819547592,8284.357985281751
15147.128911657579,13731.162060755072,14960.707947688275,15041.686696635099,15702.739788697252,17029.523375011748,13886.82731889959,14410.003933142103,14626.332004109969
17627.123591897664,23163.464304139176,22064.365901634505,20674.309603599326,25693.633800597403,16806.970848865967,18659.154730573297,14276.656246628801,23578.300588087393
20754.167916608632,26679.909157297934,30210.125314290704,29750.387964226324,31961.940956113547,5475.0109680050455,23390.622982040168,1247.7066982633212,37234.658331048035
23822.788722609104,33497.10033292981,32985.04378844066,28475.82188800802,34825.033686987736,5424.419385616061,18123.913140322475,875.6618814426429,36625.70573236512
19095.213487702422,31879.371627494573,31180.44001702877,26362.403981076386,44540.85359237994,6802.051302571968,15298.84621358832,1978.100795248446,35275.18054880592
9790.486873432064,29555.977551207943,32752.55455420804,25210.81832622898,52842.437487987896,7604.412168451732,14166.259696934227,2317.2218905141012,35069.27741630092
7400.525508422994,27126.057124904597,36646.624115289946,28688.682576954674,60951.54697955877,4000.6124601629126,16435.339507622204,1585.53275530497,35643.24650617599
8875.847321075682,22486.323538587396,35141.18958268328,28713.167768113668,65152.20126286499,5997.153026487648,19312.397516070385,1665.6947191086704,37660.2889175378
10588.76411807109,17901.010399584746,37846.6909050554,29684.91237720434,72808.51106439109,6203.941778562086,22026.73195250888,2179.1905323532405,35511.91665855212
14960.478890183236,13830.00149597849,34533.23885210219,26699.698399869216,77562.34084795654,7280.087547057407,26613.809361991487,2202.5061230164615,32800.45214221382
16987.01712848824,12338.53905308293,32903.4446880261,28420.372155876394,76886.47029645926,8044.413254290732,29247.146541214053,2488.1274520847765,32312.872936301566
15267.059645874559,9656.585849005738,31283.969300797453,33038.97787635467,84445.25614883637,4966.2669858939435,26298.880622123805,3046.2282537708015,29636.928696403316
14847.951045279982,11276.341346760553,30321.839075497774,31409.932525574317,92288.10195825966,4994.243087475651,28175.94530133582,1326.7209432287943,33341.78221315833
14014.63991952588,15149.331938869367,27059.055803526862,28233.357054972126,98198.08653180161,4311.275752562024,30950.512481621758,6104.90902049173,33421.76020610524
12548.89613040228,10921.985935181086,27716.996751514893,29826.39881304802,97686.97430664262,4554.476110805253,25888.143073606985,15000.259910643417,36548.1154238871
15508.187299603887,11065.575030894503,24544.435089846396,34960.4497419891,101684.63933972623,5536.988777816388,20334.00579706848,20202.488167500444,41017.89127964201
14815.983596917682,10470.421561869387,19180.14076794249,31828.797556515743,108530.41418993098,7104.680679827676,18127.672964313304,20796.19957092788,38397.201268343466
15387.320210453978,10735.118330606127,17278.746032119903,38942.67297832842,110854.19442893377,5242.6620245225795,16998.480685718136,18177.80474243303,39637.07030859062
12733.191930190413,8834.420899337272,18715.530584530134,43187.76828804646,111746.5596553169,5413.012292251207,17053.904054834922,20253.238366944315,40351.48875162139
11636.640797126833,8128.165070354365,20670.451158925964,44574.882566220265,111508.07476679496,6549.588720919287,17921.841816139455,23163.79201698385,44181.88234386766
13121.722688946467,7880.267943613864,25750.338412398083,42619.99771417454,110936.28695017177,8553.942529682567,18159.292411189697,27386.695065363165,44565.2817979139
11519.112459662922,9743.027862838702,26869.03818579367,49255.463388170254,108715.8295014909,6394.534557454019,14776.343433126249,27797.57534641063,47545.21937739188
