time,zone,veh,activation
1080,334,4308,1
1260,334,4308,0
2700,334,12657,1
2880,334,12657,0
2949,336,13933,1
3060,336,13933,0
4494,332,21282,1
4500,332,21282,0
4750,331,22531,1
4860,331,22531,0
5040,331,23781,1
5220,331,23781,0
5471,339,26050,1
5580,339,26050,0
6840,338,32230,1
7020,338,32230,0
7200,332,32674,1
7200,335,34039,1
7380,332,32674,0
7380,335,34039,0
7560,339,34399,1
7740,339,34399,0
8936,338,42578,1
9000,338,42578,0
9180,335,38312,1
9180,335,38886,1
9180,335,38901,1
9180,335,39053,1
9180,335,39498,1
9180,335,39593,1
9180,335,39596,1
9180,335,39613,1
9180,335,39637,1
9180,335,39669,1
9180,335,39670,1
9180,335,39686,1
9180,335,39889,1
9180,335,39892,1
9180,335,40046,1
9180,335,40060,1
9180,335,40159,1
9180,335,40246,1
9180,335,40274,1
9180,335,40324,1
9180,335,40378,1
9180,335,40437,1
9180,335,40560,1
9180,335,40637,1
9180,335,40653,1
9180,335,40733,1
9180,335,40894,1
9180,335,41004,1
9180,335,41005,1
9180,335,41039,1
9180,335,41127,1
9180,335,41161,1
9180,335,41238,1
9180,335,41283,1
9180,335,41368,1
9180,335,41467,1
9180,335,41542,1
9180,335,41545,1
9180,335,41546,1
9180,335,41574,1
9180,335,41632,1
9180,335,41633,1
9180,335,41657,1
9180,335,41689,1
9180,335,41789,1
9180,335,41846,1
9180,335,41848,1
9180,335,42038,1
9180,335,42078,1
9180,335,42088,1
9180,335,42102,1
9180,335,42123,1
9180,335,42149,1
9180,335,42259,1
9180,335,42358,1
9180,335,42384,1
9180,335,42395,1
9180,335,42430,1
9180,335,42439,1
9180,335,42455,1
9180,335,42458,1
9180,335,42478,1
9180,335,42580,1
9180,335,42714,1
9180,335,42725,1
9180,335,42727,1
9180,335,42776,1
9180,335,42851,1
9180,335,42853,1
9180,335,42919,1
9180,335,42992,1
9180,335,42999,1
9180,335,43073,1
9180,335,43095,1
9180,335,43149,1
9180,335,43152,1
9180,335,43185,1
9180,335,43203,1
9180,335,43216,1
9180,335,43241,1
9180,335,43255,1
9180,335,43285,1
9180,335,43288,1
9180,335,43360,1
9180,335,43406,1
9180,335,43421,1
9180,335,43430,1
9180,335,43463,1
9180,335,43465,1
9180,335,43507,1
9180,335,43513,1
9190,335,43738,1
9207,335,43826,1
9221,335,43887,1
9223,335,43897,1
9250,335,44027,1
9251,335,44037,1
9262,335,44066,1
9263,335,44071,1
9269,335,44094,1
9279,335,44130,1
9280,335,44132,1
9281,335,44138,1
9283,335,44146,1
9286,335,44155,1
9291,335,44175,1
9295,335,44191,1
9301,335,44218,1
9315,335,44295,1
9317,335,44301,1
9323,335,44324,1
9326,335,44338,1
9329,335,44353,1
9339,335,44397,1
9350,335,44461,1
9358,335,44499,1
9359,335,44501,1
9360,335,44508,1
9360,335,38312,0
9360,335,38886,0
9360,335,38901,0
9360,335,39053,0
9360,335,39498,0
9360,335,39593,0
9360,335,39596,0
9360,335,39613,0
9360,335,39637,0
9360,335,39669,0
9360,335,39670,0
9360,335,39686,0
9360,335,39889,0
9360,335,39892,0
9360,335,40046,0
9360,335,40060,0
9360,335,40159,0
9360,335,40246,0
9360,335,40274,0
9360,335,40324,0
9360,335,40378,0
9360,335,40437,0
9360,335,40560,0
9360,335,40637,0
9360,335,40653,0
9360,335,40733,0
9360,335,40894,0
9360,335,41004,0
9360,335,41005,0
9360,335,41039,0
9360,335,41127,0
9360,335,41161,0
9360,335,41238,0
9360,335,41283,0
9360,335,41368,0
9360,335,41467,0
9360,335,41542,0
9360,335,41545,0
9360,335,41546,0
9360,335,41574,0
9360,335,41632,0
9360,335,41633,0
9360,335,41657,0
9360,335,41689,0
9360,335,41789,0
9360,335,41846,0
9360,335,41848,0
9360,335,42038,0
9360,335,42078,0
9360,335,42088,0
9360,335,42102,0
9360,335,42123,0
9360,335,42149,0
9360,335,42259,0
9360,335,42358,0
9360,335,42384,0
9360,335,42395,0
9360,335,42430,0
9360,335,42439,0
9360,335,42455,0
9360,335,42458,0
9360,335,42478,0
9360,335,42580,0
9360,335,42714,0
9360,335,42725,0
9360,335,42727,0
9360,335,42776,0
9360,335,42851,0
9360,335,42853,0
9360,335,42919,0
9360,335,42992,0
9360,335,42999,0
9360,335,43073,0
9360,335,43095,0
9360,335,43149,0
9360,335,43152,0
9360,335,43185,0
9360,335,43203,0
9360,335,43216,0
9360,335,43241,0
9360,335,43255,0
9360,335,43285,0
9360,335,43288,0
9360,335,43360,0
9360,335,43406,0
9360,335,43421,0
9360,335,43430,0
9360,335,43463,0
9360,335,43465,0
9360,335,43507,0
9360,335,43513,0
9360,335,43738,0
9360,335,43826,0
9360,335,43887,0
9360,335,43897,0
9360,335,44027,0
9360,335,44037,0
9360,335,44066,0
9360,335,44071,0
9360,335,44094,0
9360,335,44130,0
9360,335,44132,0
9360,335,44138,0
9360,335,44146,0
9360,335,44155,0
9360,335,44175,0
9360,335,44191,0
9360,335,44218,0
9360,335,44295,0
9360,335,44301,0
9360,335,44324,0
9360,335,44338,0
9360,335,44353,0
9360,335,44397,0
9360,335,44461,0
9360,335,44499,0
9360,335,44501,0
9360,335,44508,0
9360,335,38618,1
9360,335,38901,1
9360,335,39248,1
9360,335,39440,1
9360,335,39613,1
9360,335,39670,1
9360,335,39959,1
9360,335,40045,1
9360,335,40169,1
9360,335,40240,1
9360,335,40367,1
9360,335,40359,1
9360,335,40630,1
9360,335,40650,1
9360,335,40938,1
9360,335,40939,1
9360,335,41126,1
9360,335,41131,1
9360,335,41207,1
9360,335,41239,1
9360,335,41277,1
9360,335,41411,1
9360,335,41457,1
9360,335,41625,1
9360,335,41644,1
9360,335,42042,1
9360,335,42138,1
9360,335,42342,1
9360,335,42346,1
9360,335,42351,1
9360,335,42423,1
9360,335,42439,1
9360,335,42555,1
9360,335,42698,1
9360,335,42838,1
9360,335,42829,1
9360,335,42906,1
9360,335,42921,1
9360,335,43058,1
9360,335,43134,1
9360,335,43142,1
9360,335,43215,1
9360,335,43225,1
9360,335,43248,1
9360,335,43283,1
9360,335,43293,1
9360,335,43360,1
9360,335,43373,1
9360,335,43399,1
9360,335,43409,1
9360,335,43438,1
9360,335,43464,1
9360,335,43465,1
9360,335,43509,1
9360,335,43626,1
9360,335,43634,1
9360,335,43711,1
9360,335,43738,1
9360,335,43743,1
9360,335,43997,1
9360,335,44012,1
9360,335,44030,1
9360,335,44094,1
9360,335,44172,1
9360,335,44164,1
9360,335,44176,1
9360,335,44208,1
9360,335,44220,1
9360,335,44233,1
9360,335,44370,1
9360,335,44387,1
9360,335,44408,1
9360,335,44440,1
9360,335,44469,1
9360,335,44495,1
9361,335,44512,1
9366,335,44540,1
9371,335,44581,1
9372,335,44589,1
9379,335,44626,1
9385,335,44656,1
9386,335,44660,1
9392,335,44690,1
9403,335,44736,1
9414,335,44789,1
9417,335,44805,1
9423,335,44831,1
9467,335,45021,1
9469,335,45032,1
9496,335,45139,1
9503,335,45176,1
9506,335,45187,1
9521,335,45255,1
9527,335,45290,1
9535,335,45328,1
9538,335,45339,1
9539,335,45344,1
9540,335,38618,0
9540,335,38901,0
9540,335,39248,0
9540,335,39440,0
9540,335,39613,0
9540,335,39670,0
9540,335,39959,0
9540,335,40045,0
9540,335,40169,0
9540,335,40240,0
9540,335,40359,0
9540,335,40367,0
9540,335,40630,0
9540,335,40650,0
9540,335,40938,0
9540,335,40939,0
9540,335,41126,0
9540,335,41131,0
9540,335,41207,0
9540,335,41239,0
9540,335,41277,0
9540,335,41411,0
9540,335,41457,0
9540,335,41625,0
9540,335,41644,0
9540,335,42042,0
9540,335,42138,0
9540,335,42342,0
9540,335,42346,0
9540,335,42351,0
9540,335,42423,0
9540,335,42439,0
9540,335,42555,0
9540,335,42698,0
9540,335,42829,0
9540,335,42838,0
9540,335,42906,0
9540,335,42921,0
9540,335,43058,0
9540,335,43134,0
9540,335,43142,0
9540,335,43215,0
9540,335,43225,0
9540,335,43248,0
9540,335,43283,0
9540,335,43293,0
9540,335,43360,0
9540,335,43373,0
9540,335,43399,0
9540,335,43409,0
9540,335,43438,0
9540,335,43464,0
9540,335,43465,0
9540,335,43509,0
9540,335,43626,0
9540,335,43634,0
9540,335,43711,0
9540,335,43738,0
9540,335,43743,0
9540,335,43997,0
9540,335,44012,0
9540,335,44030,0
9540,335,44094,0
9540,335,44164,0
9540,335,44172,0
9540,335,44176,0
9540,335,44208,0
9540,335,44220,0
9540,335,44233,0
9540,335,44370,0
9540,335,44387,0
9540,335,44408,0
9540,335,44440,0
9540,335,44469,0
9540,335,44495,0
9540,335,44512,0
9540,335,44540,0
9540,335,44581,0
9540,335,44589,0
9540,335,44626,0
9540,335,44656,0
9540,335,44660,0
9540,335,44690,0
9540,335,44736,0
9540,335,44789,0
9540,335,44805,0
9540,335,44831,0
9540,335,45021,0
9540,335,45032,0
9540,335,45139,0
9540,335,45176,0
9540,335,45187,0
9540,335,45255,0
9540,335,45290,0
9540,335,45328,0
9540,335,45339,0
9540,335,45344,0
9540,335,38747,1
9540,335,39374,1
9540,335,39959,1
9540,335,40357,1
9540,335,40359,1
9540,335,40641,1
9540,335,40759,1
9540,335,41251,1
9540,335,41542,1
9540,335,41664,1
9540,335,41744,1
9540,335,41896,1
9540,335,41955,1
9540,335,42256,1
9540,335,42444,1
9540,335,42478,1
9540,335,42490,1
9540,335,42712,1
9540,335,42798,1
9540,335,42891,1
9540,335,43283,1
9540,335,43301,1
9540,335,43363,1
9540,335,43399,1
9540,335,43446,1
9540,335,43467,1
9540,335,43513,1
9540,335,43515,1
9540,335,43556,1
9540,335,43595,1
9540,335,43648,1
9540,335,43742,1
9540,335,43818,1
9540,335,43824,1
9540,335,43858,1
9540,335,43896,1
9540,335,43899,1
9540,335,44030,1
9540,335,44062,1
9540,335,44064,1
9540,335,44160,1
9540,335,44163,1
9540,335,44337,1
9540,335,44368,1
9540,335,44387,1
9540,335,44397,1
9540,335,44488,1
9540,335,44490,1
9540,335,44493,1
9540,335,44512,1
9540,335,44513,1
9540,335,44515,1
9540,335,44529,1
9540,335,44581,1
9540,335,44590,1
9540,335,44626,1
9540,335,44656,1
9540,335,44684,1
9540,335,44693,1
9540,335,44694,1
9540,335,44700,1
9540,335,44783,1
9540,335,44809,1
9540,335,44839,1
9540,335,44875,1
9540,335,44895,1
9540,335,44897,1
9540,335,44925,1
9540,335,44930,1
9540,335,44949,1
9540,335,44994,1
9540,335,45226,1
9540,335,45237,1
9540,335,45259,1
9562,335,45462,1
9572,335,45512,1
9585,335,45564,1
9592,335,45600,1
9596,335,45612,1
9605,335,45672,1
9614,335,45705,1
9615,335,45708,1
9628,335,45768,1
9636,335,45799,1
9639,335,45812,1
9642,335,45829,1
9647,335,45851,1
9652,335,45883,1
9670,335,45972,1
9677,335,46006,1
9678,335,46008,1
9679,335,46015,1
9680,335,46024,1
9684,335,46046,1
9684,335,46049,1
9690,335,46075,1
9696,335,46093,1
9720,335,38747,0
9720,335,39374,0
9720,335,39959,0
9720,335,40357,0
9720,335,40359,0
9720,335,40641,0
9720,335,40759,0
9720,335,41251,0
9720,335,41542,0
9720,335,41664,0
9720,335,41744,0
9720,335,41955,0
9720,335,42256,0
9720,335,42444,0
9720,335,42478,0
9720,335,42490,0
9720,335,42712,0
9720,335,42798,0
9720,335,42891,0
9720,335,43283,0
9720,335,43301,0
9720,335,43363,0
9720,335,43399,0
9720,335,43446,0
9720,335,43467,0
9720,335,43513,0
9720,335,43515,0
9720,335,43556,0
9720,335,43595,0
9720,335,43648,0
9720,335,43742,0
9720,335,43818,0
9720,335,43824,0
9720,335,43858,0
9720,335,43896,0
9720,335,43899,0
9720,335,44030,0
9720,335,44062,0
9720,335,44064,0
9720,335,44160,0
9720,335,44163,0
9720,335,44337,0
9720,335,44368,0
9720,335,44387,0
9720,335,44397,0
9720,335,44488,0
9720,335,44490,0
9720,335,44493,0
9720,335,44512,0
9720,335,44513,0
9720,335,44515,0
9720,335,44529,0
9720,335,44581,0
9720,335,44590,0
9720,335,44626,0
9720,335,44656,0
9720,335,44684,0
9720,335,44693,0
9720,335,44694,0
9720,335,44700,0
9720,335,44783,0
9720,335,44809,0
9720,335,44839,0
9720,335,44875,0
9720,335,44895,0
9720,335,44897,0
9720,335,44925,0
9720,335,44930,0
9720,335,44949,0
9720,335,44994,0
9720,335,45226,0
9720,335,45237,0
9720,335,45259,0
9720,335,45462,0
9720,335,45512,0
9720,335,45564,0
9720,335,45600,0
9720,335,45612,0
9720,335,45672,0
9720,335,45705,0
9720,335,45708,0
9720,335,45768,0
9720,335,45799,0
9720,335,45812,0
9720,335,45829,0
9720,335,45851,0
9720,335,45883,0
9720,335,45972,0
9720,335,46006,0
9720,335,46008,0
9720,335,46015,0
9720,335,46024,0
9720,335,46046,0
9720,335,46049,0
9720,335,46075,0
9720,335,46093,0
9720,335,39592,1
9720,335,39645,1
9720,335,40065,1
9720,335,40626,1
9720,335,41201,1
9720,335,41730,1
9720,335,41791,1
9720,335,41793,1
9720,335,41961,1
9720,335,42133,1
9720,335,42163,1
9720,335,42304,1
9720,335,42317,1
9720,335,42334,1
9720,335,42485,1
9720,335,42558,1
9720,335,42901,1
9720,335,43354,1
9720,335,43467,1
9720,335,43478,1
9720,335,43556,1
9720,335,43851,1
9720,335,43885,1
9720,335,43887,1
9720,335,43951,1
9720,335,44094,1
9720,335,44132,1
9720,335,44154,1
9720,335,44170,1
9720,335,44241,1
9720,335,44246,1
9720,335,44272,1
9720,335,44298,1
9720,335,44320,1
9720,335,44323,1
9720,335,44335,1
9720,335,44431,1
9720,335,44472,1
9720,335,44473,1
9720,335,44523,1
9720,335,44534,1
9720,335,44541,1
9720,335,44626,1
9720,335,44628,1
9720,335,44897,1
9720,335,44918,1
9720,335,44921,1
9720,335,44922,1
9720,335,44942,1
9720,335,44963,1
9720,335,44975,1
9720,335,45077,1
9720,335,45120,1
9720,335,45186,1
9720,335,45194,1
9720,335,45272,1
9720,335,45282,1
9720,335,45317,1
9720,335,45326,1
9720,335,45359,1
9720,335,45440,1
9720,335,45461,1
9720,335,45509,1
9720,335,45769,1
9720,335,45812,1
9720,335,45816,1
9720,335,45821,1
9720,335,45826,1
9720,335,45841,1
9720,335,45966,1
9720,335,45967,1
9720,335,46062,1
9720,335,46102,1
9726,335,46253,1
9727,335,46258,1
9727,335,46259,1
9727,335,46260,1
9728,335,46261,1
9739,335,46302,1
9740,335,46310,1
9745,335,46336,1
9751,335,46360,1
9757,335,46396,1
9766,335,46431,1
9766,335,46432,1
9775,335,46478,1
9778,335,46490,1
9778,335,46493,1
9780,335,46505,1
9782,335,46513,1
9782,335,46515,1
9798,335,46587,1
9798,335,46588,1
9800,335,46595,1
9804,335,46616,1
9818,335,46684,1
9823,335,46708,1
9824,335,46714,1
9826,335,46724,1
9862,335,46878,1
9866,335,46907,1
9876,335,46952,1
9877,335,46962,1
9879,335,46972,1
9884,335,47007,1
9884,335,47010,1
9900,335,39592,0
9900,335,39645,0
9900,335,40065,0
9900,335,40626,0
9900,335,41201,0
9900,335,41730,0
9900,335,41791,0
9900,335,41793,0
9900,335,41961,0
9900,335,42133,0
9900,335,42163,0
9900,335,42304,0
9900,335,42317,0
9900,335,42334,0
9900,335,42485,0
9900,335,42558,0
9900,335,42901,0
9900,335,43354,0
9900,335,43467,0
9900,335,43478,0
9900,335,43556,0
9900,335,43851,0
9900,335,43885,0
9900,335,43887,0
9900,335,43951,0
9900,335,44094,0
9900,335,44132,0
9900,335,44154,0
9900,335,44170,0
9900,335,44241,0
9900,335,44246,0
9900,335,44272,0
9900,335,44298,0
9900,335,44320,0
9900,335,44323,0
9900,335,44335,0
9900,335,44431,0
9900,335,44472,0
9900,335,44473,0
9900,335,44523,0
9900,335,44534,0
9900,335,44541,0
9900,335,44626,0
9900,335,44628,0
9900,335,44897,0
9900,335,44918,0
9900,335,44921,0
9900,335,44922,0
9900,335,44942,0
9900,335,44963,0
9900,335,44975,0
9900,335,45077,0
9900,335,45120,0
9900,335,45186,0
9900,335,45194,0
9900,335,45272,0
9900,335,45282,0
9900,335,45317,0
9900,335,45326,0
9900,335,45359,0
9900,335,45440,0
9900,335,45461,0
9900,335,45509,0
9900,335,45769,0
9900,335,45812,0
9900,335,45816,0
9900,335,45821,0
9900,335,45826,0
9900,335,45841,0
9900,335,45966,0
9900,335,45967,0
9900,335,46062,0
9900,335,46102,0
9900,335,46253,0
9900,335,46258,0
9900,335,46259,0
9900,335,46260,0
9900,335,46261,0
9900,335,46302,0
9900,335,46310,0
9900,335,46336,0
9900,335,46360,0
9900,335,46396,0
9900,335,46431,0
9900,335,46432,0
9900,335,46478,0
9900,335,46490,0
9900,335,46493,0
9900,335,46505,0
9900,335,46513,0
9900,335,46515,0
9900,335,46587,0
9900,335,46588,0
9900,335,46595,0
9900,335,46616,0
9900,335,46684,0
9900,335,46708,0
9900,335,46714,0
9900,335,46724,0
9900,335,46878,0
9900,335,46907,0
9900,335,46952,0
9900,335,46962,0
9900,335,46972,0
9900,335,47007,0
9900,335,47010,0
9900,335,40079,1
9900,335,41008,1
9900,335,41247,1
9900,335,41746,1
9900,335,41794,1
9900,335,42111,1
9900,335,42163,1
9900,335,42256,1
9900,335,42304,1
9900,335,42572,1
9900,335,43399,1
9900,335,43595,1
9900,335,43725,1
9900,335,43812,1
9900,335,43851,1
9900,335,44057,1
9900,335,44088,1
9900,335,44247,1
9900,335,44320,1
9900,335,44323,1
9900,335,44338,1
9900,335,44736,1
9900,335,44741,1
9900,335,44882,1
9900,335,44924,1
9900,335,44923,1
9900,335,45139,1
9900,335,45263,1
9900,335,45282,1
9900,335,45390,1
9900,335,45440,1
9900,335,45454,1
9900,335,45466,1
9900,335,45496,1
9900,335,45696,1
9900,335,45724,1
9900,335,45814,1
9900,335,45879,1
9900,335,45911,1
9900,335,45975,1
9900,335,45983,1
9900,335,45993,1
9900,335,46033,1
9900,335,46036,1
9900,335,46061,1
9900,335,46062,1
9900,335,46069,1
9900,335,46150,1
9900,335,46165,1
9900,335,46183,1
9900,335,46203,1
9900,335,46236,1
9900,335,46257,1
9900,335,46308,1
9900,335,46347,1
9900,335,46352,1
9900,335,46388,1
9900,335,46451,1
9900,335,46489,1
9900,335,46595,1
9900,335,46605,1
9900,335,46623,1
9900,335,46782,1
9900,335,46811,1
9900,335,46832,1
9900,335,46867,1
9900,335,46894,1
9900,335,46898,1
9900,335,46935,1
9900,335,46936,1
9900,335,46944,1
9900,335,46951,1
9900,335,46952,1
9900,335,46978,1
9900,335,47010,1
9900,335,47021,1
9900,335,47039,1
9900,335,47041,1
9920,335,47149,1
9920,335,47151,1
9921,335,47152,1
9947,335,47287,1
9947,335,47288,1
9959,335,47350,1
9965,335,47382,1
9972,335,47411,1
9984,335,47470,1
9990,335,47506,1
10005,335,47566,1
10010,335,47594,1
10011,335,47600,1
10021,335,47634,1
10057,335,47789,1
10080,335,40079,0
10080,335,41008,0
10080,335,41247,0
10080,335,41746,0
10080,335,41794,0
10080,335,42111,0
10080,335,42163,0
10080,335,42256,0
10080,335,42304,0
10080,335,42572,0
10080,335,43399,0
10080,335,43595,0
10080,335,43725,0
10080,335,43812,0
10080,335,43851,0
10080,335,44057,0
10080,335,44088,0
