Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9
91588.28693109349,40034.5268862143,69969.56357362715,53832.1409924298,7441.238217930695,68014.35718505678,81585.82626076064,48980.526834205295,67505.10042516812
116861.8215165506,108570.44007853465,107718.08330689548,110131.24262430918,130586.4928451166,134092.34179649668,107234.41673826297,106930.81152805018,110016.27254724882
128004.48501253348,169321.00244261904,130494.69289736015,148030.6228478973,194676.53671423683,190483.51530992085,122633.5193476031,176079.00466801372,152801.65862889332
154608.62123371306,171345.72161015077,143844.04383555136,179691.75834620002,250635.04334492498,179392.3510190167,137197.72745374954,159312.38120763304,203844.0532577861
175239.2556540541,191039.45624227222,176732.7694954352,173934.9138450563,220979.7913192316,213295.61359562853,161004.85271647616,180879.26402499908,195303.46696496548
181293.58498553472,193982.7831968444,175489.9797604767,180516.8771529324,230639.56094865233,220266.7625801225,175890.92901126813,190766.50381190144,201541.2523200943
155049.87718038628,191226.71053411553,160741.1166727421,176780.99968357102,263235.46830675926,197263.8549045879,181442.65655063238,185536.61792663622,190295.2511122494
168122.7113357253,200430.44103111594,189571.37787912248,193176.57567407933,250782.98322881365,197758.3270198255,144621.79891295254,191585.38721384158,194130.04272652106
166776.86539470212,198946.2765057075,194350.69489233388,156370.7801985625,259763.6120924584,198053.3236891319,158575.89113441145,171957.66349961644,230395.7011423354
168221.75661566906,188914.81194569674,183056.58322822256,179507.55836473653,260143.1823770975,198007.3911739782,152251.0329084098,171574.65206405087,201196.87816673287
156508.69504641768,203009.60081526628,197808.9979092092,201845.36588963284,271130.9014905291,208449.15558287606,173528.88694727197,154994.00732005638,199838.94672285768
159984.57384977155,202218.38467898878,201193.71468633978,204922.2287125971,260880.9466149505,212824.89573212096,163355.27685681128,173647.19518766302,176648.64642491803
186789.2645816939,218303.31639274073,197191.46888901948,177955.87243780724,241467.46612505976,217708.48920541615,163488.78216886005,174152.83103254615,179375.8908868125
169248.082938949,209924.87997781238,196393.6427827365,183000.1171298339,277746.5603299688,242216.11086637023,165038.31698312625,159133.37686812092,220375.82401125005
165789.27938580545,212385.2331573371,208305.47163364114,196468.5053234127,272432.8115941138,233273.64634364043,173776.41040557748,185640.26029168378,217685.52206565862
194290.20880385416,208475.17480118468,200167.57973249644,200246.48668048912,266794.5727569333,254477.64004014386,167315.51524121297,190825.4527183885,200404.79334489472
199223.6499087228,196082.9744062217,196103.59008142355,190279.09875993984,264447.3736026244,247938.2172462425,180244.97814067418,186717.30232300286,213315.8337819445
170815.30290156772,187688.42800430785,199766.1297225085,183085.9964584164,288387.81916235277,238523.04536844313,185282.44925211708,190700.94153215684,205343.12816523146
167283.06603366885,209199.81784716353,217043.23166453623,192945.8878703122,282710.7258635935,228877.5611102643,176112.39999587054,203941.38433548907,206524.47717061813
161208.8433607446,199581.02869881372,189675.22658438003,208981.53097241744,272492.89062417054,221989.73474228018,179170.92335530708,196880.52422996706,227405.76030942146
164313.91792414663,207607.47117385117,221394.23807750433,187276.378046711,258999.07799574407,218932.46832555288,181817.08446659174,186547.19005232342,222346.5401211482
157653.57760965277,194234.8938578112,210869.51465674513,199791.6388339885,264877.3439200314,206205.72862387716,199240.78841603122,200073.23828721902,201020.95905669304
163209.52961367465,221188.19387528137,205065.94667287637,168520.3887963042,234537.141403283,197192.51457064628,208438.63347916346,214537.46904333562,206381.55039506342
159796.7663032921,220078.01507390835,207190.74909782308,185674.47576390306,256088.45028101988,211481.34787571424,185222.390849717,194178.98010615364,223710.474842693
161455.1426939763,200693.2318116034,196965.2535532249,207979.64531625112,269806.28673944314,212459.26293651212,198447.87552658646,184940.95568179063,244180.19144946107
162065.99779913606,172863.25727062958,210014.00353293895,174039.57886772655,257818.07919401187,233009.74781952947,202847.58204321365,214035.4607487547,220305.8157488724
159832.14808114234,188977.4157247706,202238.93925347948,180422.99911142825,283763.4708829624,222223.05786952164,187110.86943787866,194583.91545338722,219678.19156814055
181626.21896504995,219492.50247026142,217309.11520696952,180303.51225661952,264587.4803792471,214711.59731300102,191038.2198795657,193320.2598672017,230761.07749911267
176433.95082836275,219890.77658130502,202322.98443826655,182446.38161569223,276130.31785739755,209861.4563680195,194626.35694908487,219793.16289817897,213607.317662886
179681.29813716956,219116.71133903976,204301.99491613256,177665.8833310224,284539.11156612256,223066.31999934118,182454.25978959835,177182.0354524766,214777.83565810553
176171.99615957885,198453.87719717345,206060.79697681422,181211.71076487572,268495.24956652656,214160.82131999775,207033.14565513525,178781.21317823746,195333.77232561258
179233.55379161087,198310.2268025023,194671.67804942033,188931.35522294583,270129.67423665174,210668.90374085432,200916.68775727676,193476.50461820955,204392.25957264844
162426.50579269163,218201.0126486594,184778.4193166295,187330.125989271,268027.9875769116,218942.81791843422,205975.46143479948,186553.29508935058,213345.75410781265
181082.315106709,206959.6822345719,180593.79509901235,185887.05393525815,281883.8417772325,228551.6677219185,160890.08225922807,199109.61564010385,224727.25642842252
184311.38445412545,217670.05052900314,203669.48418927385,172473.24029525364,260184.72370681522,212096.3361140797,184231.58547929165,189611.22105291917,233032.44294147627
208720.57137604454,192081.04484006806,217855.4846234341,174520.0680009152,244258.41478383294,201774.838422032,193169.9012203336,187800.9218160041,212484.06115464406
206902.0802665628,192766.6590341958,206537.40320081136,159555.22564477602,268839.39722072287,194985.181534302,204970.06692475325,203581.93871837965,221652.072038418
174705.20767383018,184490.03890979898,194055.7173411539,180157.81469247997,227016.71175760837,208718.3190880834,190693.2206384975,193615.19300603998,223793.3464743452
181906.68511481257,180306.87391306198,206316.20783107754,168217.37250620875,251809.45980162243,221400.85737310932,184944.6937983963,202042.71997167592,225051.527884031
166296.39409883332,189995.02460265384,172340.75484026023,164280.7782567981,291402.13767165627,205331.8298004142,177067.25337376338,224880.53121355004,245130.8082285828
157482.31024645513,197053.84928863336,182647.94193122763,173185.14789098027,269835.3956127785,225283.81446073862,184196.63802602823,217756.0203382585,236219.96091191898
173970.96016947046,205000.26744407174,201658.34691417092,168318.91813044634,297249.506090117,199803.97227038757,189679.4335277638,189333.59093915072,233953.59826473307
171700.05930363364,213765.9471584793,185246.13874588982,180909.85447201694,265733.76640441985,185881.5589502183,191819.3010405797,188710.98750790363,224888.03509525952
168672.7382165956,244222.2151462168,193396.79362560844,182773.51084681318,259627.40594946363,162898.93286427477,196916.737072812,191946.2633788317,208292.38137190175
165944.050064736,207794.55362362223,177697.37323978136,177402.79483875717,245415.0523675223,183360.29708446565,193552.63975129463,163801.70068877863,204171.17913389837
169568.32494435308,211235.19824576544,175354.74389490086,162721.1911357732,260735.18932695937,186479.42163041572,191429.3017346817,170467.34347719426,218488.7545420284
173358.2808985866,210974.41691942085,182442.59102227716,166082.52456988633,252160.95737905067,186519.96677547635,201738.9723913697,186382.4531857978,228429.41199560423
