Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9
12098.766948860846,4687.849877831249,8725.464369667081,6690.85228556633,932.8309762989421,8595.160332552856,10363.646336582615,5994.688819547591,8284.357985281757
15147.12891165757,13618.216792635076,15132.570053581872,14902.754474042185,15856.725150143142,17072.31925604306,13818.9691023642,14638.53513053654,14483.032416244832
18305.325381241844,21603.85648951069,17771.37889565798,20467.215682798218,25134.237443109843,26861.2193338395,17143.883896886742,25330.279953184985,20088.766604953275
22599.477222423928,23215.96726782282,20781.031967377447,26651.112391923158,35253.46577014378,24358.686958508635,20054.020433242986,24019.375106112235,30658.325448041353
26444.554351084815,26595.495968480802,25045.989122606403,25816.166856683616,31777.87037578678,31416.662732017703,22535.121815831,27915.100801652534,30818.674896998466
27106.057084698965,27502.345207124323,26312.379133618557,27337.23788967726,33512.54982437011,34076.09371950878,26712.939170158348,28038.214321246167,28700.563250116018
22819.846252620697,27446.732473650995,23852.863083679975,25994.118624196177,42007.22379454013,29691.821601666612,27741.7004295005,28063.332925090603,29258.20859651432
24750.361223909855,29014.06452649714,29929.91287458933,28981.337982904817,42738.9972761206,30259.10044605078,21983.611422920232,30025.157106475825,30728.237620794447
25010.018067805468,29480.133728378667,30379.26862623933,24811.848528832994,45702.66862503157,31138.370685539492,23501.910305816604,26902.790691719925,39093.96232381613
27885.80004896722,29591.881008930064,28790.59594979623,26938.90609323524,47167.47307844235,34158.18232865096,23474.03894658841,26477.412574787784,35275.754692415656
25850.718289375578,28992.355004680416,30750.820082198214,31205.10710980675,46676.70458752621,33040.982062755946,25664.767470617797,23254.203832931813,35420.63276576119
26130.651530340514,31351.349870783386,33198.8575221524,33164.91211733222,45691.187074677204,34228.9219384008,25230.709124886296,27748.692721110066,34301.69139710864
29721.506796884918,36338.16445000387,34568.115114962064,28126.600416125464,43583.30678293807,35184.55296692877,25601.143025289664,29235.860235236403,31738.846370170577
